,English,English_human
961,dirichlet process,Dirichlet Process
962,disambiguation,disambiguation
963,discount factor,discount factor
964,discount parameter,discount parameter
965,discrete distribution,discrete distribution
966,discrete graphical model,discrete graphical model
967,discrete random variable,discrete random variable
968,discretization,discretization
969,discriminant analysis,discriminant analysis
970,discriminant function,discriminant function
971,discriminative,discriminative
972,discriminative approach,discriminative approach
973,discriminative feature,discriminative feature
974,discriminative method,discriminative method
975,discriminative model,discriminative model
976,discriminative training,discriminative training
977,discriminator,discriminator
978,discriminator network,discriminator network
979,disentangle,disentangle
980,disentangled representation,disentangled representation
981,disentanglement,Disentanglement
982,disparity estimation,disparity estimation
983,disparity map,disparity map
984,distance function,distance function
985,distance matrix,distance matrix
986,distance measure,distance measure
987,distance metric,distance metric
988,distance transform,distance transform
989,distant supervision,distant supervision
990,distillation,distillation
991,distributed information retrieval,distributed information retrieval
992,distribution shift,distribution shift
993,distribution vector,distribution vector
994,distributional,distributional
995,distributional feature,distributional feature
996,distributional hypothesis,distributional hypothesis
997,distributional model,distributional model
998,distributional representation,distributional representation
999,distributional semantic,distributional semantic
1000,distributional semantic model,distributional semantic model
1001,distributional similarity,distributional similarity
1002,distributional word representation,distributional word representation
1003,distributionally robust optimization,distributionally robust optimization
1004,divergence operator,divergence operator
1005,diversity score,diversity score
1006,do-calculus,do-calculus
1007,document classification,document classification
1008,document clustering,document clustering
1009,document corpus,document corpus
1010,document retrieval,document retrieval
1011,document summarization,document summarization
1012,document vector,document vector
1013,document-level,document-level
1014,document-topic assignment,document-topic assignment
1015,domain adaptation,domain adaptation
1016,domain element,domain element
1017,domain gap,domain gap
1018,domain generalization,domain generalization
1019,domain knowledge,domain knowledge
1020,domain mismatch,domain mismatch
1021,domain ontology,domain ontology
1022,domain shift,domain shift
1023,domain transfer,domain transfer
1024,domain-specific,domain-specific
1025,dot product,dot product
1026,dot-product attention,dot-product attention
1027,down-sampling,down-sampling
1028,downsampling block,downsampling block
1029,downsampling factor,downsampling factor
1030,downsampling layer,downsampling layer
1031,downstream dataset,downstream dataset
1032,downstream model,downstream model
1033,downstream performance,downstream performance
1034,downstream task,downstream task
1035,dropout distribution,Dropout distribution
1036,dropout layer,dropout layer
1037,dropout probability,dropout probability
1038,dropout rate,dropout rate
1039,dropout ratio,dropout ratio
1040,dual decomposition,dual decomposition
1041,dual encoder model,dual encoder model
1042,dual norm,dual norm
1043,dual objective,dual objective
1044,dual optimization problem,dual optimization problem
1045,dual parameter,dual parameter
1046,dual problem,dual problem
1047,dual program,dual program
1048,dual solution,dual solution
1049,dual variable,dual variable
1050,duality gap,duality gap
1051,dynamic bayesian network,dynamic Bayesian network
1052,dynamic model,dynamic model
1053,dynamic programming algorithm,dynamic programming algorithm
1054,dynamical model,dynamical model
1055,dynamical system,dynamical system
1056,e-step,E-step
1057,early fusion,early fusion
1058,earth-mover distance,earth-mover distance
1059,edge detection,edge detection
1060,edge feature,edge feature
1061,edge label,edge label
1062,edge prediction,edge prediction
1063,edge set,edge set
1064,edge weight,edge weight
1065,edit distance,edit distance
1066,effective receptive field,effective receptive field
1067,ego-motion,ego-motion
1068,eigen-decomposition,eigen-decomposition
1069,eigenbasis,eigenbasis
1070,eigendecay,eigendecay
1071,eigenfunction,eigenfunction
1072,eigenspace,eigenspace
1073,eigenspectrum,eigenspectrum
1074,eigenvalue,eigenvalue
1075,eigenvalue decomposition,eigenvalue decomposition
1076,eigenvector,eigenvector
1077,elastic net regularization,elastic net regularization
1078,element-wise,element-wise
1079,element-wise multiplication,element-wise multiplication
1080,element-wise product,element-wise product
1081,elementary tree,elementary tree
1082,eligibility trace,eligibility trace
1083,embedded deformation graph,embedded deformation graph
1084,embedding dimension,embedding dimension
1085,embedding dimensionality,embedding dimensionality
1086,embedding feature,embedding feature
1087,embedding layer,embedding layer
1088,embedding matrix,embedding matrix
1089,embedding model,embedding model
1090,embedding parameter,embedding parameter
1091,embedding size,embedding size
1092,embedding space,embedding space
1093,embedding vector,embedding vector
1094,embodied agent,embodied agent
1095,emission probability,emission probability
1096,emotion classification,emotion classification
1097,empirical distribution,empirical distribution
1098,empirical estimate,empirical estimate
1099,empirical estimator,empirical estimator
1100,empirical frequency,empirical frequency
1101,empirical loss,empirical loss
1102,empirical mean,empirical mean
1103,empirical measure,empirical measure
1104,empirical minimizer,empirical minimizer
1105,empirical process theory,empirical process theory
1106,empirical risk,empirical risk
1107,empirical risk minimization,empirical risk minimization
1108,empirical risk minimizer,empirical risk minimizer
1109,empirical variance,empirical variance
1110,emulator,emulator
1111,encoder layer,encoder layer
1112,encoder model,encoder model
1113,encoder network,encoder network
1114,encoder-decoder architecture,encoder-decoder architecture
1115,encoder-decoder framework,encoder-decoder framework
1116,encoder-decoder model,encoder-decoder model
1117,end-of-sequence token,end-of-sequence token
1118,end-to-end learning,end-to-end learning
1119,end-to-end model,end-to-end model
1120,end-to-end neural model,end-to-end neural model
1121,end-to-end pipeline,end-to-end pipeline
1122,end-to-end system,end-to-end system
1123,end-to-end training,end-to-end training
1124,energy function,energy function
1125,energy minimization,energy minimization
1126,energy minimization framework,energy minimization framework
1127,energy minimization problem,energy minimization problem
1128,ensemble classification,ensemble classification
1129,ensemble classifier,ensemble classifier
1130,ensemble learning,ensemble learning
1131,ensemble method,ensemble method
1132,ensemble model,ensemble model
1133,ensemble of classifier,ensemble of classifier
1134,ensemble size,ensemble size
1135,entail,entail
1136,entailment,entailment
1137,entailment detection,entailment detection
1138,entity coreference,entity coreference
1139,entity description,entity description
1140,entity detection,entity detection
1141,entity embedding,entity embedding
1142,entity extraction,entity extraction
1143,entity linker,entity linker
1144,entity linking,Entity Linking
1145,entity mention,entity mention
1146,entity recognition,entity recognition
1147,entity representation,entity representation
1148,entity resolution,entity resolution
1149,entity set,entity set
1150,entity type,entity type
1151,entropy,entropy
1152,entropy estimation,entropy estimation
1153,entropy function,entropy function
1154,entropy loss,entropy loss
1155,entropy regularization,entropy regularization
1156,enumeration algorithm,enumeration algorithm
1157,envy-freeness,envy-freeness
1158,eos,eos
1159,epipolar constraint,epipolar constraint
1160,epipolar geometry,epipolar geometry
1161,epipolar line,epipolar line
1162,epipole,epipole
1163,episodic return,episodic return
1164,epistemic uncertainty,epistemic uncertainty
1165,epoch,epoch
1166,equivalence class,equivalence class
1167,equivalence query,equivalence query
1168,equivariance,equivariance
1169,equivariant,equivariant
1170,error,error
1171,error analysis,error analysis
1172,error function,error function
1173,error probability,error probability
1174,error rate,error rate
1175,error tolerance,error tolerance
1176,estimation error,estimation error
1177,estimator,estimator
1178,euclidean distance,Euclidean distance
1179,euclidean divergence,Euclidean divergence
1180,euclidean loss,Euclidean loss
1181,euclidean norm,Euclidean norm
1182,euclidean plane,Euclidean plane
1183,euclidean projection,Euclidean projection
1184,euclidean space,Euclidean space
1185,euclidean transformation,Euclidean transformation
1186,euler angle,Euler angle
1187,evaluation function,evaluation function
1188,evaluation metric,evaluation metric
1189,evaluation set,evaluation set
1190,event calculus,event calculus
1191,event coreference,event coreference
1192,event detection,event detection
1193,event extraction,event extraction
1194,evidence maximization,evidence maximization
1195,exact inference,exact inference
1196,exact match,Exact Match
1197,excess loss,excess loss
1198,exchangeability,exchangeability
1199,existential quantifier,existential quantifier
1200,expectation maximization,expectation maximization
1201,expectation maximization algorithm,expectation maximization algorithm
1202,experience replay,experience replay
1203,expert demonstration,expert demonstration
1204,explicit-state search,explicit-state search
1205,exploitability,exploitability
1206,exploration rate,exploration rate
1207,exploratory data analysis,exploratory data analysis
1208,exponential complexity,exponential complexity
1209,exponential decay,exponential decay
1210,exponential distribution,exponential distribution
1211,exponential family,exponential family
1212,exponential loss,exponential loss
1213,exponential map,exponential map
1214,exposure bias,exposure bias
1215,extensive-form game,extensive-form game
1216,extractive summarization,extractive summarization
1217,extractor,extractor
1218,f-divergence,f-divergence
1219,f-measure,F-measure
1220,f-score,F-score
1221,f1 measure,F1 measure
1222,f1 metric,F1 metric
1223,f1 score,F1 score
1224,face detection,face detection
1225,face detector,face detector
1226,face recognition,face recognition
1227,facial landmark,facial landmark
1228,facial recognition,facial recognition
1229,fact verification,fact verification
1230,factor analysis,factor analysis
1231,factor graph,factor graph
1232,factor matrix,factor matrix
1233,factor of variation,factor of variation
1234,factorization,factorization
1235,factorization algorithm,factorization algorithm
1236,factorization method,factorization method
1237,failure probability,failure probability
1238,fairness criterion,fairness criterion
1239,fairness loss,fairness loss
1240,fairness notion,fairness notion
1241,faithfulness score,faithfulness score
1242,false negative,false negative
1243,false negative rate,false negative rate
1244,false positive rate,false positive rate
1245,fanout,fanout
1246,fast fourier transform,Fast Fourier Transform
1247,fc layer,fc layer
1248,feasible set,feasible set
1249,feature,feature
1250,feature channel,feature channel
1251,feature correspondence,feature correspondence
1252,feature count,feature count
1253,feature descriptor,feature descriptor
1254,feature detection,feature detection
1255,feature detector,feature detector
1256,feature dimension,feature dimension
1257,feature dimensionality,feature dimensionality
1258,feature embedding,feature embedding
1259,feature encoder,feature encoder
1260,feature engineering,feature engineering
1261,feature extraction,feature extraction
1262,feature extractor,feature extractor
1263,feature function,feature function
1264,feature hashing,feature hashing
1265,feature hierarchy,feature hierarchy
1266,feature map,feature map
1267,feature mapping function,feature mapping function
1268,feature matching,feature matching
1269,feature matrix,feature matrix
1270,feature model,feature model
1271,feature normalization,feature normalization
1272,feature point,feature point
1273,feature pyramid,feature pyramid
1274,feature representation,feature representation
1275,feature representation learning,feature representation learning
1276,feature selection,feature selection
1277,feature selector,feature selector
1278,feature set,feature set
1279,feature space,feature space
1280,feature template,feature template
1281,feature vector,feature vector
1282,feature weight,feature weight
1283,featurization,featurization
1284,featurized representation,featurized representation
1285,feed forward,feed forward
1286,feed forward network,feed forward network
1287,feed forward neural network,feed forward neural network
1288,feed-forward layer,feed-forward layer
1289,feedback loop,feedback loop
1290,few shot learning,few shot learning
1291,few-shot classification,few-shot classification
1292,few-shot example,few-shot example
1293,few-shot fine-tuning,few-shot fine-tuning
1294,few-shot in-context learning,few-shot in-context learning
1295,few-shot prompting,few-shot prompting
1296,few-shot setting,few-shot setting
1297,filter bank,filter bank
1298,filter weight,filter weight
1299,fine-grained sentiment classification,fine-grained sentiment classification
1300,fine-tune,fine-tune
1301,finite horizon,finite horizon
1302,finite-state automata,finite-state automata
1303,first order method,first order method
1304,first-order,first-order
1305,first-order language,first-order language
1306,first-order logic,first-order logic
1307,first-order model,first-order model
1308,first-order parsing,first-order parsing
1309,fisher information matrix,Fisher information matrix
1310,fisher score,Fisher score
1311,fitness function,fitness function
1312,five-fold cross-validation,five-fold cross-validation
1313,fixed point,fixed point
1314,fixed-parameter tractable,fixed-parameter tractable
1315,fixed-point iteration,fixed-point iteration
1316,fixpoint,fixpoint
1317,float16,float16
1318,float32,float32
1319,flow field,flow field
1320,flow model,flow model
1321,focal loss,Focal Loss
1322,forall,forall
1323,forecasting,forecasting
1324,foreground segmentation,foreground segmentation
1325,forget gate,forget gate
1326,forward algorithm,forward algorithm
1327,forward model,forward model
1328,forward pass,forward pass
1329,forward process,forward process
1330,forward propagation,forward propagation
1331,forward-backward algorithm,forward-backward algorithm
1332,foundation model,foundation model
1333,fourier coefficient,Fourier coefficient
1334,fourier feature,Fourier feature
1335,fourier frequency,Fourier frequency
1336,fp,fp
1337,fp16,fp16
1338,fp32,fp32
1339,fractional program,fractional program
1340,frame,frame
1341,free variable,free variable
1342,frequency penalty,frequency penalty
1343,frequency vector,frequency vector
1344,frequent item set,frequent item set
1345,frequent pattern,frequent pattern
1346,frequent pattern mining,frequent pattern mining
1347,fully connected network,fully connected network
1348,fully convolutional network,fully convolutional network
1349,fully convolutional neural network,fully convolutional neural network
1350,function approximation,function approximation
1351,function approximator,function approximator
1352,function class,function class
1353,function space,function space
1354,functionality assertion,functionality assertion
1355,fundamental matrix,fundamental matrix
1356,fusion module,fusion module
1357,fuzzy matching,fuzzy matching
1358,g-value,g-value
1359,game tree,game tree
1360,game-theoretic analysis,game-theoretic analysis
1361,gamma distribution,gamma distribution
1362,gate,gate
1363,gating function,gating function
1364,gaussian blur,Gaussian blur
1365,gaussian complexity,Gaussian complexity
1366,gaussian component,Gaussian component
1367,gaussian conditional random field,Gaussian conditional random field
1368,gaussian density,Gaussian density
1369,gaussian distribution,Gaussian distribution
1370,gaussian elimination,Gaussian elimination
1371,gaussian filter,Gaussian filter
1372,gaussian function,Gaussian function
1373,gaussian initialization,Gaussian initialization
1374,gaussian kernel,Gaussian kernel
1375,gaussian likelihood,Gaussian likelihood
1376,gaussian matrix,Gaussian matrix
1377,gaussian mixture,Gaussian mixture
1378,gaussian model,Gaussian model
1379,gaussian noise,Gaussian noise
1380,gaussian prior,Gaussian prior
1381,gaussian process,Gaussian process
1382,gaussian process model,Gaussian process model
1383,gaussian process regression,Gaussian process regression
1384,gaussian random variable,Gaussian random variable
1385,gaussian smoothing,Gaussian smoothing
1386,gaussian variable,Gaussian variable
1387,gaussian weight,Gaussian weight
1388,gene ontology,Gene Ontology
1389,generalisation,generalisation
1390,generalization,generalization
1391,generalization ability,generalization ability
1392,generalization error,generalization error
1393,generalization gap,generalization gap
1394,generalization guarantee,generalization guarantee
1395,generalization performance,generalization performance
1396,generalized eigenvector,generalized eigenvector
1397,generalized linear mixed model,generalized linear mixed model
1398,generalized linear model,generalized linear model
1399,generation model,generation model
1400,generative,generative
1401,generative adversarial network,generative adversarial network
1402,generative approach,generative approach
1403,generative network,generative network
1404,generative parser,generative parser
1405,generative pre-training,generative pre-training
1406,generative probabilistic model,generative probabilistic model
1407,generative process,generative process
1408,generator,generator
1409,generator architecture,generator architecture
1410,generator network,generator network
1411,genetic algorithm,genetic algorithm
1412,geodesic,geodesic
1413,geodesic distance,geodesic distance
1414,geometric consistency,geometric consistency
1415,geometric distribution,geometric distribution
1416,geometric invariant,geometric invariant
1417,geometric transformation,geometric transformation
1418,geometry processing,geometry processing
1419,gibb distribution,gibb distribution
1420,gini coefficient,Gini coefficient
1421,gist descriptor,gist descriptor
1422,global average pooling,global average pooling
1423,global average pooling layer,global average pooling layer
1424,global coordinate frame,global coordinate frame
1425,global illumination,global illumination
1426,global minima,global minima
1427,global minimum,global minimum
1428,global model,global model
1429,global objective,global objective
1430,global optima,global optima
1431,global optimization,global optimization
1432,global optimum,global optimum
1433,global pooling,global pooling
1434,global reward,global reward
1435,goal state,goal state
1436,gold label,gold label
1437,gold parse,gold parse
1438,good-turing estimate,Good-Turing estimate
1439,gossip algorithm,gossip algorithm
1440,gradient accumulation,gradient accumulation
1441,gradient accumulation step,gradient accumulation step
1442,gradient ascent,gradient ascent
1443,gradient clipping,gradient clipping
1444,gradient computation,gradient computation
1445,gradient descent,gradient descent
1446,gradient descent algorithm,gradient descent algorithm
1447,gradient estimate,gradient estimate
1448,gradient estimation,gradient estimation
1449,gradient estimator,gradient estimator
1450,gradient explosion,gradient explosion
1451,gradient flow,gradient flow
1452,gradient information,gradient information
1453,gradient method,gradient method
1454,gradient norm,gradient norm
1455,gradient operator,gradient operator
1456,gradient penalty,gradient penalty
1457,gradient signal,gradient signal
1458,gradient step,gradient step
1459,gradient term,gradient term
1460,gradient update,gradient update
1461,gradient variance,gradient variance
1462,gradient vector,gradient vector
1463,gram matrix,Gram matrix
1464,grammar inducer,grammar inducer
1465,grammar induction,grammar induction
1466,grammatical error detection,grammatical error detection
1467,grandparent dependency,grandparent dependency
1468,graph adjacency matrix,graph adjacency matrix
1469,graph attention,graph attention
1470,graph attention mechanism,graph attention mechanism
1471,graph attention network,graph attention network
1472,graph classification,graph classification
1473,graph clustering,graph clustering
1474,graph construction,graph construction
1475,graph contrastive learning,graph contrastive learning
1476,graph convolution,graph convolution
1477,graph convolution network,graph convolution network
1478,graph convolutional network,graph convolutional network
1479,graph cut,graph cut
1480,graph cut algorithm,graph cut algorithm
1481,graph dataset,graph dataset
1482,graph datum,graph datum
1483,graph diameter,graph diameter
1484,graph embedding,graph embedding
1485,graph generator,graph generator
1486,graph isomorphism,graph isomorphism
1487,graph kernel,graph kernel
1488,graph laplacian matrix,graph Laplacian matrix
1489,graph learning,graph learning
1490,graph matching,graph matching
1491,graph mining,graph mining
1492,graph model,graph model
1493,graph neural network,graph neural network
1494,graph node,graph node
1495,graph partitioning,graph partitioning
1496,graph pattern,graph pattern
1497,graph representation,graph representation
1498,graph sampling,graph sampling
1499,graph structure,graph structure
1500,graph theory,graph theory
1501,graph topology,graph topology
1502,graph traversal,graph traversal
1503,graph-level task,graph-level task
1504,graphical model,graphical model
1505,graphlet,graphlet
1506,graphlet kernel,graphlet kernel
1507,greedy,greedy
1508,greedy algorithm,greedy algorithm
1509,greedy approach,greedy approach
1510,greedy decoding,greedy decoding
1511,greedy inference,greedy inference
1512,greedy maximization,greedy maximization
1513,greedy method,greedy method
1514,greedy optimization,greedy optimization
1515,greedy policy,greedy policy
1516,greedy search,greedy search
1517,greedy strategy,greedy strategy
1518,grid cell,grid cell
1519,grid search,grid search
1520,grid-world,grid-world
1521,ground atom,ground atom
1522,ground set,ground set
1523,ground truth label,ground truth label
1524,ground-truth box,ground-truth box
1525,grounded language learning,grounded language learning
1526,grounded supervision,grounded supervision
1527,group normalization,group normalization
1528,group sparsity,group sparsity
1529,gumbel noise,Gumbel noise
1530,half-space,half-space
1531,hamming distance,Hamming distance
1532,hamming loss,Hamming loss
1533,hand pose estimation,hand pose estimation
1534,hard attention,hard attention
1535,hash,hash
1536,hash function,hash function
1537,hash table,hash table
1538,hashing algorithm,hashing algorithm
1539,hate speech classifier,hate speech classifier
1540,hate speech detection,hate speech detection
1541,head entity,head entity
1542,head word,head word
1543,heap structure,heap structure
1544,heatmap,heatmap
1545,hedge algorithm,Hedge algorithm
1546,hessian matrix,Hessian matrix
1547,hessian-vector product,Hessian-vector product
1548,heuristic algorithm,heuristic algorithm
1549,heuristic function,heuristic function
1550,heuristic search,heuristic search
1551,heuristic search algorithm,heuristic search algorithm
1552,heuristic value,heuristic value
1553,hidden dimension,hidden dimension
1554,hidden dimension size,hidden dimension size
1555,hidden dimensionality,hidden dimensionality
1556,hidden embedding,hidden embedding
1557,hidden feature,hidden feature
1558,hidden layer,hidden layer
1559,hidden representation,hidden representation
1560,hidden size,hidden size
1561,hidden state,hidden state
1562,hidden state dimension,hidden state dimension
1563,hidden state representation,hidden state representation
1564,hidden state vector,hidden state vector
1565,hidden unit,hidden unit
1566,hidden variable,hidden variable
1567,hierarchical agglomerative clustering,hierarchical agglomerative clustering
1568,hierarchical clustering,hierarchical clustering
1569,hierarchical decoder,hierarchical decoder
1570,hierarchical feature,hierarchical feature
1571,hierarchical inference,hierarchical inference
1572,hierarchical method,hierarchical method
1573,hierarchical model,hierarchical model
1574,hierarchical reinforcement learning,hierarchical reinforcement learning
1575,hierarchical representation,hierarchical representation
1576,hierarchical structure,hierarchical structure
1577,hierarchical topic model,hierarchical topic model
1578,hierarchy,hierarchy
1579,high-dimensional datum,high-dimensional datum
1580,high-dimensional space,high-dimensional space
1581,high-dimensionality,high-dimensionality
1582,hill-climbing,hill-climbing
1583,hinge loss,hinge loss
1584,hinge loss function,hinge loss function
1585,homogeneous coordinate,homogeneous coordinate
1586,homographie,homographie
1587,homography,Homography
1588,homography matrix,homography matrix
1589,homomorphism,homomorphism
1590,horn theory,Horn theory
1591,huber loss,Huber loss
1592,human annotation,human annotation
1593,human pose,human pose
1594,human pose estimation,human pose estimation
1595,human-computer interaction,human-computer interaction
1596,human-in-the-loop,human-in-the-loop
1597,human-machine interaction,human-machine interaction
1598,hungarian loss,Hungarian loss
1599,hybrid model,hybrid model
1600,hyper-graph,hyper-graph
1601,hyper-parameter tuning,hyper-parameter tuning
1602,hyperband,Hyperband
1603,hyperbolic space,hyperbolic space
1604,hyperedge,hyperedge
1605,hypernym,hypernym
1606,hypernymy,hypernymy
1607,hyperparameter optimization,hyperparameter optimization
1608,hyperparameter search,Hyperparameter search
1609,hyperparameter selection,hyperparameter selection
1610,hyperparameter setting,hyperparameter setting
1611,hyperparameter space,hyperparameter space
1612,hyperplane,hyperplane
1613,hyperprior,hyperprior
1614,hyponym,hyponym
1615,hyponymy,hyponymy
1616,hypothesis class,hypothesis class
1617,hypothesis set,hypothesis set
1618,hypothesis space,hypothesis space
1619,hypothesis test,hypothesis test
1620,i.i.d,i.i.d
1621,i.i.d. sample,i.i.d. sample
1622,idempotent,idempotent
1623,identity function,identity function
1624,identity mapping,identity mapping
1625,identity matrix,identity matrix
1626,identity transformation,identity transformation
1627,image analysis,image analysis
1628,image captioning,image captioning
1629,image classification,image classification
1630,image compression,image compression
1631,image diffusion model,image diffusion model
1632,image embedding,image embedding
1633,image encoder,image encoder
1634,image feature,image feature
1635,image generation,image generation
1636,image inpainting,image inpainting
1637,image patch,image patch
1638,image plane,image plane
1639,image processing,image processing
1640,image pyramid,image pyramid
1641,image recognition,image recognition
1642,image representation,image representation
1643,image restoration,image restoration
1644,image segmentation,image segmentation
1645,image super-resolution,image super-resolution
1646,image synthesis,image synthesis
1647,image translation,image translation
1648,image-text pre-training,image-text pre-training
1649,image-to-image translation,image-to-image translation
1650,imitation learning,imitation learning
1651,immediate consequence operator,immediate consequence operator
1652,imperfect information,imperfect information
1653,implicit differentiation,implicit differentiation
1654,implicit function,implicit function
1655,implicit representation,implicit representation
1656,implicit surface,implicit surface
1657,importance sampling,importance sampling
1658,importance sampling estimator,importance sampling estimator
1659,importance weight,importance weight
1660,in-context demonstration,in-context demonstration
1661,in-context example,in-context example
1662,in-context learner,in-context learner
1663,in-context learning,In-context Learning
1664,in-degree distribution,in-degree distribution
1665,in-distribution,in-distribution
1666,in-domain,in-domain
1667,in-domain text,in-domain text
1668,in-neighbor,in-neighbor
1669,in-order traversal,in-order traversal
1670,inception score,inception score
1671,incremental learning,incremental learning
1672,incremental parsing,incremental parsing
1673,independent component analysis,independent component analysis
1674,independent set,independent set
1675,independent variable,independent variable
1676,indicator matrix,indicator matrix
1677,indicator variable,indicator variable
1678,indicator vector,indicator vector
1679,induction hypothesis,induction hypothesis
1680,inductive bias,inductive bias
1681,inductive learning,inductive learning
1682,inf,inf
1683,inference,inference
1684,inference algorithm,inference algorithm
1685,inference machinery,inference machinery
1686,inference method,inference method
1687,inference problem,inference problem
1688,inference procedure,inference procedure
1689,inference process,inference process
1690,inference rule,inference rule
1691,inference stage,inference stage
1692,inference task,inference task
1693,inference time,inference time
1694,infinite-horizon,infinite-horizon
1695,influence diagram,influence diagram
1696,influence function,influence function
1697,influence maximization,Influence Maximization
1698,information bottleneck,information bottleneck
1699,information content,information content
1700,information extraction,Information Extraction
1701,information gain,information gain
1702,information retrieval system,information retrieval system
1703,information set,information set
1704,information theoretic,information theoretic
1705,information theoretic measure,information theoretic measure
1706,informer model,Informer model
1707,infoset,infoset
1708,initial distribution,initial distribution
1709,initial state,initial state
1710,initial state distribution,initial state distribution
1711,initialization,initialization
1712,injective function,injective function
1713,inlier,inlier
1714,inner layer,inner layer
1715,inner loop,inner loop
1716,inner node,inner node
1717,inner product,inner product
1718,input context,input context
1719,input datum,input datum
1720,input embedding,input embedding
1721,input feature,input feature
1722,input feature vector,input feature vector
1723,input filter,input filter
1724,input formula,input formula
1725,input gate,input gate
1726,input graph,input graph
1727,input image,input image
1728,input layer,input layer
1729,input length,input length
1730,input matrix,input matrix
1731,input point,input point
1732,input position,input position
1733,input representation,input representation
1734,input resolution,input resolution
1735,input sequence,input sequence
1736,input space,input space
1737,input tensor,input tensor
1738,input text,input text
1739,input token,input token
1740,input vector,input vector
1741,input-output pair,input-output pair
1742,instance,instance
1743,instance level,instance level
1744,instance normalization,Instance Normalization
1745,instance segmentation,instance segmentation
1746,instance selection,instance selection
1747,instance space,instance space
1748,instruction tuning,instruction tuning
1749,integer linear program,integer linear program
1750,integer program,integer program
1751,integral image,integral image
1752,integral operator,integral operator
1753,integral probability metric,integral probability metric
1754,integrity constraint,integrity constraint
1755,intelligent agent,intelligent agent
1756,intensity function,intensity function
1757,intent,intent
1758,inter-annotator agreement,inter-annotator agreement
1759,interaction matrix,interaction matrix
1760,interest point,interest point
1761,interior point method,interior point method
1762,intermediate layer,intermediate layer
1763,intermediate representation,intermediate representation
1764,internal edge,internal edge
1765,internal node,internal node
1766,internal regret,internal regret
1767,internal representation,internal representation
1768,internal state,internal state
1769,interpolation,interpolation
1770,interpretability,interpretability
1771,interpretation function,interpretation function
1772,intersection-over-union,intersection-over-union
1773,interval estimate,interval estimate
1774,intractability,intractability
1775,intrinsic,intrinsic
1776,intrinsic camera parameter,intrinsic camera parameter
1777,intrinsic dimension subspace,intrinsic dimension subspace
1778,intrinsic dimensionality,intrinsic dimensionality
1779,intrinsic evaluation,intrinsic evaluation
1780,intrinsic image,intrinsic image
1781,intrinsic parameter,intrinsic parameter
1782,inverse document frequency,inverse document frequency
1783,inverse dynamic model,inverse dynamic model
1784,inverse problem,inverse problem
1785,inverse reinforcement learning,inverse reinforcement learning
1786,inverse rendering,inverse rendering
1787,inverse role,inverse role
1788,inverse square root learning rate schedule,inverse square root learning rate schedule
1789,inverse square root learning rate scheduler,inverse square root learning rate scheduler
1790,inverse transform sampling,inverse transform sampling
1791,invertible map,invertible map
1792,invertible matrix,invertible matrix
1793,iobj,iobj
1794,iso-surface extraction,iso-surface extraction
1795,itemset,itemset
1796,iterate,iterate
1797,iteration,iteration
1798,iteration complexity,iteration complexity
1799,iteration counter,iteration counter
1800,iterative algorithm,iterative algorithm
1801,iterative deepening,iterative deepening
1802,iterative optimization,iterative optimization
1803,iterative optimization algorithm,iterative optimization algorithm
1804,iterative training algorithm,iterative training algorithm
1805,jaccard similarity,Jaccard similarity
1806,jaccard similarity coefficient,Jaccard similarity coefficient
1807,jacobian matrix,Jacobian matrix
1808,joint density,joint density
1809,joint distribution,joint distribution
1810,joint embedding space,joint embedding space
1811,joint encoding,joint encoding
1812,joint entropy,joint entropy
1813,joint inference,joint inference
1814,joint learning,joint learning
1815,joint learning algorithm,joint learning algorithm
1816,joint likelihood,joint likelihood
1817,joint model,joint model
1818,joint policy,joint policy
1819,joint probability,joint probability
1820,joint probability distribution,joint probability distribution
1821,joint probability matrix,joint probability matrix
1822,joint probability table,joint probability table
1823,joint semantic space,joint semantic space
1824,junction tree,junction tree
1825,junction tree algorithm,junction tree algorithm
1826,k-center,k-Center
1827,k-d tree,k-d tree
1828,k-hop neighbor,k-hop neighbor
1829,k-l divergence,K-L divergence
1830,k-means clustering algorithm,k-means clustering algorithm
1831,k-nearest neighbor,k-nearest neighbor
1832,k-nearest neighbor classifier,k-nearest neighbor classifier
1833,k-nearest neighbor graph,k-nearest neighbor graph
1834,kernel,Kernel
1835,kernel approximation,kernel approximation
1836,kernel bandwidth,kernel bandwidth
1837,kernel classifier,kernel classifier
1838,kernel density,kernel density
1839,kernel density estimate,kernel density estimate
1840,kernel density estimation,kernel density estimation
1841,kernel evaluation,kernel evaluation
1842,kernel function,kernel function
1843,kernel learning,kernel learning
1844,kernel learning problem,kernel learning problem
1845,kernel machine,kernel machine
1846,kernel matrix,kernel matrix
1847,kernel method,kernel method
1848,kernel operation,kernel operation
1849,kernel operator,kernel operator
1850,kernel parameter,kernel parameter
1851,kernel regression,kernel regression
1852,kernel ridge regression,kernel ridge regression
1853,kernel size,kernel size
1854,kernel smoothing,kernel smoothing
1855,kernel space,kernel space
1856,kernel spectrum,kernel spectrum
1857,kernel trick,kernel trick
1858,kernel value,kernel value
1859,kernel weight,kernel weight
1860,kernel width,kernel width
1861,key,key
1862,keypoint,keypoint
1863,keypoint detection,keypoint detection
1864,keypoint detector,keypoint detector
1865,keypoint location,keypoint location
1866,keypoint match,keypoint match
1867,knapsack problem,knapsack problem
1868,knowledge compilation,knowledge compilation
1869,knowledge distillation,knowledge distillation
1870,knowledge element,knowledge element
