Index,English,Russian
940,bag-of-word model,"модель ""мешок слов"""
941,bag-of-word representation,представление мешка слов
942,bandit,бандит
943,bandit feedback,обратная связь бандита
944,bandit learning,обучение с бандитом
945,bandwidth parameter,параметр ширины полосы пропускания
946,bart-base,bart-base
947,bart-large,bart-large
948,barycentric coordinate,барицентрические координаты
949,base classifier,базовый классификатор
950,base distribution,базовое распределение
951,base learner,базовый обучающий алгоритм
952,base model,базовая модель
953,baseline,Базовая модель
954,baseline algorithm,базовый алгоритм
955,baseline method,базовый метод
956,baseline model,базовая модель
957,baseline parser,базовый парсер
958,baseline policy,базовая политика
959,baseline system,базовая система
960,basis function,базисная функция
961,basis vector,базисный вектор
962,batch algorithm,Пакетный алгоритм
963,batch dimension,размерность пакета
964,batch element,элемент пакета
965,batch learning,пакетное обучение
966,batch mode,пакетный режим
967,batch normalization,Нормализация по мини-батчам
968,batch optimization,пакетная оптимизация
969,batch processing,пакетная обработка
970,batch setting,пакетный режим
971,batch training,пакетное обучение
972,beam search,поиск с лучом
973,beam search algorithm,алгоритм поиска луча
974,beam search decoding,декодирование с использованием поиска по лучам
975,beam search decoding algorithm,алгоритм декодирования поиска луча
976,beam size,Размер луча
977,beam width,ширина луча
978,behavior cloning,клонирование поведения
979,behavior policy,политика поведения
980,behaviourism,бихейвиоризм
981,belief function,функция доверия
982,belief logic,логика веры
983,belief propagation,распространение убеждений
984,belief state,состояние убеждения
985,belief system,система доверия
986,benchmark,бенчмарк
987,benchmark dataset,эталонный набор данных
988,benchmark task,бенчмарк задача
989,best-first search,"поиск по принципу ""сперва лучше"""
990,best-first search algorithm,алгоритм поиска с наилучшим первым
991,beta distribution,Бета-распределение
992,beta1,бета1
993,between-class variance,межклассовая дисперсия
994,betweenness,центральность
995,bi-gram,биграмма
996,bi-level optimization,Двухуровневая оптимизация
997,bias,смещение
998,bias mitigation,смягчение предвзятости
999,bias parameter,параметр предвзятости
1000,bias term,член смещения
1001,bias vector,вектор смещения
1002,bias-variance tradeoff,компромисс между смещением и дисперсией
1003,biased estimator,смещённый оцениватель
1004,bibliographic coupling,библиографическая связь
1005,bicubic interpolation,бикубическая интерполяция
1006,bidirectional Transformer,двунаправленный трансформер
1007,bidirectional encoder,двунаправленный энкодер
1008,bidirectional heuristic search,двунаправленный эвристический поиск
1009,bidirectional model,двунаправленная модель
1010,bidirectional search,двунаправленный поиск
1011,bidirectionality,двунаправленность
1012,big-O notation,нотация «большое О»
1013,bigram count,количество биграмм
1014,bigram language model,биграммная языковая модель
1015,bijective function,Биективная функция
1016,bijective mapping,Биективное отображение
1017,bilateral filtering,билатеральная фильтрация
1018,bilinear,билинейный
1019,bilinear form,билинейная форма
1020,bilinear interpolation,билинейная интерполяция
1021,bilinear model,Билинейная модель
1022,bilingual model,билингвальная модель
1023,binarization,бинаризация
1024,binary atom,бинарный атом
1025,binary classification,бинарная классификация
1026,binary classification head,голова бинарной классификации
1027,binary classification problem,задача бинарной классификации
1028,binary classification task,задача бинарной классификации
1029,binary classifier,бинарный классификатор
1030,binary constraint,двоичное ограничение
1031,binary cross entropy,двоичная кросс-энтропия
1032,binary cross-entropy loss,потеря бинарной кросс-энтропии
1033,binary decision tree,бинарное дерево решений
1034,binary feature,двоичный признак
1035,binary label,двоичная метка
1036,binary matrix,двоичная матрица
1037,binary predicate,бинарный предикат
1038,binary relation,бинарное отношение
1039,binary search,бинарный поиск
1040,binary segmentation,двоичная сегментация
1041,binary tree,дерево двоичное
1042,binary variable,двоичная переменная
1043,binary vector,Двоичный вектор
1044,binomial distribution,Биномиальное распределение
1045,bioinformatic,биоинформатика
1046,biological neural network,биологическая нейронная сеть
1047,bipartite,двудольный
1048,bipartite graph,двудольный граф
1049,bipartite matching,двудольное сопоставление
1050,bipartite structure,двудольная структура
1051,birth-death process,процесс рождения-смерти
1052,bisection method,Метод бисекции
1053,bisimulation,Бисимуляция
1054,bitext,двуязычный текст
1055,bitvector,битовый вектор
1056,black box,ящик черный
1057,black-box,чёрный ящик
1058,black-box model,модель черного ящика
1059,blackboard,доска объявлений
1060,block coordinate descent,блочный координатный спуск
1061,block matrix,Блочная матрица
1062,block-diagonal matrix,блочно-диагональная матрица
1063,blur kernel,ядро размытия
1064,boosting algorithm,алгоритм бустинга
1065,boosting approach,подход бустинга
1066,bootstrap learning,обучение с использованием бутстрэппинга
1067,bootstrap resampling,бутстрэп-ресемплирование
1068,bootstrap sample,бутстрэп-выборка
1069,bottleneck,узкое место
1070,bottleneck layer,слой-узкое место
1071,bottom-up,снизу вверх
1072,bottom-up learning,восходящее обучение
1073,bottom-up module,восходящий модуль
1074,bottom-up parsing,восходящий синтаксический анализ
1075,bound variable,переменная связанная
1076,bounded rationality,ограниченная рациональность
1077,bounding box,ограничивающая рамка
1078,bounding box detection,обнаружение ограничивающих прямоугольников
1079,bounding box regression,регрессия ограничивающих прямоугольников
1080,bounding box regressor,регрессор ограничивающих прямоугольников
1081,branch and bound algorithm,алгоритм ветвления и границ
1082,branch-and-bound method,метод ветвей и границ
1083,branching factor,фактор разветвления
1084,breadth-first order,порядок обхода в ширину
1085,breadth-first search,поиск в ширину
1086,brute force search,поиск перебором
1087,burn-in,период разогрева
1088,calculus,исчисления
1089,calculus of variation,вариационное исчисление
1090,calibration,калибровка
1091,calibration method,метод калибровки
1092,call by pattern,вызов по образцу
1093,camera calibration,калибровка камеры
1094,camera intrinsic,внутренние параметры камеры
1095,camera matrix,матрица камеры
1096,camera parameter,параметры камеры
1097,camera pose estimation,Оценка позы камеры
1098,candidate generation,генерация кандидатов
1099,candidate set,множество кандидатов
1100,canonical basis,каноническая основа
1101,canonical correlation analysis,канонический корреляционный анализ
1102,canonical form,каноническая форма
1103,canonical frame,каноническая система координат
1104,canonical space,Каноническое пространство
1105,canonicalization,каноникализация
1106,capsule network,капсульная сеть
1107,cardinality,кардинальность
1108,cardinality constraint,ограничение по кардинальности
1109,cascade model,Каскадная модель
1110,case frame,фрейм падежный
1111,case grammar,грамматика падежная
1112,case structure,структура падежная
1113,catastrophic forgetting,Катастрофическое забывание
1114,categorial grammar,категориальная грамматика
1115,categorical cross-entropy,Категориальная кросс-энтропия
1116,categorical distribution,категориальное распределение
1117,categorical feature,категориальный признак
1118,causal effect,причинный эффект
1119,causal effect estimation,оценка причинного эффекта
1120,causal entropy,Каузальная энтропия
1121,causal graph,причинный граф
1122,causal inference,причинно-следственная инференция
1123,causal intervention,каузальная интервенция
1124,causal language model,каузальная языковая модель
1125,causal logic,логика каузальная
1126,causal model,каузальная модель
1127,causal network,сеть каузальная
1128,causal reasoning,каузальное рассуждение
1129,causal relation,отношение каузальное
1130,causal rule,каузальное правило
1131,causal theory,каузальная теория
1132,causation,каузация
1133,cell state,состояние ячейки
1134,cellular automaton,автомат клеточный
1135,center crop,центральная обрезка
1136,center of projection,центр проекции
1137,centrality measure,мера центральности
1138,centroid,центр масс
1139,chain rule,правило цепочки
1140,change of basis,замена базиса
1141,character embedding,векторное представление символов
1142,character n-gram,Символьные n-граммы
1143,characteristic function,характеристическая функция
1144,characteristic polynomial,характеристический многочлен
1145,characteristic vector,характеристический вектор
1146,chart parser,парсер диаграмм
1147,chart parsing,парсинг диаграмм
1148,chatbot,чат-бот
1149,checkpoint,контрольная точка
1150,chemoinformatic,хемоинформатика
1151,chi-square distribution,распределение хи-квадрат
1152,chi-square test,тест хи-квадрат
1153,child node,дочерний узел
1154,chromosome,хромосома
1155,chunk size,Размер чанка
1156,citation network,Сеть цитирования
1157,class,класс
1158,class balance,Баланс классов
1159,class distribution,Распределение классов
1160,class imbalance,дисбаланс классов
1161,class label,Метка класса
1162,class prior,априорное распределение класса
1163,classical planning,классическое планирование
1164,classification,классификация
1165,classification accuracy,точность классификации
1166,classification algorithm,алгоритм классификации
1167,classification approach,классификационный подход
1168,classification error,ошибка классификации
1169,classification head,классификационная голова
1170,classification loss,ошибка классификации
1171,classification margin,классификационная маржа
1172,classification method,метод классификации
1173,classification metric,метрика классификации
1174,classification model,классификационная модель
1175,classification network,классификационная сеть
1176,classification objective,цель классификации
1177,classification problem,задача классификации
1178,classification score,классификационный балл
1179,classification task,задача классификации
1180,classification token,токен классификации
1181,clause learning,обучение на клауза́х
1182,click model,модель кликов
1183,clip range,диапазон клипа
1184,clipping factor,коэффициент отсечения
1185,clipping threshold,порог отсечения
1186,clique potential,потенциал клики
1187,closed formula,формула замкнутая
1188,closed frequent itemset,замкнутое частое множество
1189,closed knowledge base,база знаний замкнутая
1190,closed model,модель замкнутая
1191,closed-book model,модель без доступа к информации
1192,closed-world,Замкнутый мир
1193,cloze prompt,задание с пропусками
1194,cloze task,задание с пропусками
1195,cluster analisys,анализ кластерный
1196,cluster assignment,присвоение кластеров
1197,cluster center,Центр кластера
1198,cluster centroid,центроид кластера
1199,cluster feature,характеристика кластера
1200,cluster label,метка кластера
1201,cluster size,Размер кластера
1202,clustering,кластеризация
1203,clustering algorithm,алгоритм кластеризации
1204,clustering criterion,критерий кластеризации
1205,clustering method,метод кластеризации
1206,clustering problem,задача кластеризации
1207,clusterization,кластеризация
1208,co-occurrence,совместное появление
1209,co-occurrence matrix,матрица совместных вхождений
1210,co-occurrence statistic,статистика совместной встречаемости
1211,co-reference,ко-референция
1212,co-training,кообучение
1213,coarse correlated equilibria,грубо коррелированные равновесия
1214,coarse correlated equilibrium,грубое коррелированное равновесие
1215,coarse layer,грубый слой
1216,coarse-to-fine,от грубого к тонкому
1217,coarse-to-fine approach,подход от грубого к тонкому
1218,coarse-to-fine cascade,каскад от грубого к тонкому
1219,coarse-to-fine strategy,стратегия от грубого к тонкому
1220,codebook,кодбук
1221,codomain,кодомен
1222,coefficient matrix,матрица коэффициентов
1223,cogitology,когитология
1224,cognitive dissonance,диссонанс когнитивный
1225,cognitive graphics,графика когнитинвная
1226,cognitive map,карта когнитивная
1227,cognitive model,модель когнитивная
1228,cognitive psychology,психология когнитивная
1229,cognitive science,когнитивная наука
1230,cognitive structure,структура когнитивная
1231,cold start,проблема холодного старта
1232,collaborative filtering,совместная фильтрация
1233,collaborative learning,коллаборативное обучение
1234,collective inference,коллективное инференцирование
1235,color channel,цветовой канал
1236,color constancy,постоянство цвета
1237,colorization,Колоризация
1238,column space,пространство столбцов
1239,column vector,вектор-столбец
1240,combination of evidences,объединение свидетельств
1241,combinator,комбинатор
1242,combinatorial explosion,комбинаторный взрыв
1243,combinatorial optimization,комбинаторная оптимизация
1244,combinatorial optimization problem,задача комбинаторной оптимизации
1245,command logic,логика команд
1246,common-sense inference,вывод естественный
1247,common-sense logic,логика здравого смысла
1248,common-sense reasoning,рассуждение здравого смысла
1249,commonsense inference,инференция здравого смысла
1250,commonsense knowledge,знания здравого смысла
1251,commonsense knowledge graph,граф знаний здравого смысла
1252,communication,общение
1253,communication complexity,коммуникационная сложность
1254,communication graph,коммуникационный граф
1255,communication model,модель общения
1256,compactness hypothesis,гипотеза компактности
1257,compatibility function,функция совместимости
1258,compatibility graph,граф совместимости
1259,competitive ratio,конкурентное соотношение
1260,complete induction (mathematical),индукция полная (математическая)
1261,composition function,функция композиции
1262,compositional generalization,композиционная генерализация
1263,compositional inference rule,правило вывода композиционное
1264,compositional semantic,композиционная семантика
1265,compositionality,Композиционность
1266,compressive sensing,компрессивное восприятие
1267,computation,вычисление
1268,computation complexity,вычислительная сложность
1269,computation graph,граф вычислений
1270,computational argumentation,вычислительная аргументация
1271,computational budget,вычислительный бюджет
1272,computational complexity,вычислительная сложность
1273,computational experiment,вычислительный эксперимент
1274,computational graph,вычислительный граф
1275,computational linguistics,лингвистика вычислительная
1276,computational model,модель вычислительная
1277,compute budget,вычислительный бюджет
1278,computer architecture,архитектура компьютера
1279,computer art,творчество машинное
1280,computer linguistics,лингвистика компьютерная
1281,computer vision,зрение машинное
1282,computer vision model,модель компьютерного зрения
1283,computer-aided control system,система управления автоматизированная
1284,computer-aided design,система автоматизированного проектирования
1285,concatenation operation,операция конкатенации
1286,concentration inequality,неравенство концентрации
1287,concentration parameter,параметр концентрации
1288,concept,концепт
1289,concept assertion,утверждение концепта
1290,concept atom,атом концепта
1291,concept class,класс концептов
1292,concept drift,дрейф концепции
1293,concept inclusion,включение концепта
1294,concept name,имя концепта
1295,conceptual model,модель концептуальная
1296,conceptual scheme,схема концептуальная
1297,condition number,число обусловленности
1298,conditional computation,условные вычисления
1299,conditional density,условная плотность
1300,conditional distribution,условное распределение
1301,conditional effect,условный эффект
1302,conditional entropy,условная энтропия
1303,conditional expectation,условное математическое ожидание
1304,conditional gradient,условный градиент
1305,conditional independence,условная независимость
1306,conditional independency,условная независимость
1307,conditional likelihood,условная вероятность
1308,conditional log likelihood,условное логарифмическое правдоподобие
1309,conditional log probability,условная логарифмическая вероятность
1310,conditional maximum entropy,условная максимальная энтропия
1311,conditional model,Условная модель
1312,conditional probability,Условная вероятность
1313,conditional probability distribution,условное распределение вероятностей
1314,conditional random field,Условное случайное поле
1315,conditional sampling,Условная выборка
1316,conditional text generation,условная генерация текста
1317,conditioning,условие
1318,conditioning vector,условный вектор
1319,confidence,достоверность
1320,confidence bound,доверительная граница
1321,confidence interval,доверительный интервал
1322,confidence map,карта уверенности
1323,confidence score,оценка уверенности
1324,confidence threshold,порог уверенности
1325,configuration,конфигурация
1326,confusion matrix,матрица ошибок
1327,confusion network,сеть неразберихи
1328,conjugate gradient,метод сопряжённых градиентов
1329,conjugate gradient descent,сопряжённый градиентный спуск
1330,conjugate gradient method,метод сопряжённых градиентов
1331,conjunct,конъюнкт
1332,conjunction,конъюнкция
1333,conjunctive normal form,конъюнктивная нормальная форма
1334,conjunctive query,конъюнктивный запрос
1335,connected component,связная компонента
1336,connection machine,машина связей
1337,connectional network,сеть соединительная
1338,connectionist model,коннекционистская модель
1339,connectivity matrix,матрица связности
1340,consensus network decoding,декодирование консенсусной сети
1341,consequent,следствие
1342,consistency tree,дерево составляющих
1343,consistent estimator,состоятельный оцениватель
1344,constellation model,модель созвездия
1345,constituency parser,анализатор конституентов
1346,constituency parsing,разбор конституентов
1347,constituency tree,дерево составляющих
1348,constituent parsing,анализ конституэнтных структур
1349,constituent structure,конституэнтная структура
1350,constrained beam search,ограниченный лучевой поиск
1351,constrained decoding,ограниченное декодирование
1352,constrained optimization,ограниченная оптимизация
1353,constrained optimization problem,задача ограниченной оптимизации
1354,constraint,ограничение
1355,constraint generation,генерация ограничений
1356,constraint programming,программирование с ограничениями
1357,constraint propagation,распространение ограничений
1358,constraint satisfaction,удовлетворение ограничений
1359,constraint satisfaction problem,задача удовлетворения ограничений
1360,constraint set,набор ограничений
1361,constructive logic,логика конструктивная
1362,constructive proof,доказательство конструктивное
1363,content model,модель содержания
1364,content selection,выбор содержания
1365,context encoder,кодировщик контекста
1366,context free grammar,Контекстно-свободная грамматика
1367,context model,контекстная модель
1368,context vector,вектор контекста
1369,context window,окно контекста
1370,context-free language,Контекстно-свободный язык
1371,contextual embedding,контекстуальное встраивание
1372,contextual feature,контекстная характеристика
1373,contextual information,контекстная информация
1374,contextual model,контекстуальная модель
1375,contextual representation,контекстуальное представление
1376,contextual vector,контекстуальный вектор
1377,contextual word embedding,контекстное встраивание слов
1378,contextualized embedding,контекстуализированное встраивание
1379,contextualized representation,Контекстуализированное представление
1380,contextualized word vector,контекстуализированный вектор слова
1381,contingency table,таблица сопряженности
1382,continual learning,Непрерывное обучение
1383,continuous normalizing flow,непрерывные нормализующие потоки
1384,contrastive approach,контрастивный подход
1385,contrastive fine-tuning,контрастивное дообучение
1386,contrastive loss,контрастивная потеря
1387,contrastive objective,контрастивная цель
1388,control variate,контрольная переменная
1389,controllable text generation,контролируемая генерация текста
1390,conv layer,свёрточный слой
1391,convergence,сходимость
1392,convergence analysis,анализ сходимости
1393,convergence bound,граница сходимости
1394,convergence criterion,критерий сходимости
1395,convergence rate,скорость сходимости
1396,convergence time,время сходимости
1397,conversation history,история разговора
1398,conversational agent,разговорный агент
1399,conversational dialogue system,разговорная диалоговая система
1400,convex,выпуклый
1401,convex combination,выпуклая комбинация
1402,convex conjugate,выпуклый сопряженный функционал
1403,convex constraint,выпуклое ограничение
1404,convex decomposition,выпуклая декомпозиция
1405,convex function,выпуклая функция
1406,convex hull,Выпуклая оболочка
1407,convex loss,выпуклая функция потерь
1408,convex objective,выпуклая целевая функция
1409,convex objective function,выпуклая целевая функция
1410,convex optimization,выпуклая оптимизация
1411,convex optimization problem,задача выпуклой оптимизации
1412,convex problem,выпуклая задача
1413,convex program,выпуклая программа
1414,convex proxy,выпуклый прокси
1415,convex quadratic program,выпуклая квадратичная программа
1416,convex relaxation,выпуклая релаксация
1417,convex risk minimization,минимизация выпуклого риска
1418,convex set,выпуклое множество
1419,convex surrogate,выпуклый суррогат
1420,convex-concave,выпукло-вогнутая
1421,convexity,выпуклость
1422,convolution,Свёртка
1423,convolution kernel,ядро свертки
1424,convolution layer,свёрточный слой
1425,convolution neural network,свёрточная нейронная сеть
1426,convolution operation,операция свертки
1427,convolution operator,оператор свертки
1428,convolutional,свёрточный
1429,convolutional architecture,свёрточная архитектура
1430,convolutional block,свёрточный блок
1431,convolutional decoder,свёрточный декодер
1432,convolutional encoder,свёрточный энкодер
1433,convolutional feature,сверточный признак
1434,convolutional filter,свёрточный фильтр
1435,convolutional kernel,Сверточное ядро
1436,convolutional layer,свёрточный слой
1437,convolutional network,свёрточная сеть
1438,convolutional neural net,свёрточная нейронная сеть
1439,convolutional neural network,свёрточная нейронная сеть
1440,convolutional representation,свёрточное представление
1441,cooling schedule,график охлаждения
1442,coordinate ascent,метод подъёма по координатам
1443,coordinate descent,координатный спуск
1444,coordinate descent algorithm,алгоритм координатного спуска
1445,coordinate frame,система координат
1446,copy mechanism,механизм копирования
1447,core tensor,основной тензор
1448,coreference,корреляция
1449,coreference annotation,аннотация кореференции
1450,coreference chain,цепочка кореференции
1451,coreference resolution model,модель разрешения кореференции
1452,coreference resolution system,система разрешения кореференции
1453,coreferent,кореферент
1454,corpus,корпус
1455,correlated equilibria,скоррелированные равновесия
1456,correlated equilibrium,скоррелированное равновесие
1457,correlation coefficient,коэффициент корреляции
1458,correspondence matrix,матрица соответствия
1459,cosine,косинус
1460,cosine decay,косинусное затухание
1461,cosine decay schedule,расписание косинусного затухания
1462,cosine learning rate schedule,расписание косинусной скорости обучения
1463,cosine measure,Косинусная мера
1464,cosine schedule,косинусное расписание
1465,cosine similarity,косинусное сходство
1466,cosine similarity measure,мера косинусного сходства
1467,cost function,функция стоимости
1468,cost vector,вектор затрат
1469,cost volume,объем затрат
1470,cost-sensitive learning,Обучение с учетом стоимости
1471,counterexample,контрпример
1472,counterfactual datum,контрфактические данные
1473,counterfactual example,контрфактический пример
1474,counterfactual fairness,контрфактуальная справедливость
1475,counterfactual reasoning,контрфактическое рассуждение
1476,covariance,Ковариация
1477,covariance function,функция ковариации
1478,covariance kernel,ковариационное ядро
1479,covariance matrix,ковариационная матрица
1480,covariance model,Модель ковариации
1481,covariance operator,оператор ковариации
1482,covariance parameter,параметры ковариации
1483,covariance structure,структура ковариации
1484,covariant derivative,Ковариантная производная
1485,covariate,ковариата
1486,covariate shift,ковариатный сдвиг
1487,credit assignment,распределение заслуг
1488,credit assignment problem,проблема распределения заслуг
1489,criterion,критерий
1490,critic,критик
1491,critic loss,потери критика
1492,critic network,сеть критика
1493,cross attention,перекрестное внимание
1494,cross entropy,перекрестная энтропия
1495,cross entropy error,ошибка кросс-энтропии
1496,cross validation,кросс-валидация
1497,cross-attention layer,слой перекрестного внимания
1498,cross-attention module,модуль перекрестного внимания
1499,cross-correlation,кросс-корреляция
1500,cross-entropy loss function,функция потерь кросс-энтропии
1501,cross-entropy objective,целевая функция кросс-энтропии
1502,cross-lingual benchmark,кросс-лингвистический бенчмарк
1503,cross-lingual embedding,кросс-языковое встраивание
1504,cross-lingual feature,кросс-языковая особенность
1505,cross-lingual knowledge transfer,кросс-языковой перенос знаний
1506,cross-lingual model,кросс-лингвальная модель
1507,cross-lingual representation,кросс-языковое представление
1508,cross-lingual transfer,кросс-лингвальный перенос
1509,cross-modal,кросс-модальный
1510,cross-validating,кросс-валидация
1511,cumulant generating function,кумулянтная производящая функция
1512,cumulative density function,кумулятивная функция распределения
1513,cumulative distribution function,функция накопленного распределения
1514,cumulative regret,кумулятивное сожаление
1515,cumulative reward,накопительное вознаграждение
1516,curriculum learning,обучение по принципу куррикулума
1517,curse of dimensionality,проклятие размерности
1518,cutting plane,отсекательная плоскость
1519,cutting plane algorithm,алгоритм отсекущих плоскостей
1520,cutting plane method,метод аналитического центра отсекательных плоскостей
1521,cycle consistency,циклическая согласованность
1522,cycle consistency loss,потеря циклической согласованности
1523,cycle inequality,неравенство цикла
1524,d-separation,d-разделение
1525,d_model,d_model
1526,data abstraction,абстракция данных
1527,data augmentation,Аугментация данных
1528,data base,база данных
1529,data base machine,машина баз данных
1530,data base management system,система управления базой данных
1531,data base processor,процессор базы данных
1532,data distribution,распределение данных
1533,data flow,поток данных
1534,data flow architecture,архитектура потоковая
1535,data flow machine,"машина, управляемая потоком данных"
1536,data imbalance,дисбаланс данных
1537,data manifold,манифолд данных
1538,data mining,интеллектуальный анализ данных
1539,data point,точка данных
1540,data processing inequality,Неравенство обработки данных
1541,data representation,представление данных
1542,data sparseness,разреженность данных
1543,data sparsity,разреженность данных
1544,data structure,структура данных
1545,data type,тип данных
1546,data vector,вектор данных
1547,data-to-text generation,генерация текста на основе данных
1548,dataset augmentation,расширение датасета
1549,dataset bias,предвзятость набора данных
1550,dataset size,размер набора данных
1551,datasheet,описание набора данных
1552,datum bias,предвзятость данных
1553,datum clustering,кластеризация данных
1554,datum contamination,контаминация данных
1555,datum dependency,зависимость данных
1556,datum fidelity,достоверность данных
1557,datum filtering,фильтрация данных
1558,datum generative process,процесс генерации данных
1559,datum matrix,матрица данных
1560,datum mining algorithm,алгоритм добычи данных
1561,datum parallelism,параллелизм данных
1562,datum perturbation,пертурбация данных
1563,davinci,davinci
1564,de Morgan rules,правила де Моргана
1565,decay parameter,Параметр затухания
1566,decentralized algorithm,децентрализованный алгоритм
1567,decision boundary,граница принятия решения
1568,decision function,функция принятия решения
1569,decision node,узел принятия решения
1570,decision policy,Политика принятия решений
1571,decision problem,задача принятия решений
1572,decision rule,правило принятия решений
1573,decision space,пространство решений
1574,decision stumps,решающие пни
1575,decision theory,теория принятия решений
1576,decision tree,дерево решений
1577,decision variable,переменная решения
1578,declarative component,компонента декларативная
1579,declarative knowledge,знания декларативные
1580,decoder,декодер
1581,decoder hidden state,скрытое состояние декодера
1582,decoder layer,слой декодера
1583,decoder network,сеть декодера
1584,decoder output,выход декодера
1585,decoder state,состояние декодера
1586,decoder-only transformer,трансформер только с декодером
1587,decoding,расшифровка
1588,decoding algorithm,алгоритм декодирования
1589,decoding problem,задача декодирования
1590,decoding step,шаг декодирования
1591,decoding strategy,стратегия декодирования
1592,decomposition,декомпозиция
1593,decomposition method,метод декомпозиции
1594,deconvolution,деконволюция
1595,deconvolution layer,деконволюционный слой
1596,deconvolutional layer,деконволюционный слой
1597,deductive system,система дедуктивная
1598,deep Q-learning,глубокое Q-обучение
1599,deep Q-network,глубокая Q-сеть
1600,deep architecture,глубокая архитектура
1601,deep belief network,Сеть глубоких убеждений
1602,deep case,падеж глубинный
1603,deep convolutional network,глубокая свёрточная сеть
1604,deep convolutional neural network,глубокая свёрточная нейронная сеть
1605,deep feature,глубокая характеристика
1606,deep generative model,Глубокая генеративная модель
1607,deep layer,глубокий слой
1608,deep learning,Глубокое обучение
1609,deep learning architecture,Архитектура глубокого обучения
1610,deep learning framework,Фреймворк глубокого обучения
1611,deep learning model,модель глубокого обучения
1612,deep learning system,система глубокого обучения
1613,deep model,глубокая модель
1614,deep net,глубокая нейронная сеть
1615,deep network,глубокая нейронная сеть
1616,deep network architecture,глубокая сетевая архитектура
1617,deep neural model,глубокая нейронная модель
1618,deep neural net,глубокая нейронная сеть
1619,deep neural network,глубокая нейронная сеть
1620,deep reinforcement learning,глубокое обучение с подкреплением
1621,deep structure,структура глубинная
1622,deep supervision,глубокое супервизирование
1623,deeply-supervised net,глубоко супервизируемая сеть
1624,default,дефолт
1625,default logic,логика рассуждений по умолчанию
1626,default reasoning,рассуждение по умолчанию
1627,default value,значение по умолчанию
1628,deformable template,деформируемый шаблон
1629,deformation field,поле деформации
1630,degree distribution,распределение степеней
1631,delayed reward,запаздывающее вознаграждение
1632,delexicalization,делексикализация
1633,delta kernel,дельта-ядро
1634,dendrogram,дендрограмма
1635,denoiser,денойзер
1636,denoising autoencoder,Автоэнкодер с шумоподавлением
1637,denoising diffusion probabilistic model,Модель вероятностного диффузионного денойзинга
1638,denoising network,сеть денойзинга
1639,denoising objective,задача шумоподавления
1640,denoising process,процесс денойзинга
1641,denoising score matching,денойзинг-скор-матчинг
1642,denoising score matching loss,функция потерь сопоставления оценок с шумоподавлением
1643,denotation,денотация
1644,denotatum,денотат
1645,dense,плотный
1646,dense attention,Плотное внимание
1647,dense depth map,плотная карта глубины
1648,dense feature,плотная характеристика
