Index,English,Japanese
1243,conditional independence,条件付き独立
1244,conditional independency,条件付き独立性
1245,conditional likelihood,条件付き尤度
1246,conditional log likelihood,条件付き対数尤度
1247,conditional log probability,条件付き対数確率
1248,conditional maximum entropy,条件付き最大エントロピー
1249,conditional model,条件付きモデル
1250,conditional probability,条件付き確率
1251,conditional probability distribution,条件付き確率分布
1252,conditional random field,条件付きランダムフィールド
1253,conditional sampling,条件付きサンプリング
1254,conditional text generation,条件付きテキスト生成
1255,conditioning,条件付け
1256,conditioning vector,条件ベクトル
1257,confidence,信頼度
1258,confidence bound,信頼度境界
1259,confidence interval,信頼区間
1260,confidence map,信頼度マップ
1261,confidence score,信頼度スコア
1262,confidence threshold,信頼度閾値
1263,configuration,構成
1264,confusion matrix,混同行列
1265,confusion network,混乱ネットワーク
1266,conjugate gradient,共役勾配
1267,conjugate gradient descent,共役勾配降下法
1268,conjugate gradient method,共役勾配法
1269,conjunct,結合詞
1270,conjunctive normal form,連言標準形
1271,conjunctive query,連言クエリ
1272,connected component,連結成分
1273,connectionist model,コネクショニストモデル
1274,connectivity matrix,接続行列
1275,consensus network decoding,コンセンサスネットワークデコーディング
1276,consequent,結果
1277,consistent estimator,整合的推定量
1278,constellation model,コンステレーションモデル
1279,constituency parser,構文解析器
1280,constituency parsing,句構造解析
1281,constituency tree,"""句構造木"" (phrase structure tree)"
1282,constituent parsing,構成素解析
1283,constituent structure,構成素構造
1284,constrained beam search,制約付きビームサーチ
1285,constrained decoding,制約付きデコーディング
1286,constrained optimization,制約付き最適化
1287,constrained optimization problem,制約付き最適化問題
1288,constraint,制約
1289,constraint generation,制約生成
1290,constraint programming,制約プログラミング
1291,constraint propagation,制約伝播
1292,constraint satisfaction,制約充足
1293,constraint satisfaction problem,制約充足問題
1294,constraint set,制約集合
1295,content model,コンテンツモデル
1296,content selection,コンテンツ選択
1298,context encoder,コンテキストエンコーダ
1299,context free grammar,文脈自由文法
1300,context model,コンテキストモデル
1301,context vector,コンテキストベクトル
1302,context window,コンテキストウィンドウ
1303,context-free language,文脈自由言語
1305,contextual embedding,文脈埋め込み
1306,contextual feature,文脈特徴
1307,contextual information,文脈情報
1308,contextual model,文脈モデル
1309,contextual representation,コンテキスト表現
1310,contextual vector,コンテキストベクトル
1311,contextual word embedding,コンテクスト依存の単語埋め込み
1313,contextualized embedding,文脈化された埋め込み
1314,contextualized representation,コンテキスト化された表現
1315,contextualized word vector,コンテキスト化された単語ベクトル
1316,contingency table,クロス集計表
1317,continual learning,継続的学習
1318,continuous normalizing flow,連続正規化フロー
1319,contrastive approach,対照的アプローチ
1320,contrastive fine-tuning,対照的ファインチューニング
1321,contrastive loss,コントラスト損失
1322,contrastive objective,対照的目的関数
1323,control variate,コントロールバリアテ
1324,controllable text generation,制御可能なテキスト生成
1325,conv layer,畳み込み層
1326,convergence,収束
1327,convergence analysis,収束解析
1328,convergence bound,収束境界
1329,convergence criterion,収束基準
1330,convergence rate,収束速度
1331,convergence time,収束時間
1332,conversation history,会話履歴
1334,conversational agent,会話型エージェント
1335,conversational dialogue system,会話型対話システム
1336,convex,凸
1337,convex combination,凸結合
1338,convex conjugate,凸共役
1339,convex constraint,凸制約
1340,convex decomposition,凸分解
1341,convex function,凸関数
1342,convex hull,凸包
1343,convex loss,凸損失
1344,convex objective,凸目的関数
1345,convex objective function,凸目的関数
1346,convex optimization,凸最適化
1347,convex optimization problem,凸最適化問題
1348,convex problem,凸問題
1349,convex program,凸最適化問題
1350,convex proxy,凸代理
1351,convex quadratic program,凸二次計画
1352,convex relaxation,凸緩和
1353,convex risk minimization,凸リスク最小化
1354,convex set,凸集合
1355,convex surrogate,凸代理関数
1356,convex-concave,凸凹
1357,convexity,凸性
1358,convolution,畳み込み
1359,convolution kernel,畳み込みカーネル
1360,convolution layer,畳み込み層
1361,convolution neural network,畳み込みニューラルネットワーク
1362,convolution operation,畳み込み演算
1363,convolution operator,畳み込み演算子
1364,convolutional,畳み込みの
1365,convolutional architecture,畳み込みアーキテクチャ
1366,convolutional block,畳み込みブロック
1367,convolutional decoder,畳み込みデコーダ
1368,convolutional encoder,畳み込みエンコーダ
1369,convolutional feature,畳み込み特徴
1370,convolutional filter,畳み込みフィルタ
1371,convolutional kernel,畳み込みカーネル
1372,convolutional layer,畳み込み層
1373,convolutional network,畳み込みネットワーク
1374,convolutional neural net,畳み込みニューラルネット
1375,convolutional neural network,畳み込みニューラルネットワーク
1376,convolutional representation,畳み込み表現
1377,cooling schedule,冷却スケジュール
1378,coordinate ascent,座標上昇法
1379,coordinate descent,座標降下法
1380,coordinate descent algorithm,座標降下アルゴリズム
1381,coordinate frame,座標フレーム
1382,copy mechanism,コピー機構
1383,core tensor,コアテンソル
1384,coreference,同一指示
1385,coreference annotation,共参照アノテーション
1386,coreference chain,共参照連鎖
1387,coreference resolution model,共参照解決モデル
1388,coreference resolution system,共参照解決システム
1389,coreferent,共参照対象
1390,corpus,コーパス
1391,correlated equilibria,相関平衡
1392,correlated equilibrium,相関均衡
1393,correlation coefficient,相関係数
1395,correspondence matrix,対応行列
1397,cosine,コサイン
1398,cosine decay,コサイン減衰
1399,cosine decay schedule,コサイン減衰スケジュール
1400,cosine learning rate schedule,コサイン学習率スケジュール
1401,cosine measure,余弦測度
1402,cosine schedule,コサインスケジュール
1403,cosine similarity,コサイン類似度
1404,cosine similarity measure,コサイン類似度測定
1405,cost function,コスト関数
1406,cost vector,コストベクトル
1407,cost volume,コストボリューム
1408,cost-sensitive learning,コスト感度学習
1409,counterexample,反例
1411,counterfactual datum,反実仮想データ
1412,counterfactual example,反実仮想例
1413,counterfactual fairness,反事実的公平性
1414,counterfactual reasoning,反事実的推論
1415,covariance,共分散
1416,covariance function,共分散関数
1417,covariance kernel,共分散カーネル
1418,covariance matrix,共分散行列
1419,covariance model,共分散モデル
1420,covariance operator,共分散演算子
1421,covariance parameter,共分散パラメータ
1422,covariance structure,共分散構造
1423,covariant derivative,共変微分
1424,covariate,共変量
1425,covariate shift,共変量シフト
1426,credit assignment,クレジット割り当て
1427,credit assignment problem,クレジット割り当て問題
1428,criterion,基準
1429,critic,クリティック
1430,critic loss,クリティック損失
1431,critic network,クリティックネットワーク
1432,cross attention,クロスアテンション
1433,cross entropy,クロスエントロピー
1434,cross entropy error,クロスエントロピー誤差
1435,cross validation,交差検証
1436,cross-attention layer,クロスアテンション層
1437,cross-attention module,クロスアテンションモジュール
1438,cross-correlation,相互相関
1439,cross-entropy loss function,クロスエントロピー損失関数
1440,cross-entropy objective,クロスエントロピー目的
1441,cross-lingual benchmark,クロスリンガルベンチマーク
1442,cross-lingual embedding,クロスリンガル埋め込み
1443,cross-lingual feature,クロスリンガル特徴
1444,cross-lingual knowledge transfer,クロスリンガル知識転送
1445,cross-lingual model,クロスリンガルモデル
1446,cross-lingual representation,クロスリンガル表現
1447,cross-lingual transfer,クロスリンガルトランスファー
1448,cross-modal,クロスモーダル
1449,cross-validating,クロスバリデーション
1450,cumulant generating function,累積生成関数
1451,cumulative density function,累積密度関数
1452,cumulative distribution function,累積分布関数
1453,cumulative regret,累積後悔
1454,cumulative reward,累積報酬
1455,curriculum learning,カリキュラム学習
1456,curse of dimensionality,次元の呪い
1457,cutting plane,カッティングプレーン
1458,cutting plane algorithm,カッティングプレーンアルゴリズム
1459,cutting plane method,カッティングプレーン法
1460,cycle consistency,サイクル一貫性
1461,cycle consistency loss,サイクル一貫性損失
1462,cycle inequality,サイクル不等式
1463,d-separation,d-分離
1464,d_model,d_model
1466,data augmentation,データ拡張
1467,data distribution,データ分布
1468,data imbalance,データの不均衡
1469,data manifold,データ多様体
1470,data mining,データマイニング
1471,data point,データポイント
1472,data processing inequality,データ処理不等式
1473,data sparseness,データの希薄性
1474,data sparsity,データの疎性
1475,data structure,データ構造
1476,data vector,データベクトル
1477,data-to-text generation,データからテキスト生成
1478,dataset augmentation,データセット拡張
1479,dataset bias,データセットバイアス
1480,dataset size,データセットサイズ
1482,datasheet,データシート
1483,datum bias,データバイアス
1484,datum clustering,データクラスタリング
1485,datum contamination,データ汚染
1486,datum dependency,データ依存性
1487,datum fidelity,データ忠実度
1488,datum filtering,データフィルタリング
1489,datum generative process,データ生成プロセス
1490,datum matrix,データ行列
1491,datum mining algorithm,データマイニングアルゴリズム
1492,datum parallelism,データ並列性
1493,datum perturbation,データ摂動
1494,davinci,ダヴィンチ
1495,decay parameter,減衰パラメータ
1496,decentralized algorithm,分散型アルゴリズム
1497,decision boundary,決定境界
1498,decision function,決定関数
1499,decision node,決定ノード
1500,decision policy,意思決定ポリシー
1501,decision problem,決定問題
1502,decision rule,決定ルール
1503,decision space,決定空間
1504,decision stumps,決定スタンプ
1505,decision theory,意思決定理論
1506,decision tree,決定木
1507,decision variable,決定変数
1508,decoder,デコーダー
1509,decoder hidden state,デコーダ隠れ状態
1510,decoder layer,デコーダ層
1511,decoder network,デコーダネットワーク
1512,decoder output,デコーダ出力
1513,decoder state,デコーダ状態
1514,decoder-only transformer,デコーダ専用トランスフォーマー
1515,decoding,デコーディング
1516,decoding algorithm,デコーディングアルゴリズム
1517,decoding problem,デコーディング問題
1518,decoding step,デコーディングステップ
1519,decoding strategy,デコーディング戦略
1520,decomposition,分解
1521,decomposition method,分解法
1522,deconvolution,デコンボリューション
1523,deconvolution layer,デコンボリューション層
1524,deconvolutional layer,デコンボリューショナル層
1525,deep Q-learning,深層Q学習
1526,deep Q-network,ディープQネットワーク
1527,deep architecture,ディープアーキテクチャ
1528,deep belief network,深層信念ネットワーク
1529,deep convolutional network,深層畳み込みネットワーク
1530,deep convolutional neural network,深層畳み込みニューラルネットワーク
1531,deep feature,深層特徴
1532,deep generative model,深層生成モデル
1533,deep layer,深層
1534,deep learning,深層学習
1535,deep learning architecture,深層学習アーキテクチャ
1536,deep learning framework,深層学習フレームワーク
1537,deep learning model,深層学習モデル
1538,deep learning system,深層学習システム
1539,deep model,深層モデル
1540,deep net,ディープネット
1541,deep network,深層ネットワーク
1542,deep network architecture,深層ネットワークアーキテクチャ
1543,deep neural model,深層ニューラルモデル
1544,deep neural net,深層ニューラルネット
1545,deep neural network,深層ニューラルネットワーク
1546,deep reinforcement learning,深層強化学習
1547,deep supervision,ディープスーパービジョン
1548,deeply-supervised net,ディープスーパーバイズネット
1549,default logic,デフォルト論理
1550,deformable template,変形テンプレート
1551,deformation field,変形場
1552,degree distribution,次数分布
1553,delayed reward,遅延報酬
1554,delexicalization,デレクシカリゼーション
1555,delta kernel,デルタカーネル
1556,dendrogram,デンドログラム
1557,denoiser,デノイザー
1558,denoising autoencoder,デノイジングオートエンコーダ
1559,denoising diffusion probabilistic model,デノイジング拡散確率モデル
1560,denoising network,デノイジングネットワーク
1561,denoising objective,デノイジング目的
1562,denoising process,デノイジングプロセス
1563,denoising score matching,デノイジングスコアマッチング
1564,denoising score matching loss,ノイズ除去スコアマッチング損失
1565,denotation,デノテーション
1566,dense,密な
1567,dense attention,密なアテンション
1568,dense depth map,密な深度マップ
1569,dense feature,密な特徴
1570,dense layer,密な層
1571,dense matrix,密行列
1572,dense network,密なネットワーク
1573,dense prediction,密な予測
1574,dense representation,密な表現
1575,dense vector,デンスベクトル
1576,density estimate,密度推定
1577,density estimation,密度推定
1578,density estimator,密度推定器
1579,density field,密度場
1580,density function,密度関数
1581,density gradient,密度勾配
1582,density ratio,密度比
1585,dependency arc,依存関係アーク
1586,dependency feature,依存関係特徴
1587,dependency graph,依存グラフ
1588,dependency label,依存ラベル
1589,dependency model,依存モデル
1590,dependency parse,依存構文解析
1591,dependency parse tree,依存構文解析木
1592,dependency parser,依存構文解析器
1593,dependency parsing model,依存構文解析モデル
1594,dependency path,依存経路
1595,dependency relation,依存関係
1596,dependency representation,依存表現
1597,dependency structure,依存構造
1598,dependency tree,依存木
1599,dependency treebank,依存関係ツリーバンク
1600,dependent variable,従属変数
1601,depth estimation,深度推定
1602,depth estimator,深度推定器
1603,depth image,深度画像
1604,depth map,深度マップ
1605,depth prediction,深度予測
1606,depth-first search,深さ優先探索
1607,description logic,記述論理
1608,descriptor,ディスクリプタ
1609,design matrix,デザイン行列
1610,design space,設計空間
1611,det,行列式
1613,detection algorithm,検出アルゴリズム
1614,detection model,検出モデル
1615,detection score,検出スコア
1616,detection window,検出ウィンドウ
1617,detector,検出器
1618,deterministic algorithm,決定論的アルゴリズム
1619,deterministic annealing,決定論的アニーリング
1620,deterministic automaton,決定論的オートマトン
1621,deterministic baseline,決定論的ベースライン
1622,deterministic finite automaton,決定論的有限オートマトン
1623,deterministic policy,決定論的ポリシー
1624,deterministic rule,決定論的ルール
1625,dev set,開発セット
1626,development set,開発セット
1627,diagonal matrix,対角行列
1628,dialog system,ダイアログシステム
1629,dialogue act,対話行為
1630,dialogue context,対話コンテキスト
1631,dialogue generation,対話生成
1632,dialogue history,対話履歴
1633,dialogue management,対話管理
1634,dialogue state,対話状態
1635,dialogue state tracker,ダイアログ状態トラッカー
1636,dialogue system,対話システム
1637,dialogue turn,対話ターン
1638,dictionary learning,辞書学習
1639,dictionary matrix,辞書行列
1640,diffeomorphism,微分同相
1641,differentiable function,微分可能関数
1642,differentiable renderer,微分可能レンダラー
1643,differentiable rendering,微分可能レンダリング
1644,differentiable rendering function,微分可能レンダリング関数
1645,differential entropy,微分エントロピー
1646,differential privacy,差分プライバシー
1647,diffusion matrix,拡散行列
1648,diffusion model,拡散モデル
1649,diffusion tensor,拡散テンソル
1650,digamma function,ディガンマ関数
1651,digit classification,数字分類
1652,dilated convolution,拡張畳み込み
1653,dilation,膨張
1654,dim,次元
1655,dimension,次元
1656,dimension reduction,次元削減
1657,dimensional vector,次元ベクトル
1658,dimensionality,次元数
1659,dimensionality reduction,次元削減
1660,directed acyclic graph,有向非巡回グラフ
1661,directed edge,有向辺
1662,directed graph,有向グラフ
1663,directed graphical model,有向グラフィカルモデル
1664,directed tree,有向木
1665,disambiguation,曖昧性解消
1666,discount factor,割引率
1667,discount parameter,割引パラメータ
1668,discounted cumulative reward,割引累積報酬
1669,discounted return,割引リターン
1670,discounted reward,割引報酬
1671,discounted state distribution,割引状態分布
1672,discrete distribution,離散分布
1673,discrete graphical model,離散グラフィカルモデル
1674,discrete random variable,離散確率変数
1675,discretization,離散化
1676,discriminant analysis,判別分析
1677,discriminant function,判別関数
1678,discriminative,判別的
1679,discriminative approach,判別的アプローチ
1680,discriminative feature,判別的特徴
1681,discriminative method,識別的手法
1682,discriminative model,識別モデル
1683,discriminative training,識別訓練
1684,discriminator,判別器
1685,discriminator network,識別器ネットワーク
1686,disentangle,解きほぐす
1687,disentangled representation,"""もつれの解けた表現"" (untangled expression)"
1688,disparity estimation,視差推定
1689,disparity map,視差マップ
1690,distance function,距離関数
1691,distance matrix,距離行列
1692,distance measure,距離測定
1693,distance metric,距離尺度
1694,distance transform,距離変換
1695,distant supervision,遠隔監視
1696,distillation,蒸留
1697,distributed information retrieval,分散情報検索
1698,distributed learning,分散学習
1699,distributed learning system,分散学習システム
1700,distributed representation,分散表現
1701,distribution shift,分布シフト
1702,distribution vector,分布ベクトル
1703,distributional,分布的
1704,distributional feature,分布的特徴
1705,distributional hypothesis,分布仮説
1706,distributional model,分布モデル
1707,distributional representation,分布表現
1708,distributional semantic,分布意味論
1709,distributional semantic model,分布意味論モデル
1710,distributional similarity,分布類似性
1711,distributional word representation,分布的単語表現
1712,distributionally robust optimization,分布的にロバストな最適化
1714,divergence operator,ダイバージェンス演算子
1715,diversity score,多様性スコア
1716,do-calculus,do-カルキュラス
1718,document classification,文書分類
1719,document clustering,文書クラスタリング
1720,document corpus,文書コーパス
1721,document retrieval,文書検索
1722,document summarization,文書要約
1723,document vector,文書ベクトル
1724,document-level,文書レベル
1725,document-topic assignment,文書-トピック割り当て
1728,domain adaptation,ドメイン適応
1729,domain element,ドメイン要素
1730,domain gap,ドメインギャップ
1731,domain generalization,ドメイン一般化
1732,domain knowledge,ドメイン知識
1733,domain mismatch,ドメインミスマッチ
1734,domain ontology,ドメインオントロジー
1735,domain shift,ドメインシフト
1736,domain transfer,ドメイン転送
1737,domain-specific,ドメイン固有
1739,dot product,ドット積
1740,dot-product attention,内積アテンション
1741,down-sampling,ダウンサンプリング
1742,down-sampling layer,ダウンサンプリング層
1743,downsampling block,ダウンサンプリングブロック
1744,downsampling factor,ダウンサンプリング係数
1745,downsampling layer,ダウンサンプリング層
1747,downstream dataset,ダウンストリームデータセット
1748,downstream model,ダウンストリームモデル
1749,downstream performance,下流性能
1750,downstream task,ダウンストリームタスク
1751,dropout,ドロップアウト
1752,dropout layer,ドロップアウト層
1753,dropout probability,ドロップアウト確率
1754,dropout rate,ドロップアウト率
1755,dropout ratio,ドロップアウト率
1756,dual decomposition,二重分解
1757,dual encoder model,二重エンコーダーモデル
1758,dual norm,双対ノルム
1759,dual objective,双対目的
1760,dual optimization problem,双対最適化問題
1761,dual parameter,双対パラメータ
1762,dual problem,双対問題
1763,dual program,双対プログラム
1764,dual solution,双対解
1765,dual variable,双対変数
1766,duality gap,双対ギャップ
1767,dynamic Bayesian network,動的ベイジアンネットワーク
1768,dynamic model,動的モデル
1769,dynamic programming,動的計画法
1770,dynamic programming algorithm,動的プログラミングアルゴリズム
1771,dynamic time warping,動的時間ワーピング
1772,dynamical model,動的モデル
1773,dynamical system,動的システム
1774,early fusion,早期融合
1775,early stopping,早期停止
1776,earth-mover distance,アースムーバー距離
1777,edge detection,エッジ検出
1778,edge feature,エッジ特徴
1779,edge label,エッジラベル
1780,edge prediction,エッジ予測
1781,edge set,エッジ集合
1782,edge weight,エッジ重み
1784,edit distance,編集距離
1785,effective receptive field,有効受容野
1786,ego-motion,自己運動
1787,eigen-decomposition,固有分解
1788,eigenbasis,固有基底
1789,eigendecay,固有減衰
1790,eigenfunction,固有関数
1791,eigenspace,固有空間
1792,eigenspectrum,固有スペクトル
1793,eigenvalue,固有値
1794,eigenvalue decomposition,固有値分解
1795,eigenvector,固有ベクトル
1796,elastic net regularization,エラスティックネット正則化
1797,element-wise,要素ごと
1798,element-wise multiplication,要素ごとの乗算
1799,element-wise product,要素ごとの積
1800,elementary tree,基本木
1801,eligibility trace,適格性トレース
1802,embedded deformation graph,埋め込み変形グラフ
1804,embedding dimension,埋め込み次元
1805,embedding dimensionality,埋め込み次元数
1806,embedding feature,埋め込み特徴
1807,embedding layer,埋め込み層
1808,embedding matrix,埋め込み行列
1809,embedding model,埋め込みモデル
1810,embedding parameter,埋め込みパラメータ
1811,embedding size,埋め込みサイズ
1812,embedding space,埋め込み空間
1813,embedding vector,埋め込みベクトル
1814,embedding-based metric,埋め込みベースのメトリック
1816,embodied agent,具現化されたエージェント
1817,emission probability,放出確率
1818,emotion classification,感情分類
1819,empirical Bayes,経験的ベイズ
1820,empirical distribution,経験的分布
1821,empirical estimate,経験的推定
1822,empirical estimator,経験的推定量
1823,empirical frequency,経験的頻度
1824,empirical loss,経験的損失
1825,empirical mean,経験的平均
1826,empirical measure,経験的測度
1827,empirical minimizer,経験的最小化器
1828,empirical process theory,経験的プロセス理論
1829,empirical risk,経験的リスク
1830,empirical risk minimization,経験的リスク最小化
1831,empirical risk minimizer,経験的リスク最小化器
1832,empirical variance,経験的分散
1833,emulator,エミュレーター
1834,encode,エンコード
1836,encoder layer,エンコーダ層
1837,encoder model,エンコーダモデル
1838,encoder network,エンコーダネットワーク
1839,encoder states,エンコーダ状態
1840,encoder-decoder,エンコーダ・デコーダ
1841,encoder-decoder architecture,エンコーダ・デコーダアーキテクチャ
1842,encoder-decoder framework,エンコーダ・デコーダフレームワーク
1843,encoder-decoder model,エンコーダ・デコーダモデル
1845,encoding,エンコーディング
1846,end-of-sequence token,シーケンス終了トークン
1847,end-to-end learning,エンドツーエンド学習
1848,end-to-end model,エンドツーエンドモデル
1849,end-to-end neural model,エンドツーエンドニューラルモデル
1850,end-to-end pipeline,エンドツーエンドパイプライン
1851,end-to-end system,エンドツーエンドシステム
1852,end-to-end training,エンドツーエンドトレーニング
1853,energy function,エネルギー関数
1854,energy minimization,エネルギー最小化
1855,energy minimization framework,エネルギー最小化フレームワーク
1856,energy minimization problem,エネルギー最小化問題
1857,ensemble classification,アンサンブル分類
1858,ensemble classifier,アンサンブル分類器
1859,ensemble learning,アンサンブル学習
1860,ensemble method,アンサンブル法
1861,ensemble model,アンサンブルモデル
1862,ensemble of classifier,分類器のアンサンブル
1863,ensemble size,アンサンブルサイズ
1864,entail,含意する
1865,entailment,含意
1866,entailment detection,含意検出
1869,entity coreference,エンティティ共参照
1870,entity description,エンティティ記述
1871,entity detection,エンティティ検出
1872,entity embedding,エンティティ埋め込み
1873,entity extraction,エンティティ抽出
1874,entity linker,エンティティリンカー
1875,entity mention,エンティティメンション
1876,entity recognition,エンティティ認識
1877,entity representation,エンティティ表現
1878,entity resolution,エンティティ解決
1879,entity set,エンティティセット
1880,entity type,エンティティタイプ
1881,entropy,エントロピー
1882,entropy estimation,エントロピー推定
1883,entropy function,エントロピー関数
1884,entropy loss,エントロピー損失
1885,entropy regularization,エントロピー正則化
1886,enumeration algorithm,列挙アルゴリズム
1887,envy-freeness,嫉妬フリー性
1888,eos,エンド・オブ・シーケンス
1889,epipolar constraint,エピポーラ制約
1890,epipolar geometry,エピポーラ幾何学
1891,epipolar line,エピポーラ線
1892,epipole,エピポール
1893,episodic return,エピソディックリターン
1894,epistemic uncertainty,認識論的不確実性
1895,epoch,エポック
1896,equalized odd,等化されたオッズ
1897,equivalence class,同値類
1898,equivalence query,同値クエリ
1899,equivariance,同変性
1900,equivariant,等変
1901,error,誤差
1902,error analysis,誤差分析
1903,error bound,エラーバウンド
1904,error function,誤差関数
1905,error probability,誤差確率
1906,error rate,誤差率
1907,error tolerance,誤差許容
1908,estimation error,推定誤差
1909,estimator,推定量
1910,evaluation,評価
1911,evaluation function,評価関数
1912,evaluation metric,評価指標
1913,evaluation set,評価セット
1915,event calculus,イベント計算
1916,event coreference,イベント共参照
1917,event detection,イベント検出
1918,event extraction,イベント抽出
1919,evidence lower bound,エビデンス下限
1920,evidence maximization,証拠最大化
1921,exact inference,厳密推論
1922,excess loss,超過損失
1923,exchangeability,交換可能性
1924,existential quantifier,存在量化子
1926,expectation maximization,期待値最大化
1927,expectation maximization algorithm,期待値最大化アルゴリズム
1928,expected loss,期待損失
1929,expected reward,期待報酬
1930,expected utility,期待効用
1931,experience replay,経験再生
1932,expert demonstration,エキスパートデモンストレーション
1933,explicit-state search,明示的状態探索
1934,exploding gradient,勾配爆発
1935,exploitability,利用可能性
1936,exploration rate,探索率
1937,exploratory data analysis,探索的データ分析
1938,exponential complexity,指数的複雑性
1939,exponential decay,指数関数的減衰
1940,exponential distribution,指数分布
1941,exponential family,指数族
1942,exponential loss,指数損失
1943,exponential map,指数写像
1944,exponential moving average,指数移動平均
1945,exposure bias,エクスポージャーバイアス
1946,extensive-form game,拡張形ゲーム
1949,extraction,抽出
1951,extractive question answering,抽出型質問応答
1952,extractive summarization,抽出型要約
1953,extractor,抽出器
1954,f-divergence,f-ダイバージェンス
1955,face detection,顔検出
1956,face detector,顔検出器
1957,face recognition,顔認識
1958,facial landmark,顔のランドマーク
1959,facial recognition,顔認識
1960,fact verification,事実確認
1961,factor analysis,因子分析
1962,factor graph,ファクターグラフ
1963,factor matrix,因子行列
1964,factor of variation,変動因子
1965,factorization,因子分解
1966,factorization algorithm,因子分解アルゴリズム
1967,factorization method,因子分解法
1968,failure probability,失敗確率
1969,fairness criterion,公平性基準
1970,fairness loss,公平性損失
1971,fairness notion,公平性の概念
1972,faithfulness score,忠実度スコア
1973,false negative,偽陰性
1974,false negative rate,偽陰性率
1975,false positive rate,偽陽性率
1976,fanout,ファンアウト
1977,fc layer,全結合層
1978,feasible set,実現可能集合
1979,feature,特徴
1980,feature channel,特徴チャネル
1981,feature correspondence,特徴対応
1982,feature count,特徴量カウント
1983,feature descriptor,特徴記述子
1984,feature detection,特徴検出
1985,feature detector,特徴検出器
1986,feature dimension,特徴次元
1987,feature dimensionality,特徴次元数
1988,feature embedding,特徴埋め込み
1989,feature encoder,特徴エンコーダ
1990,feature engineering,特徴エンジニアリング
1991,feature extraction,特徴抽出
1992,feature extractor,特徴抽出器
1993,feature function,特徴関数
1994,feature hashing,特徴ハッシング
1995,feature hierarchy,特徴階層
1996,feature map,特徴マップ
1997,feature mapping function,特徴マッピング関数
1998,feature matching,特徴マッチング
1999,feature matrix,特徴行列
2000,feature model,特徴モデル
2001,feature normalization,特徴正規化
2002,feature point,特徴点
2003,feature pyramid,特徴ピラミッド
2004,feature representation,特徴表現
2005,feature representation learning,特徴表現学習
2006,feature selection,特徴選択
2007,feature selector,特徴選択器
2008,feature set,特徴セット
2009,feature space,特徴空間
2010,feature template,特徴テンプレート
2011,feature vector,特徴ベクトル
2012,feature weight,特徴重み
2014,featurization,特徴化
2015,featurized representation,特徴表現
2016,feed forward,フィードフォワード
2017,feed forward network,フィードフォワードネットワーク
2018,feed forward neural network,フィードフォワードニューラルネットワーク
2019,feed-forward layer,フィードフォワード層
2020,feedback loop,フィードバックループ
2021,few shot learning,少数ショット学習
2022,few-shot classification,フューショット分類
2023,few-shot example,フューショット例
2024,few-shot fine-tuning,少数ショットファインチューニング
2025,few-shot in-context learning,少数ショットインコンテキスト学習
2026,few-shot prompting,フューショットプロンプティング
2027,few-shot setting,少数ショット設定
2028,filter bank,フィルタバンク
2029,filter weight,フィルタ重み
2030,fine-grained sentiment classification,細粒度感情分類
2031,fine-tune,微調整
2032,fine-tuned model,微調整されたモデル
2033,finetuning,微調整
2034,finite horizon,有限ホライズン
2035,finite-state automata,有限状態オートマトン
2036,first order method,一次法
2037,first-order,一階
2038,first-order language,一階言語
2039,first-order logic,一階論理
2040,first-order model,一階モデル
2041,first-order parsing,一階構文解析
2042,fitness function,適応度関数
2043,five-fold cross-validation,5分割交差検証
2044,fixed point,固定点
2045,fixed-parameter tractable,固定パラメーターのトラクタブル
2046,fixed-point iteration,固定点反復
2047,fixpoint,不動点
2048,float16,フロート16
2049,float32,フロート32
2050,flow field,流れ場
2051,flow model,フローモデル
2052,forall,すべての
2053,forecasting,予測
2054,foreground segmentation,前景セグメンテーション
2055,forget gate,忘却ゲート
2056,forward algorithm,前向きアルゴリズム
2057,forward model,フォワードモデル
2058,forward pass,フォワードパス
2059,forward process,フォワードプロセス
2060,forward propagation,順伝播
2061,forward-backward algorithm,フォワード・バックワード・アルゴリズム
2062,foundation model,基盤モデル
2063,fp,フレーム毎秒
2064,fp16,fp16
2065,fp32,fp32
2066,fractional program,フラクショナルプログラム
2067,frame,フレーム
2068,free variable,自由変数
2069,frequency penalty,頻度ペナルティ
2070,frequency vector,頻度ベクトル
2071,frequent closed itemset,頻出閉アイテムセット
2072,frequent item set,頻出アイテム集合
2073,frequent pattern,頻出パターン
2074,frequent pattern mining,頻出パターンマイニング
2075,fully connected graph,完全連結グラフ
2076,fully connected layer,全結合層
2077,fully connected network,全結合ネットワーク
2078,fully connected neural network,全結合ニューラルネットワーク
2079,fully convolutional network,完全畳み込みネットワーク
2080,fully convolutional neural network,完全畳み込みニューラルネットワーク
2081,fully-supervised model,完全教師ありモデル
2082,function approximation,関数近似
2083,function approximator,関数近似器
2084,function class,関数クラス
2085,function space,関数空間
2086,functionality assertion,機能性アサーション
2087,fundamental matrix,基本行列
2088,fusion module,融合モジュール
2089,fuzzy matching,ファジーマッチング
2090,g-value,g値
2091,game tree,ゲームツリー
2092,game-theoretic analysis,ゲーム理論的分析
2093,gamma distribution,ガンマ分布
2094,gate,ゲート
2095,gating function,ゲーティング関数
2096,generalisation,一般化
2097,generalization,一般化
2098,generalization ability,一般化能力
2099,generalization bound,一般化境界
2100,generalization error,一般化誤差
2101,generalization gap,一般化ギャップ
