Index,English,French
1953,convolutional encoder,encodeur convolutionnel
1954,convolutional feature,caractéristique convolutionnelle
1955,convolutional filter,filtre convolutionnel
1956,convolutional kernel,noyau convolutionnel
1957,convolutional layer,couche convolutive
1958,convolutional network,réseau convolutionnel
1959,convolutional neural net,réseau de neurones convolutionnel
1960,convolutional neural network,réseau convolutif
1961,convolutional operation,opération convolutive
1962,convolutional representation,représentation convolutionnelle
1963,cooling schedule,programme de refroidissement
1964,coordinate ascent,Ascension par coordonnées
1965,coordinate descent,descente de coordonnées
1966,coordinate descent algorithm,algorithme de descente de coordonnées
1967,coordinate frame,système de coordonnées
1968,copy mechanism,mécanisme de copie
1969,core tensor,tenseur central
1970,coreference,coréférence
1971,coreference annotation,annotation de coréférence
1972,coreference chain,chaîne de co-référence
1973,coreference resolution model,modèle de résolution de coréférence
1974,coreference resolution system,système de résolution de coréférence
1975,coreferent,co-référent
1976,corpus,Corpus
1977,correlated equilibria,équilibres corrélés
1978,correlated equilibrium,équilibre corrélé
1979,correlation coefficient,coefficient de corrélation
1980,correlation ratio,rapport de corrélation
1981,correlation table,tableau de corrélation
1983,correspondence matrix,matrice de correspondance
1985,cosine,cosinus
1986,cosine decay,décroissance cosinus
1987,cosine decay schedule,calendrier de décroissance cosinus
1988,cosine learning rate schedule,calendrier de taux d'apprentissage cosinusoïdal
1989,cosine measure,mesure cosinus
1990,cosine schedule,programme cosinusoïdal
1991,cosine similarity,mesure du cosinus
1992,cosine similarity measure,mesure de similarité cosinus
1993,cost function,fonction de coût
1994,cost vector,vecteur de coût
1995,cost volume,volume de coût
1996,cost-sensitive learning,apprentissage sensible au coût
1997,counterexample,contre-exemple
1999,counterfactual datum,donnée contrefactuelle
2000,counterfactual example,exemple contrefactuel
2001,counterfactual fairness,équité contrefactuelle
2002,counterfactual reasoning,raisonnement contrefactuel
2003,countermeasure,contre-mesure
2004,covariance,Covariance
2005,covariance function,fonction de covariance
2006,covariance kernel,noyau de covariance
2007,covariance matrix,matrice des covariances
2008,covariance model,modèle de covariance
2009,covariance operator,opérateur de covariance
2010,covariance parameter,paramètre de covariance
2011,covariance structure,structure de covariance
2012,covariant derivative,dérivée covariante
2013,covariate,covariable
2014,covariate shift,décalage de covariables
2015,covering algorithm,algorithme de couverture
2016,creative adversarial network,réseau antagoniste créatif
2017,credibility limits,limites de crédibilité
2018,credible interval,intervalle de crédibilité
2019,credit assignment,attribution de crédit
2020,credit assignment problem,problème d'attribution du mérite
2021,criterion,critère
2022,critic,critique
2023,critic loss,perte du critique
2024,critic network,réseau critique
2025,cross attention,attention croisée
2026,cross entropy,entropie croisée
2027,cross entropy error,erreur d'entropie croisée
2028,cross validation,validation croisée
2029,cross-attention layer,couche d'attention croisée
2030,cross-attention module,module d'attention croisée
2031,cross-correlation,corrélation avec décalage entre deux séries
2032,cross-entropy loss function,fonction de perte d'entropie croisée
2033,cross-entropy method,méthode de l'entropie croisée
2034,cross-entropy objective,objectif d'entropie croisée
2035,cross-lingual benchmark,référence cross-linguistique
2036,cross-lingual embedding,embeddings cross-linguales
2037,cross-lingual feature,caractéristique cross-lingue
2038,cross-lingual knowledge transfer,transfert de connaissances cross-linguales
2039,cross-lingual model,modèle multilingue
2040,cross-lingual representation,représentation multilingue
2041,cross-lingual transfer,transfert multilingue
2042,cross-modal,multimodal
2043,cross-silo federated learning,apprentissage fédéré interdépartemental
2044,cross-validating,validation croisée
2045,cross-validation,validation croisée
2046,crossover,croisement
2047,crowdsourcing,externalisation ouverte
2048,cumulant,cumulant
2049,cumulant generating function,fonction génératrice de cumulants
2050,cumulative density function,fonction de densité cumulative
2051,cumulative distribution function,fonction de distribution cumulative
2052,cumulative error,erreur cumulative
2053,cumulative regret,regret cumulatif
2054,cumulative reward,récompense cumulative
2055,curriculum learning,apprentissage par curriculum
2056,curse of dimensionality,fléau de la dimension
2057,curvilinear regression,régression curviligne
2058,cutting plane,plan de coupe
2059,cutting plane algorithm,algorithme de plan de coupe
2060,cutting plane method,méthode du plan de coupe
2061,cybernetics,cybernétique
2062,cycle consistency,cohérence de cycle
2063,cycle consistency loss,perte de cohérence de cycle
2064,cycle inequality,inégalité de cycle
2065,cyclic graph,graphe cyclique
2066,d-separation,d-séparation
2067,d_model,d_model
2068,daemon,démon
2069,dark data,données sombres
2070,dashboard,tableau de bord
2072,data accuracy,exactitude des données
2073,data analysis,analyse de données
2074,data analyst,analyste de données
2075,data analytics,analytique des données
2076,data annotation,annotation
2077,data architect,architecte de données
2078,data as a service,données-service
2079,data augmentation,amplification des données
2080,data block,bloc de données
2081,data capture,capture de données
2082,data center,centre de données
2083,data centric AI,IA centrée sur les données
2084,data cleaning,nettoyage de données
2085,data clustering,regroupement de données
2086,data completeness,complétude des données
2087,data compliance,conformité des données
2088,data control language,langage de contrôle de données
2089,data cube,cube
2090,data curator,curateur de données
2091,data de-anonymization,désanonymisation des données
2092,data discretization,discrétisation de données
2093,data distribution,distribution des données
2094,data dredging,dragage de données
2095,data drift,dérive dans les données
2096,data efficient learning,apprentissage efficace des données
2097,data encryption standard,algorithme DES
2098,data engineer,ingénieur de données
2099,data engineering,ingénierie des données
2100,data exfiltration,exfiltration de données informatiques
2101,data fusion,fusion de données
2102,data governance,gouvernance des données
2103,data imbalance,déséquilibre des données
2104,data imputation,imputation
2105,data ingestion,ingestion de données
2106,data integration,intégration des données
2107,data integrity,intégrité des données
2108,data labeling,balisage
2109,data lake,lac de données
2110,data management,gestion de données
2111,data management platform,plateforme de gestion des données
2112,data manifold,variété de données
2113,data mart,magasin de données
2114,data mining,forage de données
2115,data model,modèle de données
2116,data modeling,modélisation des données
2117,data pipeline,chaîne de traitement
2118,data point,point de données
2119,data poisoning,empoisonnement de données
2120,data pre-processing,prétraitement des données
2121,data preprocessing,préparation des données
2122,data processing,traitement de données
2123,data processing center,centre de traitement de données
2124,data processing inequality,inégalité de traitement des données
2125,data profiling,profilage des données
2126,data purging,purge des données
2127,data re-identification,réidentification des données
2128,data resilience,résilience des données
2129,data sampling,échantillonnage des données
2130,data sandbox,bac à sable de données
2131,data science,science des données
2132,data scientist,analyste des données
2133,data scraping,moissonnage de données
2134,data security,sécurité des données
2135,data segmentation,segmentation des données
2136,data set,jeu de données
2137,data snooping,pêche aux données
2138,data sovereignty,souveraineté des données
2139,data sparseness,rareté des données
2140,data sparsity,dispersion des données
2141,data steward,intendant d'actif informationnel
2142,data storytelling,mise en récit de données
2143,data stream mining,exploration de flux de données
2144,data structure,structure des données
2145,data valorization,valorisation de données
2146,data vector,vecteur de données
2147,data visualization,visualisation des données
2148,data warehouse,base de données décisionnelle
2149,data-to-text generation,génération de données en texte
2150,database,base de données
2151,database as a service,base de données-service
2152,datafication,datatification
2153,dataframe,dataframe
2154,dataset augmentation,augmentation de jeu de données
2155,dataset bias,biais de l'ensemble de données
2156,dataset size,taille du jeu de données
2158,datasheet,fiche de données
2159,datum bias,biais des données
2160,datum clustering,regroupement de données
2161,datum contamination,contamination des données
2162,datum dependency,dépendance des données
2163,datum fidelity,fidélité des données
2164,datum filtering,filtrage des données
2165,datum generative process,processus génératif de données
2166,datum matrix,matrice de données
2167,datum mining algorithm,algorithme d'exploration de données
2168,datum parallelism,parallélisme de données
2169,datum perturbation,perturbation des données
2170,davinci,davinci
2171,decay parameter,paramètre de décroissance
2172,decentralized algorithm,algorithme décentralisé
2173,decentralized artificial intelligence,intelligence artificielle décentralisée
2174,decentralized case-based reasoning,raisonnement par cas décentralisé
2175,decision boundary,frontière de décision
2176,decision function,fonction de décision
2177,decision logic,logique de la décision
2178,decision making,prise de décision
2179,decision node,nœud de décision
2180,decision policy,politique de décision
2181,decision problem,problème de décision
2182,decision rule,règle de décision
2183,decision space,espace de décision
2184,decision stump,souche de décision
2185,decision stumps,arbres de décision
2186,decision support system,système d'aide à la décision
2187,decision theory,théorie des décisions
2188,decision tree,arbre de décision
2189,decision tree learning,apprentissage par arbre de décision
2190,decision variable,variable de décision
2191,decision-maker,décideur
2192,declarative programming,programmation déclarative
2193,declarative representation,représentation déclarative
2194,decoder,décodeur
2195,decoder hidden state,état caché du décodeur
2196,decoder layer,couche de décodeur
2197,decoder network,réseau de décodeur
2198,decoder output,sortie du décodeur
2199,decoder state,état du décodeur
2200,decoder-only transformer,transformateur uniquement décodeur
2201,decoding,décodage
2202,decoding algorithm,algorithme de décodage
2203,decoding problem,problème de décodage
2204,decoding step,étape de décodage
2205,decoding strategy,stratégie de décodage
2206,decomposable models,modèle décomposable
2207,decomposition,décomposition
2208,decomposition method,méthode de décomposition
2209,deconvolution,déconvolution
2210,deconvolution layer,couche de déconvolution
2211,deconvolutional layer,couche déconvolutionnelle
2212,deductive classifier,classificateur déductif
2213,deductive database,base de données déductive
2214,deductive inference,inférence déductive
2215,deductive reasoning,déduction
2216,deep Boltzmann machine,machine boltzmannienne profonde
2217,deep Q-learning,Q-learning profond
2218,deep Q-network,réseau Q profond
2219,deep architecture,architecture profonde
2220,deep belief network,réseau de croyances profond
2221,deep convolutional GAN,RAG convolutif profond
2222,deep convolutional generative adversarial network,réseau antagoniste convolutif profond
2223,deep convolutional network,réseau de neurones convolutionnels profonds
2224,deep convolutional neural network,réseau de neurones convolutionnels profonds
2225,deep dream,deep dream
2226,deep feature,caractéristique profonde
2227,deep generative model,modèle génératif profond
2228,deep layer,couche profonde
2229,deep learning,apprentissage en profondeur
2230,deep learning architecture,architecture d'apprentissage profond
2231,deep learning framework,cadre d'apprentissage profond
2232,deep learning model,modèle d'apprentissage profond
2233,deep learning system,système d'apprentissage profond
2234,deep model,modèle profond
2235,deep net,réseau profond
2236,deep network,réseau de neurones profond
2237,deep network architecture,architecture de réseau profond
2238,deep neural model,modèle neuronal profond
2239,deep neural net,réseau neuronal profond
2240,deep neural network,réseau de neurones profond
2241,deep reinforcement learning,apprentissage par renforcement profond
2242,deep residual network,réseau résiduel profond
2243,deep supervision,supervision profonde
2244,deepfake,hypertrucage
2245,deeply-supervised net,réseau profondément supervisé
2246,default logic,logique par défaut
2247,default value,valeur implicite
2248,defensive distillation,distillation défensive
2249,deformable template,modèle déformable
2250,deformation field,champ de déformation
2251,degree distribution,distribution des degrés
2252,degree of freedom,degré de liberté
2253,delayed reward,récompense différée
2254,delexicalization,délexicalisation
2255,deliberative agent,agent délibératif
2256,delta kernel,noyau delta
2257,dendrogram,dendrogramme
2258,denoiser,débruiteur
2259,denoising autoencoder,autoencodeur débruiteur
2260,denoising diffusion probabilistic model,modèle probabiliste de débruitage par diffusion
2261,denoising network,réseau de débruitage
2262,denoising objective,objectif de débruitage
2263,denoising process,processus de débruitage
2264,denoising score matching,appariement de score de débruitage
2265,denoising score matching loss,perte d'appariement de score de débruitage
2266,denormalization,dénormalisation
2267,denotation,dénotation
2268,dense,dense
2269,dense attention,attention dense
2270,dense depth map,carte de profondeur dense
2271,dense feature,caractéristique dense
2272,dense layer,couche affine
2273,dense matrix,matrice dense
2274,dense network,réseau dense
2275,dense prediction,prédiction dense
2276,dense representation,représentation dense
2277,dense vector,vecteur dense
2278,density estimate,estimation de densité
2279,density estimation,estimation de densité
2280,density estimator,estimateur de densité
2281,density field,champ de densité
2282,density function,fonction de densité
2283,density gradient,gradient de densité
2284,density ratio,rapport de densité
2285,density-based clustering,regroupement basé sur la densité
2288,dependency arc,arc de dépendance
2289,dependency feature,caractéristique de dépendance
2290,dependency graph,graphe de dépendance
2291,dependency label,étiquette de dépendance
2292,dependency model,modèle de dépendance
2293,dependency parse,analyse de dépendance
2294,dependency parse tree,arbre d'analyse de dépendance
2295,dependency parser,analyseur de dépendances
2296,dependency parsing model,modèle d'analyse de dépendances
2297,dependency path,chemin de dépendance
2298,dependency relation,relation de dépendance
2299,dependency representation,représentation de dépendance
2300,dependency structure,structure de dépendance
2301,dependency tree,arbre de dépendance
2302,dependency treebank,banque d'arbres de dépendance
2303,dependency-directed backtracking,retour arrière dirigé par des dépendances
2304,dependent variable,variable dépendante
2305,depth estimation,estimation de profondeur
2306,depth estimator,estimateur de profondeur
2307,depth image,image de profondeur
2308,depth map,carte de profondeur
2309,depth prediction,prédiction de profondeur
2310,depth-first search,algorithme de parcours en profondeur
2311,descent direction algorithm,algorithme à directions de descente
2312,description logic,logique descriptive
2313,descriptive analytics,analyse descriptive
2314,descriptive statistics,statistiques descriptives
2315,descriptor,descripteur
2316,design matrix,matrice de conception
2317,design space,espace de conception
2318,det,det
2320,detection algorithm,algorithme de détection
2321,detection model,modèle de détection
2322,detection score,score de détection
2323,detection window,fenêtre de détection
2324,detector,détecteur
2325,deterministic algorithm,algorithme déterministe
2326,deterministic annealing,recuit déterministe
2327,deterministic automaton,automate déterministe
2328,deterministic baseline,référence déterministe
2329,deterministic finite automaton,automate fini déterministe
2330,deterministic policy,politique déterministe
2331,deterministic rule,règle déterministe
2332,dev set,ensemble de validation
2333,development set,ensemble de développement
2334,developmental robotics,robotique développementale
2335,deviation,déviation
2336,diagonal matrix,matrice diagonale
2337,diagonalizable matrix,matrice diagonalisable
2338,dialog management,gestion du dialogue
2339,dialog manager,gestionnaire de dialogue
2340,dialog system,système de dialogue
2341,dialogue act,acte de dialogue
2342,dialogue context,contexte de dialogue
2343,dialogue generation,génération de dialogue
2344,dialogue history,historique de dialogue
2345,dialogue management,gestion de dialogue
2346,dialogue state,état du dialogue
2347,dialogue state tracker,suivi de l'état de dialogue
2348,dialogue system,système de dialogue
2349,dialogue turn,tour de dialogue
2350,dictionary learning,apprentissage de dictionnaire
2351,dictionary matrix,matrice de dictionnaire
2352,diffeomorphism,difféomorphisme
2353,difference of Gaussian,différence de gaussiennes
2354,differentiable function,fonction différentiable
2355,differentiable renderer,rendu différentiable
2356,differentiable rendering,rendu différentiable
2357,differentiable rendering function,fonction de rendu différentiable
2358,differential entropy,entropie différentielle
2359,differential privacy,confidentialité différentielle
2360,diffusion matrix,matrice de diffusion
2361,diffusion model,modèle de diffusion
2362,diffusion tensor,tenseur de diffusion
2363,digamma function,fonction digamma
2364,digit classification,classification des chiffres
2365,digital footprint,empreinte numérique
2366,digital image,image numérique
2367,digital twin,double numérique
2368,dilated convolution,convolution dilatée
2369,dilation,dilatation
2370,dim,dimension
2371,dimension,dimension
2372,dimension reduction,réduction de dimension
2373,dimensional vector,vecteur de dimension
2374,dimensionality,dimensionnalité
2375,dimensionality reduction,réduction de dimension
2376,direct preference optimization,optimisation directe des préférences
2377,direct sampling,échantillonnage direct
2378,directed acyclic graph,graphe acyclique dirigé
2379,directed edge,arête dirigée
2380,directed graph,graphe dirigé
2381,directed graphical model,modèle graphique dirigé
2382,directed tree,arbre dirigé
2383,disambiguation,désambiguïsation
2384,disambiguation rule,règle de désambiguïsation
2385,discount factor,facteur d'actualisation
2386,discount parameter,paramètre d'actualisation
2387,discounted cumulative reward,récompense cumulée actualisée
2388,discounted return,retour actualisé
2389,discounted reward,récompense actualisée
2390,discounted state distribution,distribution d'état escomptée
2391,discrete data,données discrètes
2392,discrete distribution,distribution discrète
2393,discrete feature,caracteristique discrète
2394,discrete graphical model,modèle graphique discret
2395,discrete probability distribution,distribution de probabilité discrète
2396,discrete random variable,variable aléatoire discrète
2397,discrete system,système discret
2398,discrete variable,variable discrète
2399,discretization,Discrétisation
2400,discretization of continuous data,discrétisation de données continues
2401,discriminant analysis,analyse discriminante
2402,discriminant function,fonction discriminante
2403,discriminative,discriminatif
2404,discriminative algorithm,algorithme discriminant
2405,discriminative approach,approche discriminative
2406,discriminative feature,caractéristique discriminante
2407,discriminative method,méthode discriminative
2408,discriminative model,modèle discriminant
2409,discriminative training,entraînement discriminatif
2410,discriminator,Discriminateur
2411,discriminator network,réseau discriminateur
2412,disentangle,démêler
2413,disentangled representation,représentation démêlée
2414,disentangled representation learning,apprentissage par représentation dissociée
2415,disjunctive concept,concept disjonctif
2416,disparity estimation,estimation de la disparité
2417,disparity map,carte de disparité
2418,dispersion matrix,matrice de diagramme de dispersion
2419,distance function,fonction de distance
2420,distance matrix,matrice de distance
2421,distance measure,mesure des distances
2422,distance metric,métrique de distance
2423,distance transform,transformation de distance
2424,distant supervision,supervision distante
2425,distillation,distillation
2426,distributed artificial intelligence,intelligence artificielle distribuée
2427,distributed information retrieval,recherche d'information distribuée
2428,distributed intelligence,intelligence distribuée
2429,distributed lag model,modèle à décalage distribué
2430,distributed learning,apprentissage distribué
2431,distributed learning system,système d'apprentissage distribué
2432,distributed representation,représentation distribuée
2433,distribution matching distillation,distillation de correspondance de distribution
2434,distribution shift,changement de distribution
2435,distribution vector,vecteur de distribution
2436,distributional,distributionnel
2437,distributional feature,caractéristique distributionnelle
2438,distributional hypothesis,hypothèse distributionnelle
2439,distributional model,modèle distributionnel
2440,distributional representation,représentation distributionnelle
2441,distributional semantic,sémantique distributionnelle
2442,distributional semantic model,modèle sémantique distributionnel
2443,distributional similarity,similarité distributionnelle
2444,distributional word representation,représentation distributionnelle des mots
2445,distributionally robust optimization,optimisation distributionnellement robuste
2447,divergence operator,opérateur de divergence
2448,diversity score,score de diversité
2449,do-calculus,do-calculus
2451,document classification,classification de documents
2452,document clustering,regroupement de documents
2453,document corpus,corpus de documents
2454,document retrieval,récupération de documents
2455,document summarization,résumé de document
2456,document vector,vecteur de document
2457,document-level,au niveau du document
2458,document-topic assignment,attribution document-thème
2461,domain adaptation,adaptation de domaine
2462,domain element,élément de domaine
2463,domain gap,écart de domaine
2464,domain generalization,généralisation de domaine
2465,domain knowledge,connaissance du domaine
2466,domain mismatch,décalage de domaine
2467,domain model,modèle de domaine
2468,domain ontology,ontologie de domaine
2469,domain shift,changement de domaine
2470,domain transfer,transfert de domaine
2471,domain-specific,spécifique au domaine
2473,dominance-based rough set approach,approche des ensembles approximatifs basée sur la dominance
2474,dot product,produit scalaire
2475,dot-product attention,attention par produit scalaire
2476,double backpropagation,double rétropropagation
2477,double sampling,échantillonnage en deux étapes
2478,doubly stochastic Poisson process,double processus stochastique de Poisson
2479,down-sampling,sous-échantillonnage
2480,down-sampling layer,couche de sous-échantillonnage
2481,downsampling block,bloc de sous-échantillonnage
2482,downsampling factor,facteur de sous-échantillonnage
2483,downsampling layer,couche de sous-échantillonnage
2485,downstream dataset,jeu de données en aval
2486,downstream model,modèle en aval
2487,downstream performance,performance en aval
2488,downstream task,tâche en aval
2489,drill down,forage descendant
2490,dropout,abandon
2491,dropout layer,couche de dropout
2492,dropout probability,probabilité de dropout
2493,dropout rate,taux de dropout
2494,dropout ratio,ratio de dropout
2495,dropout regularization,régularisation par abandon
2496,dual decomposition,décomposition duale
2497,dual encoder model,modèle à encodeur dual
2498,dual norm,norme duale
2499,dual objective,objectif dual
2500,dual optimization problem,problème d'optimisation dual
2501,dual parameter,paramètre dual
2502,dual problem,problème dual
2503,dual program,programme dual
2504,dual solution,solution duale
2505,dual variable,variable duale
2506,duality gap,écart de dualité
2507,dynamic Bayesian network,réseau bayésien dynamique
2508,dynamic constraint satisfaction problem,problème de satisfaction de contraintes dynamiques
2509,dynamic model,modèle dynamique
2510,dynamic neural network,réseau de neurones dynamique
2511,dynamic programming,Programmation dynamique
2512,dynamic programming algorithm,algorithme de programmation dynamique
2513,dynamic time warping,alignement temporel dynamique
2514,dynamical model,modèle dynamique
2515,dynamical system,système dynamique
2516,eager learning,apprentissage avide
2517,early fusion,fusion précoce
2518,early stopping,arrêt précoce
2519,earth-mover distance,distance de transport
2520,echo state network,réseau à états échoïques
2521,edge AI,IA périphérique
2522,edge analytics,analytique en périphérie
2523,edge computing,infonuagique proximale
2524,edge detection,détection de contours
2525,edge detector,détecteur de rebord
2526,edge feature,caractéristique de contour
2527,edge label,étiquette d'arête
2528,edge prediction,prédiction d'arête
2529,edge set,ensemble d'arêtes
2530,edge weight,poids d'arête
2532,edit distance,distance d'édition
2533,effective branching factor,facteur de branchement effectif
2534,effective receptive field,champ réceptif effectif
2535,effector,effecteur
2536,efficiency,efficience
2537,ego-motion,ego-mouvement
2538,eigen decomposition,décomposition en valeurs propres
2539,eigen-decomposition,décomposition en valeurs propres
2540,eigenbasis,base propre
2541,eigendecay,décroissance propre
2542,eigenface,eigenface
2543,eigenfunction,fonction propre
2544,eigenspace,espace propre
2545,eigenspectrum,spectre propre
2546,eigenvalue,racine latente
2547,eigenvalue decomposition,décomposition en valeurs propres
2548,eigenvector,vecteur caractéristique
2549,elastic net regularization,régularisation par réseau élastique
2550,elbow plot,tracé d'éboulis
2551,element-wise,élément par élément
2552,element-wise multiplication,multiplication élément par élément
2553,element-wise product,produit élément par élément
2554,elementary tree,arbre élémentaire
2555,eligibility trace,trace d'éligibilité
2556,ellipsoid method,méthode de l'ellipsoïde
2557,embedded artificial intelligence,IA embarquée
2558,embedded deformation graph,graphe de déformation intégré
2559,embedded intelligence,intelligence embarquée
2561,embedding dimension,dimension d'embedding
2562,embedding dimensionality,dimensionnalité d'embedding
2563,embedding feature,caractéristique d'embedding
2564,embedding from language model,ELMo
2565,embedding layer,couche d'embedding
2566,embedding matrix,matrice d'embedding
2567,embedding model,modèle d'embedding
2568,embedding parameter,paramètre d'embedding
2569,embedding size,taille d'embedding
2570,embedding space,espace d'embedding
2571,embedding vector,vecteur d'embedding
2572,embedding-based metric,métrique basée sur l'embedding
2574,embodied agent,agent incarné
2575,embodied intelligence,intelligence incorporée
2576,emission probability,probabilité d'émission
2577,emotion classification,classification des émotions
2578,emotion recognition,analyse des émotions
2579,empirical Bayes,Bayes empirique
2580,empirical distribution,distribution empirique
2581,empirical estimate,estimation empirique
2582,empirical estimator,estimateur empirique
2583,empirical frequency,fréquence empirique
2584,empirical loss,perte empirique
2585,empirical mean,moyenne empirique
2586,empirical measure,mesure empirique
2587,empirical minimizer,minimiseur empirique
2588,empirical process theory,théorie des processus empiriques
2589,empirical risk,risque empirique
2590,empirical risk minimization,minimisation du risque empirique
2591,empirical risk minimizer,minimiseur du risque empirique
2592,empirical variance,variance empirique
2593,empty clause,clause vide
2594,emulator,émulateur
2595,encode,encode
2597,encoder layer,couche d'encodeur
2598,encoder model,modèle d'encodeur
2599,encoder network,réseau d'encodeur
2600,encoder states,états de l'encodeur
2601,encoder-decoder,Encodeur-Décodeur
2602,encoder-decoder architecture,architecture encodeur décodeur
2603,encoder-decoder framework,cadre encodeur-décodeur
2604,encoder-decoder model,modèle encodeur décodeur
2606,encoding,encodage
2607,end-of-sequence token,jeton de fin de séquence
2608,end-to-end learning,apprentissage de bout-en-bout
2609,end-to-end model,modèle de bout en bout
2610,end-to-end neural model,modèle neural de bout en bout
2611,end-to-end pipeline,pipeline de bout en bout
2612,end-to-end system,système de bout en bout
2613,end-to-end training,entraînement de bout en bout
2614,energy function,fonction d'énergie
2615,energy minimization,minimisation d'énergie
2616,energy minimization framework,cadre de minimisation de l'énergie
2617,energy minimization problem,problème de minimisation de l'énergie
2618,energy-based model,modèle basé sur l'énergie
2619,enhanced interaction,interaction augmentée
2620,enhanced interaction framework,cadre d'interaction amélioré
2621,ensemble classification,classification par ensemble
2622,ensemble classifier,classificateur par ensemble
2623,ensemble learning,apprentissage ensembliste
2624,ensemble method,méthode d'ensemble
2625,ensemble model,modèle d'ensemble
2626,ensemble of classifier,ensemble de classificateurs
2627,ensemble size,taille de l'ensemble
2628,entail,impliquer
2629,entailment,implication
2630,entailment detection,détection d'implication
2633,entity coreference,coréférence d'entités
2634,entity description,description d'entité
2635,entity detection,détection d'entité
2636,entity embedding,embedding d'entité
2637,entity extraction,extraction d'entité
2638,entity linker,outil de liaison d'entités
2639,entity mention,mention d'entité
2640,entity recognition,reconnaissance d'entités
2641,entity representation,représentation d'entité
2642,entity resolution,résolution d'entités
2643,entity set,ensemble d'entités
2644,entity type,type d'entité
2645,entropy,Entropie
2646,entropy estimation,estimation de l'entropie
2647,entropy function,fonction d'entropie
2648,entropy loss,perte d'entropie
2649,entropy regularization,régularisation d'entropie
2650,enumeration algorithm,algorithme d'énumération
2651,envy-freeness,absence d'envie
2652,eos,eos
2653,epigenetic robotics,robotique épigénétique
2654,epipolar constraint,contrainte épipolaire
2655,epipolar geometry,géométrie épipolaire
2656,epipolar line,ligne épipolaire
2657,epipole,épipole
2658,episodic return,retour épisodique
2659,epistemic logic,logique épistémique
2660,epistemic uncertainty,incertitude épistémique
2661,epoch,époque
2662,epsilon,epsilon
2663,equalized odd,odds égalisés
2664,equivalence class,classe d'équivalence
2665,equivalence query,requête d'équivalence
2666,equivariance,équivariance
2667,equivariant,équivariant
2668,error,erreur
2669,error analysis,analyse des erreurs
2670,error bound,borne d'erreur
2671,error function,fonction d'erreur
2672,error probability,probabilité d'erreur
2673,error rate,taux d'erreur
2674,error surface,surface d'erreur
2675,error tolerance,tolérance à l'erreur
2676,error-driven learning,apprentissage par essai et erreur
2677,estimating equation,équation estimante
2678,estimation,estimation
2679,estimation error,erreur d'estimation
2680,estimation of distribution algorithms,algorithme à estimation de distribution
2681,estimator,estimateur
2682,ethical AI,IA éthique
2683,ethics of AI,éthique de l'intelligence artificielle
2684,evaluation,évaluation
2685,evaluation function,fonction d'évaluation
2686,evaluation metric,métrique d'évaluation
2687,evaluation metrics,métriques d'évaluation
2688,evaluation set,ensemble d'évaluation
2690,event calculus,calcul des événements
2691,event coreference,coréférence d'événements
2692,event detection,détection d'événements
2693,event extraction,extraction d'événements
2694,evidence lower bound,borne inférieure variationnelle
2695,evidence maximization,maximisation de l'évidence
2696,evolutionary algorithm,algorithme évolutif
2697,evolutionary computation,calcul évolutif
2698,evolutionary multimodal optimization,optimisation multimodale évolutionniste
2699,evolving classification function,fonction de classification évolutive
2700,exBERT,ExBERT
2701,exabyte,exa-octet
2702,exact inference,inférence exacte
2703,example,exemple
2704,excess loss,perte excédentaire
2705,exchangeability,échangeabilité
2706,exclusive and,exclusif et
2707,existential quantifier,quantificateur existentiel
2709,expectation maximization,Maximisation de l'Espérance
2710,expectation maximization algorithm,algorithme de maximisation des attentes
2711,expectation–maximization algorithm,algorithme EM
2712,expected loss,perte attendue
2713,expected reward,récompense attendue
2714,expected utility,utilité attendue
2715,expected utility theory,théorie de l'utilité espérée
2716,expected value,espérance
2717,experience replay,répétition d'expérience
2718,experimental design,plan d'expériences
2719,expert assistant,collaborateur intelligent
2720,expert demonstration,démonstration d'expert
2721,expert model,modèle expert
2722,expert system,système expert
2723,explainability,explicabilité
2724,explainable artificial intelligence,intelligence artificielle explicable
2725,explanation-based learning,apprentissage basé sur l'explication
2726,explanatory variable,variable explicative
2727,explicit-state search,recherche à état explicite
2728,exploding gradient,gradient explosif
2729,exploding gradient problem,explosion des gradients
2730,exploitability,exploitabilité
2731,exploration rate,taux d'exploration
2732,exploratory data analysis,analyse préliminaire de données
2733,exponential complexity,complexité exponentielle
2734,exponential decay,décroissance exponentielle
2735,exponential distribution,distribution exponentielle
2736,exponential family,classe exponentiel
2737,exponential loss,perte exponentielle
2738,exponential map,carte exponentielle
2739,exponential moving average,moyenne mobile exponentielle
2740,exposure bias,biais d'exposition
2741,expressiveness,expressivité
2742,extensive-form game,jeu en forme extensive
2743,"extract, load, transform process","processus d'extraction, de chargement et de transformation de données"
2746,extraction,extraction
2748,extractive question answering,Question-réponse extractive
2749,extractive summarization,résumé extractif
2750,extractor,extracteur
2751,extrapolation,extrapolation
2752,extreme learning machine,machine d'apprentissage extrême
2753,extreme learning machines,machines d'apprentissage extrême
2754,extreme studentized deviate test,test de l'écart extrême studentisé
2755,f-divergence,f-divergence
2756,face detection,détection de visage
2757,face detector,détecteur de visages
2758,face recognition,reconnaissance faciale
2759,facet,facette
2760,facial animation,animation faciale
2761,facial landmark,point de repère facial
2762,facial motion capture,capture de mouvement du visage
2763,facial recognition,reconnaissance de visages
2764,facial template,gabarit facial
2765,fact base,base de faits
2766,fact verification,vérification des faits
2767,factor analysis,analyse factorielle
2768,factor graph,graphe de facteurs
