Index,English,Arabic
1387,counterfactual example,مثال مضاد للواقع
1388,counterfactual fairness,الإنصاف المضاد للواقع
1389,counterfactual reasoning,التفكير المضاد للواقع
1390,covariance,التغاير
1391,covariance function,دالة التغاير
1392,covariance kernel,نواة التغاير
1393,covariance matrix,مصفوفة التغاير
1394,covariance model,نموذج التغاير
1395,covariance operator,مؤثر التغاير
1396,covariance parameter,معلمة التغاير
1397,covariance structure,بنية التغاير
1398,covariant derivative,المشتقة المتغايرة
1399,covariate,المتغير المصاحب
1400,covariate shift,انزياح المتغيرات
1401,credit assignment,إسناد الفضل
1402,credit assignment problem,مشكلة إسناد الفضل
1403,criterion,معيار
1404,critic,ناقد
1405,critic loss,خسارة الناقد
1406,critic network,شبكة الناقد
1407,cross attention,الانتباه المتقاطع
1408,cross entropy,الإنتروبيا المتقاطعة
1409,cross entropy error,خطأ الانتروبيا المتقاطعة
1410,cross validation,التحقق المتقاطع
1411,cross-attention layer,طبقة الانتباه المتقاطع
1412,cross-attention module,وحدة الانتباه المتقاطع
1413,cross-correlation,الارتباط المتقاطع
1414,cross-entropy,الأنتروبيا التقاطعية
1415,cross-entropy loss function,دالة خسارة الانتروبيا المتقاطعة
1416,cross-entropy objective,هدف الانتروبيا المتقاطعة
1417,cross-lingual benchmark,المعيار المرجعي عبر اللغات
1418,cross-lingual embedding,التضمين عبر اللغات
1419,cross-lingual feature,ميزة عبر اللغات
1420,cross-lingual knowledge transfer,نقل المعرفة عبر اللغات
1421,cross-lingual model,نموذج عبر اللغات
1422,cross-lingual representation,تمثيل عبر اللغات
1423,cross-lingual transfer,نقل عبر اللغات
1424,cross-modal,عبر الوسائط
1425,cross-validating,التحقق المتقاطع
1426,cross-validation,التحقق المتقاطع
1427,cumulant generating function,دالة توليد الكومولانت
1428,cumulative density function,دالة الكثافة التراكمية
1429,cumulative distribution function,دالة التوزيع التراكمي
1430,cumulative regret,الندم التراكمي
1431,cumulative reward,المكافأة التراكمية
1432,curriculum learning,التعلم التدريجي
1433,curse of dimensionality,لعنة الأبعاد
1434,cutting plane,طائرة القطع
1435,cutting plane algorithm,خوارزمية المستوى القاطع
1436,cutting plane method,طريقة المستوى القاطع
1437,cycle consistency,تناسق الدورة
1438,cycle consistency loss,خسارة اتساق الدورة
1439,cycle inequality,متباينة الدورة
1440,d-separation,د- الانفصال
1441,d_model,د_النموذج
1442,dark data,البيانات المظلمة
1443,data augmentation,زيادة البيانات
1444,data distribution,توزيع البيانات
1445,data imbalance,عدم توازن البيانات
1446,data integration,تكامل البيانات
1447,data manifold,مشعب البيانات
1448,data mining,التنقيب عن البيانات
1449,data modelling,نمذجة البيانات
1450,data point,نقطة بيانات
1451,data processing inequality,عدم المساواة في معالجة البيانات
1452,data sparseness,ندرة البيانات
1453,data sparsity,ندرة البيانات
1454,data structure,هيكل البيانات
1455,data vector,متجه البيانات
1456,data-to-text generation,توليد النص من البيانات
1457,dataset augmentation,زيادة مجموعة البيانات
1458,dataset bias,انحياز مجموعة البيانات
1459,dataset size,حجم مجموعة البيانات
1460,datasheet,ورقة بيانات
1461,datum bias,تحيز مسند
1462,datum clustering,تجميع البيانات
1463,datum contamination,تلوث البيانات
1464,datum dependency,اعتمادية البيانات
1465,datum fidelity,أمانة البيانات
1466,datum filtering,تصفية البيانات
1467,datum generative process,عملية توليد البيانات
1468,datum matrix,مصفوفة البيانات
1469,datum mining algorithm,خوارزمية تنقيب البيانات
1470,datum parallelism,توازي البيانات
1471,datum perturbation,اضطراب البيانات
1472,davinci,دافينشي
1473,decay parameter,معامل الاضمحلال
1474,decentralized algorithm,خوارزمية لامركزية
1475,decision boundary,حدود القرار
1476,decision function,دالة القرار
1477,decision node,عقدة القرار
1478,decision policy,سياسة القرار
1479,decision problem,مشكلة القرار
1480,decision rule,قاعدة القرار
1481,decision space,فضاء القرار
1482,decision stumps,جذوع القرار
1483,decision theory,نظرية القرار
1484,decision tree,شجرة القرار
1485,decision variable,متغير القرار
1486,decoder,مفكك الترميز
1487,decoder hidden state,الحالة المخفية لفك التشفير
1488,decoder layer,طبقة فك الترميز
1489,decoder network,شبكة فك الترميز
1490,decoder output,خرج فك التشفير
1491,decoder state,حالة فك الترميز
1492,decoder-only transformer,محول يعتمد على فك الترميز فقط
1493,decoding,فك تشفير
1494,decoding algorithm,خوارزمية فك الترميز
1495,decoding problem,مشكلة فك الترميز
1496,decoding step,خطوة فك الترميز
1497,decoding strategy,استراتيجية فك الترميز
1498,decomposition,التحلل
1499,decomposition method,طريقة التحلل
1500,deconvolution,إلغاء الالتفاف
1501,deconvolution layer,طبقة إلغاء الالتفاف
1502,deconvolutional layer,طبقة إزالة الالتفاف
1503,deep Q-learning,تعلم Q العميق
1504,deep Q-network,شبكة Q العميقة
1505,deep architecture,العمارة العميقة
1506,deep belief network,شبكة الاعتقاد العميقة
1507,deep convolutional network,الشبكة العصبية التلافيفية العميقة
1508,deep convolutional neural network,شبكة عصبية تلافيفية عميقة
1509,deep feature,الميزات العميقة
1510,deep generative model,نموذج توليدي عميق
1511,deep layer,الطبقة العميقة
1512,deep learning,تعُّلم عميق
1513,deep learning architecture,بنية التعلم العميق
1514,deep learning framework,إطار عمل التعلم العميق
1515,deep learning model,نموذج التعلم العميق
1516,deep learning system,نظام التعلم العميق
1517,deep model,نموذج عميق
1518,deep net,الشبكة العميقة
1519,deep network,شبكة عميقة
1520,deep network architecture,بنية شبكة عميقة
1521,deep neural model,نموذج الشبكة العصبية العميقة
1522,deep neural net,شبكة عصبية عميقة
1523,deep neural network,شبكة عصبية عميقة
1524,deep reinforcement learning,التعلم المعزز العميق
1525,deep supervision,الإشراف العميق
1526,deepfake,تزييف عميق
1527,deeply-supervised net,شبكة ذات إشراف عميق
1528,default logic,المنطق الافتراضي
1529,deformable template,نموذج قابل للتشوه
1530,deformation field,مجال التشوه
1531,degree distribution,توزيع الدرجات
1532,delayed reward,المكافأة المتأخرة
1533,delexicalization,إزالة الخصائص اللغوية
1534,delta kernel,نواة دلتا
1535,dendrogram,شجرة التفرع
1536,denoiser,مزيل الضوضاء
1537,denoising autoencoder,المُشفّر التلقائي لإزالة الضوضاء
1538,denoising diffusion probabilistic model,نموذج الانتشار الاحتمالي لإزالة الضوضاء
1539,denoising network,شبكة إزالة الضوضاء
1540,denoising objective,هدف إزالة الضجيج
1541,denoising process,عملية إزالة الضوضاء
1542,denoising score matching,مطابقة الدرجات لإزالة الضوضاء
1543,denoising score matching loss,خسارة مطابقة الدرجات لإزالة الضوضاء
1544,denotation,الدلالة
1545,dense,كثيف
1546,dense attention,الاهتمام الكثيف
1547,dense depth map,خريطة عمق كثيفة
1548,dense feature,خاصية كثيفة
1549,dense layer,طبقة كثيفة
1550,dense matrix,مصفوفة كثيفة
1551,dense network,الشبكة الكثيفة
1552,dense prediction,التنبؤ الكثيف
1553,dense representation,تمثيل كثيف
1554,dense vector,المتجه الكثيف
1555,density estimate,تقدير الكثافة
1556,density estimation,تقدير الكثافة
1557,density estimator,مقدِّر الكثافة
1558,density field,حقل الكثافة
1559,density function,دالة الكثافة
1560,density gradient,تدرج الكثافة
1561,density ratio,نسبة الكثافة
1562,dependency arc,قوس التبعية
1563,dependency feature,ميزة التبعية
1564,dependency graph,رسم بياني للتبعية
1565,dependency label,علامة التبعية
1566,dependency model,نموذج التبعية
1567,dependency parse,تحليل التبعية
1568,dependency parse tree,شجرة تحليل التبعية
1569,dependency parser,محلل التبعيات
1570,dependency parsing model,نموذج تحليل التبعية
1571,dependency path,مسار التبعية
1572,dependency relation,علاقة التبعية
1573,dependency representation,تمثيل التبعية
1574,dependency structure,بنية التبعية
1575,dependency tree,شجرة التبعية
1576,dependency treebank,بنك شجرة التبعية
1577,dependent variable,المتغير التابع
1578,depth estimation,تقدير العمق
1579,depth estimator,مُقدّر العمق
1580,depth image,صورة العمق
1581,depth map,خريطة العمق
1582,depth prediction,التنبؤ بالعمق
1583,depth-first search,البحث أولاً في العمق
1584,depthwise separable convolutional neural network,شبكة عصبية ترشيحية قابلة للفصل عمًقا
1585,description logic,المنطق الوصفي
1586,descriptor,موصّف
1587,design matrix,مصفوفة التصميم
1588,design space,فضاء التصميم
1589,det,المحدد
1590,detection algorithm,خوارزمية الكشف
1591,detection model,نموذج الكشف
1592,detection score,درجة الكشف
1593,detection window,نافذة الكشف
1594,detector,الكاشف
1595,deterministic algorithm,الخوارزمية الحتمية
1596,deterministic annealing,التلدين الحتمي
1597,deterministic automaton,الأوتوماتون الحتمي
1598,deterministic baseline,خط الأساس الحتمي
1599,deterministic finite automaton,آلة حتمية محدودة
1600,deterministic policy,السياسة الحتمية
1601,deterministic rule,القاعدة الحتمية
1602,dev set,مجموعة التحقق
1603,development set,مجموعة التطوير
1604,diagonal matrix,المصفوفة القطرية
1605,dialog system,نظام الحوار
1606,dialogue act,فعل الحوار
1607,dialogue context,سياق الحوار
1608,dialogue generation,توليد الحوار
1609,dialogue history,تاريخ الحوار
1610,dialogue management,إدارة الحوار
1611,dialogue state,حالة الحوار
1612,dialogue state tracker,متعقب حالة الحوار
1613,dialogue system,نظام الحوار
1614,dialogue turn,دورة الحوار
1615,dictionary learning,تعلم القاموس
1616,dictionary matrix,مصفوفة القاموس
1617,diffeomorphism,تشاكل تفاضلي
1618,differentiable function,دالة قابلة للاشتقاق
1619,differentiable renderer,العارض القابل للتفاضل
1620,differentiable rendering,التصيير القابل للتفاضل
1621,differentiable rendering function,دالة التصيير القابلة للتفاضل
1622,differential entropy,الانتروبيا التفاضلية
1623,differential privacy,خصوصية تباينية
1624,diffusion matrix,مصفوفة الانتشار
1625,diffusion model,نموذج الانتشار
1626,diffusion tensor,موتر الانتشار
1627,digamma function,دالة الديجاما
1628,digit classification,تصنيف الأرقام
1629,dilated convolution,الالتفاف المتوسع
1630,dilation,التوسيع
1631,dim,الأبعاد
1632,dimension,البُعد
1633,dimension reduction,تخفيض الأبعاد
1634,dimensional vector,متجه ذو أبعاد
1635,dimensionality,عدد الأبعاد
1636,dimensionality reduction,تقليل الأبعاد
1637,directed acyclic graph,الرسم البياني الموجه غير الدوري
1638,directed edge,حافة موجهة
1639,directed graph,رسم بياني موجه
1640,directed graphical model,نموذج رسومي موجه
1641,directed tree,شجرة موجهة
1642,disambiguation,رفع الالتباس
1643,discount factor,عامل الخصم
1644,discount parameter,معلمة الخصم
1645,discounted cumulative reward,المكافأة التراكمية المخصومة
1646,discounted return,العائد المخصوم
1647,discounted reward,المكافأة المخصومة
1648,discounted state distribution,توزيع الحالة المخصوم
1649,discrete distribution,التوزيع المنفصل
1650,discrete graphical model,النموذج الرسومي المنفصل
1651,discrete random variable,متغير عشوائي منفصل
1652,discretization,التقسيم
1653,discriminant analysis,التحليل التمييزي
1654,discriminant function,دالة التمييز
1655,discriminative,تمييزية
1656,discriminative approach,النهج التمييزي
1657,discriminative feature,ميزة تمييزية
1658,discriminative method,الطريقة التمييزية
1659,discriminative model,نموذج تمييزي
1660,discriminative training,التدريب التمييزي
1661,discriminator,المميّز
1662,discriminator network,شبكة التمييز
1663,disentangle,فك التشابك
1664,disentangled representation,التمثيل المفكك
1665,disparity estimation,تقدير التفاوت
1666,disparity map,خريطة التفاوت
1667,distance function,دالة المسافة
1668,distance matrix,مصفوفة المسافات
1669,distance measure,قياس المسافة
1670,distance metric,متري المسافة
1671,distance transform,تحويل المسافة
1672,distant supervision,الإشراف البعيد
1673,distillation,التقطير
1674,distributed information retrieval,استرجاع المعلومات الموزع
1675,distributed learning,التعلم الموزع
1676,distributed learning system,نظام التعلم الموزع
1677,distributed representation,التمثيل الموزع
1678,distribution shift,تحول التوزيع
1679,distribution vector,متجه التوزيع
1680,distributional,توزيعي
1681,distributional feature,خاصية توزيعية
1682,distributional hypothesis,الفرضية التوزيعية
1683,distributional model,النموذج التوزيعي
1684,distributional representation,تمثيل توزيعي
1685,distributional semantic,الدلالات التوزيعية
1686,distributional semantic model,نموذج الدلالات التوزيعية
1687,distributional similarity,التشابه التوزيعي
1688,distributional word representation,تمثيل الكلمات التوزيعي
1689,distributionally robust optimization,التحسين القوي التوزيعي
1690,divergence operator,مشغل التباعد
1691,diversity score,درجة التنوع
1692,do-calculus,حسابات التدخل
1693,document classification,تصنيف المستندات
1694,document clustering,تجميع المستندات
1695,document corpus,مجموعة الوثائق
1696,document retrieval,استرجاع الوثائق
1697,document summarization,تلخيص الوثائق
1698,document vector,متجه الوثيقة
1699,document-level,على مستوى الوثيقة
1700,document-topic assignment,تعيين الموضوعات للوثائق
1701,domain adaptation,تكييف المجال
1702,domain element,عنصر المجال
1703,domain gap,فجوة المجال
1704,domain generalization,تعميم المجال
1705,domain knowledge,معرفة المجال
1706,domain mismatch,عدم تطابق المجال
1707,domain ontology,أنطولوجيا المجال
1708,domain shift,تحول المجال
1709,domain transfer,نقل المجال
1710,domain-specific,خاص بالمجال
1711,dot product,حاصل الضرب النقطي
1712,dot-product attention,انتباه حاصل الضرب النقطي
1713,down-sampling,خفض العينات
1714,down-sampling layer,طبقة تقليل العينات
1715,downsampling block,كتلة خفض العينات
1716,downsampling factor,عامل تقليص العينات
1717,downsampling layer,طبقة تقليل العينات
1718,downstream dataset,مجموعة البيانات اللاحقة
1719,downstream model,نموذج المصب
1720,downstream performance,أداء التطبيقات النهائية
1721,downstream task,مهمة المصب
1722,dropout,إسقاط
1723,dropout layer,طبقة الإسقاط
1724,dropout probability,احتمالية الإسقاط
1725,dropout rate,معدل الإسقاط
1726,dropout ratio,نسبة التسرب
1727,dropout regularization,ضبط الإسقاط
1728,dual decomposition,التحلل المزدوج
1729,dual encoder model,نموذج المشفر المزدوج
1730,dual norm,المعيار المزدوج
1731,dual objective,الهدف الثنائي
1732,dual optimization problem,مشكلة التحسين المزدوجة
1733,dual parameter,البارامتر المزدوج
1734,dual problem,المشكلة الثنائية
1735,dual program,البرنامج المزدوج
1736,dual solution,الحل المزدوج
1737,dual variable,المتغير المزدوج
1738,duality gap,فجوة الازدواجية
1739,dynamic Bayesian network,شبكة بايزية ديناميكية
1740,dynamic model,نموذج ديناميكي
1741,dynamic programming,البرمجة الديناميكية
1742,dynamic programming algorithm,خوارزمية البرمجة الديناميكية
1743,dynamic time warping,تزييف الوقت الديناميكي
1744,dynamical model,النموذج الديناميكي
1745,dynamical system,نظام ديناميكي
1746,early fusion,الانصهار المبكر
1747,early stopping,التوقف المبكر
1748,earth-mover distance,مسافة نقل التراب
1749,edge detection,اكتشاف الحواف
1750,edge feature,ميزة الحافة
1751,edge label,تسمية الحافة
1752,edge prediction,التنبؤ بالحافة
1753,edge set,مجموعة الحواف
1754,edge weight,وزن الحافة
1755,edit distance,مسافة التحرير
1756,effective receptive field,المجال الاستقبالي الفعال
1757,ego-motion,الحركة الذاتية
1758,eigen-decomposition,تحليل القيم الذاتية
1759,eigenbasis,الأساس الذاتي
1760,eigendecay,اضمحلال القيم الذاتية
1761,eigenfunction,دالة ذاتية
1762,eigenspace,الفضاء الذاتي
1763,eigenspectrum,طيف القيم الذاتية
1764,eigenvalue,القيمة الذاتية
1765,eigenvalue decomposition,تحلل القيمة الذاتية
1766,eigenvector,المتجه الذاتي
1767,elastic net regularization,تنظيم الشبكة المرن
1768,element-wise,عنصر-بعنصر
1769,element-wise multiplication,ضرب عنصر بعنصر
1770,element-wise product,حاصل ضرب عنصري
1771,elementary tree,الشجرة الابتدائية
1772,eligibility trace,تتبع الأهلية
1773,embedded deformation graph,الرسم البياني للتشوه المضمن
1774,embedding dimension,بُعد التضمين
1775,embedding dimensionality,أبعاد التضمين
1776,embedding feature,ميزات التضمين
1777,embedding layer,طبقة التضمين
1778,embedding matrix,مصفوفة التضمين
1779,embedding model,نموذج التضمين
1780,embedding parameter,معلمة التضمين
1781,embedding size,حجم التضمين
1782,embedding space,فضاء التضمين
1783,embedding vector,متجه التضمين
1784,embedding-based metric,مقياس قائم على التضمين
1785,embodied agent,الوكيل المتجسد
1786,emission probability,احتمالية الانبعاث
1787,emotion classification,تصنيف المشاعر
1788,empirical Bayes,بايز التجريبي
1789,empirical distribution,التوزيع التجريبي
1790,empirical estimate,التقدير التجريبي
1791,empirical estimator,المُقدِّر التجريبي
1792,empirical frequency,التردد التجريبي
1793,empirical loss,الخسارة التجريبية
1794,empirical mean,المتوسط التجريبي
1795,empirical measure,المقياس التجريبي
1796,empirical minimizer,المُحسِّن التجريبي
1797,empirical process theory,نظرية العمليات التجريبية
1798,empirical risk,الخطر التجريبي
1799,empirical risk minimization,التقليل من المخاطر التجريبية
1800,empirical risk minimizer,مُقلل المخاطر التجريبية
1801,empirical variance,التباين التجريبي
1802,emulator,المحاكي
1803,encode,تشفير
1804,encoder layer,طبقة المشفر
1805,encoder model,نموذج المشفر
1806,encoder network,شبكة الترميز
1807,encoder states,حالات المشفر
1808,encoder-decoder,المشفّر-المفكك
1809,encoder-decoder architecture,بنية المشفر-فك التشفير
1810,encoder-decoder framework,إطار عمل الترميز-فك التشفير
1811,encoder-decoder model,نموذج التشفير-فك التشفير
1812,encoding,تشفير
1813,end-of-sequence token,رمز نهاية التسلسل
1814,end-to-end learning,التعلم من النهاية إلى النهاية
1815,end-to-end model,نموذج من النهاية إلى النهاية
1816,end-to-end neural model,النموذج العصبي من النهاية إلى النهاية
1817,end-to-end pipeline,خط أنابيب من نهاية إلى نهاية
1818,end-to-end system,نظام نهاية إلى نهاية
1819,end-to-end training,التدريب من البداية إلى النهاية
1820,energy function,دالة الطاقة
1821,energy minimization,تقليل الطاقة
1822,energy minimization framework,إطار عمل تقليل الطاقة
1823,energy minimization problem,مسألة تقليل الطاقة
1824,ensemble,تجميع النماذج
1825,ensemble classification,التصنيف الجماعي
1826,ensemble classifier,المصنف الجماعي
1827,ensemble learning,التعلم الجماعي
1828,ensemble method,طريقة التجميع
1829,ensemble model,نموذج التجميع
1830,ensemble of classifier,مجموعة المصنِّفات
1831,ensemble size,حجم التجميع
1832,entail,يستلزم
1833,entailment,التضمين
1834,entailment detection,كشف التضمن
1835,entity coreference,المرجعية الكيانية
1836,entity description,وصف الكيان
1837,entity detection,كشف الكيان
1838,entity embedding,تمثيل الكيان
1839,entity extraction,استخراج الكيانات
1840,entity linker,رابط الكيانات
1841,entity mention,ذكر الكيان
1842,entity recognition,التعرف على الكيانات
1843,entity representation,تمثيل الكيان
1844,entity resolution,حل الكيانات
1845,entity set,مجموعة الكيانات
1846,entity type,نوع الكيان
1847,entropy,الإنتروبيا
1848,entropy estimation,تقدير الإنتروبيا
1849,entropy function,دالة الإنتروبيا
1850,entropy loss,خسارة الإنتروبيا
1851,entropy regularization,تنظيم الإنتروبيا
1852,enumeration algorithm,خوارزمية التعداد
1853,envy-freeness,الخلو من الحسد
1854,eos,رمز نهاية التسلسل
1855,epipolar constraint,القيد القطبي
1856,epipolar geometry,الهندسة الإيبيبولارية
1857,epipolar line,خط Epipolar
1858,epipole,النقطة الإيبيبولارية
1859,episodic return,العائد الإيبيزودي
1860,epistemic uncertainty,عدم اليقين الإبستيمي
1861,epoch,دورة
1862,equalized odd,الاحتمالات المتساوية
1863,equivalence class,فئة التكافؤ
1864,equivalence query,استعلام التكافؤ
1865,equivariance,التكافؤ
1866,equivariant,متناظر
1867,error,خطأ
1868,error analysis,تحليل الأخطاء
1869,error bound,منضم الخطأ
1870,error function,دالة الخطأ
1871,error probability,احتمالية الخطأ
1872,error rate,معدل الخطأ
1873,error tolerance,تحمل الخطأ
1874,estimation error,خطأ التقدير
1875,estimator,مقدِّر
1876,evaluation,تقييم
1877,evaluation function,دالة التقييم
1878,evaluation metric,مقياس التقييم
1879,evaluation set,مجموعة التقييم
1880,event calculus,حساب الأحداث
1881,event coreference,الإحالة المشتركة للأحداث
1882,event detection,كشف الحدث
1883,event extraction,استخراج الأحداث
1884,evidence lower bound,الحد الأدنى للأدلة
1885,evidence maximization,تعظيم الدليل
1886,exact inference,الاستدلال الدقيق
1887,excess loss,الخسارة الزائدة
1888,exchangeability,قابلية التبادل
1889,existential quantifier,الكمي الوجودي
1890,expectation maximization,تعظيم التوقع
1891,expectation maximization algorithm,خوارزمية تعظيم التوقعات
1892,expected loss,الخسارة المتوقعة
1893,expected reward,المكافأة المتوقعة
1894,expected utility,المنفعة المتوقعة
1895,experience replay,إعادة تشغيل التجربة
1896,expert demonstration,مظاهرة الخبراء
1897,expert system,نظام خبير
1898,expert systems,نظام خبير
1899,explicit-state search,بحث الحالة الصريحة
1900,exploding gradient,التدرج المتفجر
1901,exploitability,قابلية الاستغلال
1902,exploration rate,معدل الاستكشاف
1903,exploratory data analysis,التحليل الاستكشافي للبيانات
1904,exponential complexity,التعقيد الأسي
1905,exponential decay,الاضمحلال الأسي
1906,exponential distribution,التوزيع الأسّي
1907,exponential family,العائلة الأسّية
1908,exponential loss,الخسارة الأسية
1909,exponential map,الخريطة الأسية
1910,exponential moving average,المتوسط المتحرك الأسي
1911,exposure bias,انحياز التعرض
1912,extensive-form game,لعبة الشكل الموسع
1913,extraction,استخراج
1914,extractive question answering,الإجابة عن الأسئلة الاستخراجية
1915,extractive summarization,التلخيص الاستخراجي
1916,extractor,مستخرج
1917,f-divergence,تباعد f
1918,face detection,كشف الوجه
1919,face detector,كاشف الوجه
1920,face recognition,التعرف على الوجوه
1921,facial landmark,معلم الوجه
1922,facial recognition,التعرف على الوجوه
1923,fact verification,التحقق من الحقائق
1924,factor analysis,التحليل العاملي
1925,factor graph,رسم بياني للعوامل
1926,factor matrix,مصفوفة العوامل
1927,factor of variation,عامل التباين
1928,factorization,تحليل العوامل
1929,factorization algorithm,خوارزمية التحليل
1930,factorization method,طريقة التحليل العاملي
1931,failure probability,احتمالية الفشل
1932,fairness criterion,معيار الإنصاف
1933,fairness loss,خسارة الإنصاف
1934,fairness notion,مفهوم الإنصاف
1935,faithfulness score,درجة الأمانة
1936,false negative,سلبية كاذبة
1937,false negative rate,معدل السلبيات الكاذبة
1938,false positive rate,معدل الإيجابيات الكاذبة
1939,fanout,عدد التفرعات
1940,fc layer,طبقة متصلة بالكامل
1941,feasible set,المجموعة الممكنة
1942,feature,ميزة
1943,feature channel,قناة الميزة
1944,feature correspondence,المراسلات المميزة
1945,feature count,عدد الميزات
1946,feature descriptor,موصِف الميزات
1947,feature detection,كشف الميزات
1948,feature detector,كاشف الميزات
1949,feature dimension,بُعد الميزات
1950,feature dimensionality,أبعاد الميزات
1951,feature embedding,تضمين الميزات
1952,feature encoder,مشفّر الميزات
1953,feature engineering,هندسة الخصائص
1954,feature extraction,استخراج الميزات
1955,feature extractor,مستخرج الميزات
1956,feature function,دالة الميزات
1957,feature hashing,تجزئة الميزات
1958,feature hierarchy,التسلسل الهرمي للميزات
1959,feature map,خريطة الخصائص
1960,feature mapping function,وظيفة رسم الخرائط الميزة
1961,feature matching,مطابقة الميزات
1962,feature matrix,مصفوفة الميزات
1963,feature model,نموذج الميزات
1964,feature normalization,تطبيع الميزة
1965,feature point,نقطة ميزات
1966,feature pyramid,هرم الميزات
1967,feature representation,تمثيل الميزات
1968,feature representation learning,تعلم تمثيل الميزات
1969,feature selection,اختيار الميزات
1970,feature selector,محدد الميزات
1971,feature set,مجموعة الميزات
1972,feature space,فضاء السمات
1973,feature template,قالب الميزات
1974,feature vector,متجه الميزات
1975,feature weight,وزن الميزة
1976,featurization,استخراج الميزات
1977,featurized representation,تمثيل الميزة
1978,feed forward,تغذية أمامية
1979,feed forward network,شبكة التغذية الأمامية
1980,feed forward neural network,شبكة عصبية ذات تغذية أمامية
1981,feed-forward layer,طبقة التغذية الأمامية
1982,feedback loop,حلقة التغذية الراجعة
1983,feedforward neural network,شبكة عصبية ذات تغذية أمامية
1984,few shot learning,التعلم من عدد قليل من الأمثلة
1985,few-shot classification,تصنيف قليل الأمثلة
1986,few-shot example,مثال قليل الأمثلة
1987,few-shot fine-tuning,ضبط دقيق قليل الأمثلة
1988,few-shot in-context learning,التعلم في السياق قليل الأمثلة
1989,few-shot learning,تعلم بأمثلة قليلة
1990,few-shot prompting,تحفيز قليل الأمثلة
1991,few-shot setting,إعداد قليل الأمثلة
1992,filter bank,بنك المرشحات
1993,filter weight,وزن الفلتر
1994,fine-grained sentiment classification,تصنيف المشاعر بتفصيل دقيق
1995,fine-tune,ضبط دقيق
1996,fine-tuned model,النموذج المُعدل بدقة
1997,finetuning,الضبط الدقيق
1998,finite horizon,الأفق المحدود
1999,finite-state automata,آلات الحالة المنتهية
2000,first order method,طريقة الطلب الأول
2001,first-order,من الدرجة الأولى
2002,first-order language,لغة من الدرجة الأولى
2003,first-order logic,منطق الدرجة الأولى
2004,first-order model,نموذج من الدرجة الأولى
2005,first-order parsing,التحليل النحوي من الدرجة الأولى
2006,fitness function,دالة اللياقة
2007,five-fold cross-validation,التحقق المتقاطع بخمسة أضعاف
2008,fixed point,نقطة ثابتة
2009,fixed-parameter tractable,قابلية المعالجة بمعلمة ثابتة
2010,fixed-point iteration,تكرار النقطة الثابتة
2011,fixpoint,النقطة الثابتة
2012,float16,فلوات16
2013,float32,فلوات32
2014,flow field,حقل التدفق
2015,flow model,نموذج التدفق
2016,flow-based chatbot,بوت محادثة موجه
2017,forall,لِكُلِّ
2018,forecasting,التنبؤ
2019,foreground segmentation,تجزئة المقدمة
2020,forget gate,بوابة النسيان
2021,forward algorithm,الخوارزمية الأمامية
2022,forward model,نموذج إلى الأمام
2023,forward pass,تمرير أمامي
2024,forward process,العملية الأمامية
2025,forward propagation,الانتشار الأمامي
2026,forward-backward algorithm,خوارزمية الأمام-الخلف
2027,foundation model,نموذج الأساس
2028,fp,إطارات في الثانية
2029,fp16,دقة 16-بت العائمة
2030,fp32,دقة 32-بت العائمة
2031,fractional program,برنامج كسري
2032,frame,إطار
2033,free variable,متغير حر
2034,frequency penalty,عقوبة التكرار
2035,frequency vector,متجه التردد
2036,frequent closed itemset,مجموعة العناصر المتكررة المغلقة
2037,frequent item set,مجموعة العناصر المتكررة
2038,frequent pattern,الأنماط المتكررة
2039,frequent pattern mining,استخراج الأنماط المتكررة
2040,fully connected graph,رسم بياني متصل بالكامل
2041,fully connected layer,طبقة متصلة بالكامل
2042,fully connected network,الشبكة الموصلة بالكامل
2043,fully connected neural network,شبكة عصبية متصلة بالكامل
2044,fully convolutional network,شبكة تلافيفية بالكامل
2045,fully convolutional neural network,شبكة عصبية تلافيفية بالكامل
2046,fully-supervised model,نموذج خاضع للإشراف الكامل
2047,function approximation,تقريب الدالة
2048,function approximator,مُقَرِّب الدالة
2049,function class,فئة الدوال
2050,function space,فضاء الدوال
2051,functionality assertion,تأكيد الوظيفة
2052,fundamental matrix,المصفوفة الأساسية
2053,fusion module,وحدة الدمج
2054,fuzzy logic,منطق ضبابي
2055,fuzzy matching,مطابقة ضبابية
2056,g-value,قيمة g
2057,game tree,شجرة اللعبة
2058,game-theoretic analysis,تحليل نظرية الألعاب
2059,gamma distribution,توزيع جاما
2060,gate,بوابة
2061,gating function,دالة البوابة
2062,generalisation,التعميم
2063,generalization,التعميم
2064,generalization ability,قدرة التعميم
2065,generalization bound,حد التعميم
2066,generalization error,خطأ التعميم
2067,generalization gap,فجوة التعميم
2068,generalization guarantee,ضمان التعميم
2069,generalization performance,أداء التعميم
2070,generalized eigenvector,المتجهات الذاتية المعممة
2071,generalized linear mixed model,النموذج الخطي المختلط المعمم
2072,generalized linear model,النموذج الخطي المعمم
2073,generation model,نموذج توليد
2074,generative,توليدي
2075,generative adversarial network,شبكة توليدية تنافسية
2076,generative adversarial networks,شبكات الخصومة التوليدية
2077,generative approach,النهج التوليدي
2078,generative model,نموذج توليدي
2079,generative network,الشبكة التوليدية
2080,generative parser,المحلل التوليدي
2081,generative pre-trained transformer,محول توليدي مسبق التدريب 
2082,generative pre-training,التدريب المسبق التوليدي
