,English,French
1244,auto-regressive model,modèle auto-régressif
1245,auto-regressive process,processus auto-régressif
1246,autocalibration,autocalibration
1247,autocorrelation,autocorrélation
1248,autocovariance function,fonction d'autocovariance
1249,autodiff,autodiff
1250,autoencoder,autoencodeur
1251,automata,automates
1252,automata theory,théorie des automates
1253,automated content generation,création automatique de contenu
1254,automated data tiering,hiérarchisation automatique des données
1255,automated intelligence,intelligence automatisée
1256,automated journalism,journalisme automatisé
1257,automated machine learning,apprentissage automatique automatisé
1258,automated mechanism design,conception de mécanismes automatisée
1259,automated online assistant,assistant en ligne automatisé
1260,automated planning and scheduling,planification et ordonnancement automatisées
1261,automated reasoning,raisonnement automatique
1262,automated theorem prover,démonstrateur automatique de théorèmes
1263,automatic,automatique
1264,automatic classification,classement automatique
1265,automatic differentiation,différentiation automatique
1266,automatic evaluation,évaluation automatique
1267,automatic identification and data capture,identification automatique et capture de données
1268,automatic post-editing,post-édition automatique
1269,automatic speech processing,traitement automatique de la parole
1270,automatic speech recognition,reconnaissance automatique de la parole
1271,automatic summarization,résumé automatique
1272,automatic taxonomy construction,construction automatique de taxonomies
1273,automatic text generation,génération automatique de texte
1274,automatically,automatiquement
1275,automation,automatisation
1276,automorphism,automorphisme
1277,autonomic computing,informatique autogérée
1278,autonomous AI system,système d'IA autonome
1279,autonomous agent,agent autonome
1280,autonomous car,voiture sans conducteur
1281,autonomous intelligence,intelligence autonome
1282,autonomous physical agent,agent physique autonome
1283,autonomous robot,robot autonome
1284,autonomous vehicle,véhicule autonome
1285,autonomous weapon system,arme autonome
1286,autoregressive decoder,décodeur autoregressif
1287,autoregressive generation,génération autoregressive
1288,autoregressive integrated moving average process,processus autorégressif de moyennes mobiles intégrées
1289,autoregressive model,processus autorégressif
1290,auxiliary classifier,classificateur auxiliaire
1291,auxiliary loss,perte auxiliaire
1292,auxiliary task,tâche auxiliaire
1293,auxiliary variable,variable auxiliaire
1294,auxillary loss,perte auxiliaire
1295,avatar,avatar
1296,average branching factor,facteur de branchement moyen
1297,average loss,perte moyenne
1298,average pooling,sous-échantillonnage par la moyenne
1299,averaged one-dependence estimators,AODE
1300,averaged perceptron,perceptron moyen
1301,averaged perceptron algorithm,algorithme du perceptron moyen
1302,axis-aligned rectangle,rectangle aligné sur les axes
1303,back-off method,méthode de repli
1304,back-off strategy,stratégie de régression
1305,back-propagate,rétropropager
1306,back-propagated gradient,gradient rétropropagé
1307,back-propagation algorithm,algorithme de rétropropagation
1308,back-propagation neural network,réseau de neurones à propagation arrière
1309,back-translation,rétro-traduction
1310,backbone model,modèle de base
1311,backbone network,réseau de base
1312,backdoor,porte dérobée
1313,backdoor adjustment,ajustement par porte dérobée
1314,backdoor attack,attaque par porte dérobée
1315,backdoor sample,échantillon par porte dérobée
1316,backed-up value,valeur rétroapproximée
1317,background model,modèle de fond
1318,background subtraction,soustraction de fond
1319,backjumping,retour arrière par bond
1320,backoff model,modèle de backoff
1321,backpointer,pointeur de retour
1322,backprojection,rétroprojection
1323,backprop,rétropropagation
1325,backpropagation learning algorithm,algorithme de rétropropagation
1326,backpropagation through time,rétropropagation temporelle
1327,backtracking,retour arrière
1328,backtracking line search,recherche de ligne par retour en arrière
1329,backtracking strategy,stratégie de retour arrière
1330,backward chaining,analyse rétrograde
1331,backward equation,équation en arrière
1332,backward pass,propagation arrière
1333,bag of feature,sac de caractéristiques
1334,bag of words,sac de mots
1335,bag-of-word,sac de mots
1336,bag-of-word model,modèle sac de mots
1337,bag-of-word representation,représentation sac de mots
1338,bag-of-words model,modèle de sac de mots
1339,balanced iterative reducing and clustering using hierarchies,algorithme BIRCH
1340,balanced sample,échantillon balancé
1341,bandit,bandit
1342,bandit feedback,retour d'information de bandit
1343,bandit learning,apprentissage par bandit
1344,bandwidth parameter,paramètre de bande passante
1345,bart-base,bart-base
1346,bart-large,bart-large
1347,barycentric coordinate,coordonnée barycentrique
1348,base classifier,classificateur de base
1349,base distribution,distribution de base
1350,base learner,apprenant de base
1351,base model,modèle de base
1352,base-meta level tradeoff,compromis des niveaux base et méta
105,baseline,Référence
1353,baseline algorithm,algorithme de référence
1354,baseline method,méthode de référence
1355,baseline model,modèle de référence
1356,baseline parser,analyseur de référence
1357,baseline policy,politique de référence
1358,baseline system,système de référence
1359,baselines,bases
1360,basic predicate,prédicat de base
1361,basis function,fonction de base
1362,basis vector,vecteur de base
1363,batch,lot
1364,batch algorithm,algorithme par lots
1365,batch dimension,dimension de lot
1366,batch element,élément de lot
1367,batch gradient descent,descente de gradient par lot
1368,batch learning,apprentissage en vrac
1369,batch mode,mode par lot
1370,batch normalization,normalisation par lots
1371,batch optimization,optimisation par lot
1372,batch processing,traitement par lots
1373,batch reinforcement learning,apprentissage par renforcement en lots
1374,batch setting,cadre par lot
1375,batch size,taille de lot
1376,batch training,entraînement par lots
139,beam search,recherche par faisceau
1377,beam search algorithm,algorithme de recherche en faisceau
1378,beam search decoding,décodage par recherche par faisceau
1379,beam search decoding algorithm,algorithme de décodage par recherche par faisceau
1380,beam size,taille du faisceau
1381,beam width,largeur du faisceau
1382,bees algorithm,méthode des abeilles
1383,behavior cloning,clonage de comportement
1384,behavior policy,politique de comportement
1385,behavior tree,arbre de comportement
1386,behavioral analytics,analyse comportementale
1387,behavioral computing,informatique comportementale
1388,behaviour markup language,langage de balisage comportemental
1389,belief propagation,propagation des convictions
1390,belief state,état de croyance
1391,belief-desire-intention software model,modèle logiciel croyance–désir–intention
1392,benchmark,référence
1393,benchmark dataset,ensemble de données de référence
1394,benchmark task,tâche de référence
1395,best first search,meilleure première recherche
1396,best-first search,recherche best-first
1397,best-first search algorithm,algorithme de recherche best-first
1398,beta coefficient,coefficient beta
1399,beta distribution,distribution bêta
1400,beta1,beta1
1401,between-class variance,variance interclasses
1402,betweenness,centralité
1403,bi-gram,bi-gramme
1404,bi-level optimization,optimisation à deux niveaux
1405,bias,biais
1406,bias mitigation,atténuation des biais
1407,bias parameter,paramètre de biais
1408,bias term,terme de biais
1409,bias vector,vecteur de biais
1410,bias-variance tradeoff,compromis biais-variance
1411,biased estimator,estimateur biaisé
1412,biased importance sampling,échantillonnage d’importance biaisé
1413,biased sample,échantillon avec erreur systématique
1414,biases,biais
1415,bias–variance tradeoff,compromis biais-variance
1416,bibliographic coupling,couplage bibliographique
1417,biclustering,classification double
1418,bicubic interpolation,interpolation bicubique
1419,bidirectional,bidirectionnel
1420,bidirectional RNN,réseau de neurones récurrent bidirectionnel
1421,bidirectional Transformer,Transformer bidirectionnel
1422,bidirectional encoder,encodeur bidirectionnel
1423,bidirectional heuristic search,recherche heuristique bidirectionnelle
1424,bidirectional long short-term memory,réseau récurrent bidirectionnel à longue mémoire court terme
1425,bidirectional model,modèle bidirectionnel
1426,bidirectional recurrent neural network,réseau de neurones récurrents bidirectionnel
1427,bidirectional search,recherche bidirectionnelle
1428,bidirectionality,bidirectionnalité
1429,bifactor model,modèle à deux facteurs
1430,big O notation,notation asymptotique
1431,big data,données de masse
1432,big data analytics,analyse des données massives
1433,big data visualization,visualisation de données massives
1434,big-O notation,notation grand-O
1435,bigram,bigramme
1436,bigram count,comptage de bigrammes
1437,bigram language model,modèle de langage à bigrammes
1438,bijective function,fonction bijective
1439,bijective mapping,correspondance bijective
1440,bilateral filtering,filtrage bilatéral
1441,bilinear,bilinéaire
1442,bilinear form,forme bilinéaire
1443,bilinear interpolation,interpolation bilinéaire
1444,bilinear model,modèle bilinéaire
1445,bilingual model,modèle bilingue
1446,binarization,binarisation
1447,binary,binaire
1448,binary atom,atome binaire
1449,binary classification,classification binaire
1450,binary classification head,tête de classification binaire
1451,binary classification problem,problème de classification binaire
1452,binary classification task,tâche de classification binaire
1453,binary classifier,classificateur binaire
1454,binary constraint,contrainte binaire
1455,binary cross entropy,entropie croisée binaire
1456,binary cross-entropy loss,perte d'entropie croisée binaire
1457,binary decision tree,arbre de décision binaire
1458,binary feature,caractéristique binaire
1459,binary label,étiquette binaire
1460,binary matrix,matrice binaire
1461,binary predicate,prédicat binaire
1462,binary relation,relation binaire
1463,binary search,recherche binaire
1464,binary search algorithm,algorithme de recherche dichotomique
1465,binary segmentation,segmentation binaire
1466,binary tree,arbre binaire
1467,binary variable,variable binaire
1468,binary vector,vecteur binaire
1469,binning,répartition par classes
1470,binomial distribution,distribution binaire
1471,bioinformatic,bioinformatique
1472,bioinformatics,bio-informatique
1473,bioinspiration,bio-inspiration
1474,biological neural network,réseau neuronal biologique
1475,biological neuron,neurone biologique
1476,biometrics,biométrie
1477,biomimetic algorithm,algorithme bio-inspiré
1478,bionic robot,robot bionique
1479,biorobotics,biorobotique
1480,bipartite,bipartite
1481,bipartite graph,graphe bipartite
1482,bipartite matching,appariement bipartite
1483,bipartite structure,structure bipartite
1484,birth-death process,processus de naissance-mort
1485,birthday problem,paradoxe des anniversaires
1486,bisection method,méthode de bisection
1487,bisimulation,bisimulation
1488,bit error rate,taux d'erreurs sur les bits
1489,bitext,bitexte
1490,bitvector,vecteur de bits
1491,black box,boîte noire
1492,black-box,boîte noire
1493,black-box model,modèle boîte noire
1494,blackboard system,système tableau noir
1495,blind search,recherche aveugle
1496,block,bloc
1497,block coordinate descent,descente de coordonnées par blocs
1498,block diagram,schéma de blocs
1499,block matrix,matrice bloc
1500,block-diagonal matrix,matrice bloc-diagonale
1501,blockchain,block chain
1502,blur kernel,noyau de flou
1503,boolean predicate,prédicat booléen
1504,boosting,amplification
1505,boosting algorithm,algorithme de dopage
1506,boosting approach,approche de boosting
1507,bootstrap aggregation,agrégation de circuit fermé
1508,bootstrap learning,apprentissage par bootstrap
1509,bootstrap resampling,rééchantillonnage bootstrap
1510,bootstrap sample,échantillon bootstrap
1511,bootstrapping,ré-échantillonage avec remise
1512,botnet,botnet
1513,bottleneck,goulot d'étranglement
1514,bottleneck layer,couche de goulot d'étranglement
1515,bottom-up,approche ascendante
1516,bottom-up learning,apprentissage ascendant
1517,bottom-up module,module ascendant
1518,bottom-up parser,analyse syntaxique ascendante
1519,bottom-up parsing,analyse ascendante
1520,bound variable,variable liée
1521,bounded rationality,rationalité limitée
1522,bounding box,boîte englobante
1523,bounding box detection,détection de boîte englobante
1524,bounding box regression,régression de boîte englobante
1525,bounding box regressor,régressseur de boîte englobante
1526,box plot,diagramme boîte
1527,brain–computer interface,interface cerveau-ordinateur
1528,branch and bound algorithm,algorithme de branch and bound
1529,branching factor,facteur de branchement
1530,branching process,processus branchu
1531,breadth first search,algorithme de parcours en largeur
1532,breadth-first order,ordre en largeur
1533,breadth-first search,recherche en largeur
1534,brute force search,recherche exhaustive
1535,brute-force search,recherche exhaustive
1536,burn-in,période de rodage
1537,business analytics,analyse des données en entreprise
1538,business intelligence,informatique décisionnelle
1539,calculus of variation,calcul des variations
1540,calculus of variations,calcul des variations
1541,calibration,calibration
1542,calibration method,méthode de calibration
1543,camera calibration,calibration de la caméra
1544,camera intrinsic,paramètres intrinsèques de la caméra
1545,camera matrix,matrice de caméra
1546,camera parameter,paramètre de caméra
1547,camera pose estimation,estimation de la pose de la caméra
1548,candidate generation,génération de candidats
1549,candidate sampling,échantillonnage de candidats
1550,candidate set,ensemble de candidats
1551,canned response,réponse prédéfinie
1552,canonical basis,base canonique
1553,canonical correlation analysis,analyse de corrélation canonique
1554,canonical form,forme canonique
1555,canonical frame,cadre canonique
1556,canonical space,espace canonique
1557,canonical-correlation analysis,analyse canonique des corrélations
1558,canonicalization,canonisation
1559,capacity planning,gestion de la capacité
1560,capsule network,CapsNet
1561,caption generation,génération de légendes
1562,captions,captures
1563,capture-recapture sampling,échantillonnage avec capture et libération
1564,cardinality,cardinalité
1565,cardinality constraint,contrainte de cardinalité
1566,cartesian product,ensemble produit
1567,cascade model,modèle en cascade
1568,case-based reasoning,raisonnement par cas
1569,case-based reasoning algorithm,algorithme de raisonnement par cas
1570,case-based reasoning systems,systèmes de raisonnement basés sur des cas
1571,catastrophic forgetting,oubli catastrophique
1572,categorial grammar,grammaire catégorielle
1573,categorical cross-entropy,entropie croisée catégorique
1574,categorical cross-entropy loss,erreur entropie croisée catégorielle
1575,categorical data,données catégorielles
1576,categorical distribution,loi multinoulli
1577,categorical feature,caractéristique catégorique
1578,categorical variable,variables nominales
1579,causal deep learning,apprentissage profond causal
1580,causal effect,effet causal
1581,causal effect estimation,estimation de l'effet causal
1582,causal entropy,entropie causale
1583,causal graph,graphe causal
1584,causal inference,inférence causale
1585,causal intervention,intervention causale
1586,causal language model,modèle de langage causal
1587,causal model,modèle causal
1588,causal reasoning,raisonnement causal
1589,causal rule,règle causale
1590,causal theory,théorie causale
1591,cell state,état de cellule
1592,center crop,recadrage central
1593,center of projection,centre de projection
1594,centered deep Boltzmann machine,machine de Boltzmann profonde centrée
1595,centering trick,astuce de centrage
1596,central confidence interval,intervalle de confiance centré
1597,central limit theorem,théorème central limite
1598,central tendency,valeur typique
1599,centrality measure,mesure de centralité
1600,centroid,centroïde
1601,centroid linkage clustering,regroupement par lien centroïdal
1602,centroid method,méthode du centroïde
1603,centroid-based clustering,regroupement basé sur les centroïdes
1604,certainty factor,facteur de certitude
1605,chain rule,règle de chaînage
1606,chain-of-thought prompting,requête de résolution par étapes
1607,change of basis,changement de base
1608,change point detection,détection de ruptures
1609,channel,canal
1610,character embedding,embedding de caractères
1611,character n-gram,n-gramme de caractères
1612,characteristic function,fonction caractéristique
1613,characteristic polynomial,polynôme caractéristique
1614,characteristic vector,vecteur caractéristique
1615,chart parser,analyseur par tableau
1616,chart parsing,analyse par tableau
1617,chat interface,interface de clavardage
1618,chatbot,robot conversationnel
1619,checkpoint,point de contrôle
1620,chemoinformatic,chimioinformatique
1621,chi-square distribution,distribution du chi carré
1622,chi-square test,chi carré
1623,chi-squared test of independance,test χ²
1624,child node,nœud enfant
1625,chromosome,chromosome
1626,chunk size,taille de bloc
1627,churn,attrition
1628,circuit recognition engine,moteur de reconnaissance de circuits
1629,citation network,réseau de citations
1630,citizen data scientist,citoyen scientifique des données
1631,class,classe
1632,class balance,équilibre des classes
1633,class distribution,distribution des classes
1634,class imbalance,déséquilibre des classes
1635,class imbalance plot,diagramme de déséquilibre des classes
1636,class label,étiquette de classe
1637,class prior,a priori de classe
1638,class-imbalanced data set,ensemble de données avec déséquilibre des classes
1639,classical planning,planification classique
1640,classification,classification
1641,classification accuracy,précision de classification
1642,classification algorithm,algorithme de classification
1643,classification and regression trees,algorithme CART
1644,classification approach,approche de classification
1645,classification error,erreur de classification
1646,classification head,tête de classification
1647,classification loss,perte de classification
1648,classification margin,marge de classification
1649,classification method,méthode de classification
1650,classification metric,métrique de classification
1651,classification model,modèle de classification
1652,classification network,réseau de classification
1653,classification objective,objectif de classification
1654,classification problem,problème de classification
1655,classification score,score de classification
1656,classification task,tâche de classification
1657,classification threshold,seuil de classification
1658,classification token,jeton de classification
1659,classification tree,arbre de classification
1660,classifier,classeur
1661,classifiers,classificateurs
1662,classifying,classification
1663,clause learning,apprentissage de clauses
1664,click model,modèle de clic
1665,clickstream,flux de clics
1666,clickstream analytics,analyse des flux de clics
1667,clip range,plage de clipping
1668,clipping factor,facteur de clipping
1669,clipping threshold,seuil de clipping
1670,clique potential,potentiel de clique
1671,closed frequent itemset,ensemble d'items fréquents fermés
1672,closed-book model,modèle fermé
1673,closed-world,monde fermé
1674,closed-world assumption,hypothèse du monde clos
1675,cloud AI services,services d'IA en nuage
1676,cloud computing,infonuage
1677,cloud robotics,robotique en nuage
1678,cloud storage,stockage infonuagique
1679,cloze prompt,invite cloze
1680,cloze task,tâche cloze
1681,cluster analysis,analyse des conglomérats
1682,cluster assignment,attribution de cluster
1683,cluster center,centre de cluster
1684,cluster centroid,centroïde de cluster
1685,cluster feature,caractéristique de cluster
1686,cluster label,étiquette de cluster
1687,cluster sampling,échantillonnage par conglomérats
1688,cluster size,taille de cluster
1689,clustering,analyse typologique
1690,clustering algorithm,algorithme de clustering
1691,clustering criterion,critère de regroupement
1692,clustering method,méthode de regroupement
1693,clustering problem,problème de regroupement
1694,co-occurrence,co-occurrence
1695,co-occurrence matrix,matrice de co-occurrence
1696,co-occurrence statistic,statistique de co-occurrence
1697,co-reference,co-référence
1698,co-training,co-apprentissage
1699,coarse correlated equilibria,équilibres corrélés grossiers
1700,coarse correlated equilibrium,équilibre corrélé grossier
1701,coarse layer,couche grossière
1702,coarse-to-fine,approche grossière à fine
1703,coarse-to-fine approach,approche grossière à fine
1704,coarse-to-fine cascade,cascade grossier-à-précis
1705,coarse-to-fine strategy,stratégie de grossier à fin
1706,codebook,livre de codes
1707,codomain,codomaine
1708,coefficient,coefficient
1709,coefficient matrix,matrice des coefficients
1710,coefficient of determination,coefficient de détermination
1711,cognitive agent,agent cognitif
1712,cognitive architecture,architecture cognitive
1713,cognitive computer,ordinateur cognitif
1714,cognitive computing,informatique cognitive
1715,cognitive model,modèle cognitif
1716,cognitive modeling,modélisation cognitive
1717,cognitive probabilistic model,modèle cognitif probabiliste
1718,cognitive science,sciences cognitives
1719,cognitive task,tâche cognitive
1720,cognitive technology,technologies cognitives
1721,cognitivism,cognitivisme
1722,cold start,démarrage à froid
1723,collaborative filtering,filtrage collaboratif
1724,collaborative learning,apprentissage collaboratif
1725,collaborative system,système collaboratif
1726,collective inference,inférence collective
1727,color channel,canal de couleur
1728,color constancy,constance des couleurs
1729,colorization,colorisation
1730,column generation,génération de colonnes
1731,column space,espace des colonnes
1732,column vector,vecteur colonne
1733,column-oriented database,base de données orientée colonnes
1734,columnar database,base de données en colonnes
1735,combinator,combinatoire
1736,combinatorial explosion,explosion combinatoire
1737,combinatorial optimization,optimisation combinatoire
1738,combinatorial optimization problem,problème d'optimisation combinatoire
1739,committee machine,machine de comité
1740,common objects in context,COCO
1741,commonsense inference,inférence de bon sens
1742,commonsense knowledge,connaissance de bon sens
1743,commonsense knowledge graph,graphe de connaissances de sens commun
1745,communication complexity,complexité de communication
1746,communication graph,graphe de communication
1747,communications security,sécurité des communications
1748,compared,comparé
1749,compartmental model,modèle compartimental
1750,compatibility function,fonction de compatibilité
1751,compatibility graph,graphe de compatibilité
1752,competitive ratio,ratio compétitif
1753,complete linkage clustering,liaison complète de grappe
1754,complete-linkage clustering,regroupement hiérarchique par lien complet
1755,composite AI,composite IA
1756,composite hypothesis,hypothèse composite
1757,composite index,indice composite
1758,composition function,fonction de composition
1759,compositional generalization,généralisation compositionnelle
1760,compositional semantic,sémantique compositionnelle
1761,compositional semantics,sémantique compositionnelle
1762,compositionality,compositionnalité
1763,comprehension,compréhension
1764,compressive sensing,sensing compressif
1765,computation,calcul
1766,computation complexity,complexité de calcul
1767,computation graph,graphe de calcul
1768,computational,informatique
1769,computational argumentation,argumentation computationnelle
1770,computational biology,informatique biologique
1771,computational budget,budget computationnel
1772,computational complexity,complexité computationnelle
1773,computational complexity theory,théorie de la complexité
1774,computational creativity,créativité artificielle
1775,computational cybernetics,cybernétique informatique
1776,computational experiment,expérience computationnelle
1777,computational graph,graphe computationnel
1778,computational humour,humour informatique
1779,computational intelligence,computational intelligence
1780,computational learning theory,théorie de l'apprentissage informatique
1781,computational linguistics,informatique linguistique
1782,computational mathematics,mathématiques computationnelles
1783,computational model,modèle computationnel
1784,computational neuroscience,neuroscience informatique
1785,computational number theory,théorie algorithmique des nombres
1786,computational problem,problème algorithmique
1787,computational statistics,informatique statistique
1788,computationalism,computationnalisme
1789,compute budget,budget de calcul
1790,computer cluster,cluster de serveurs
1791,computer facial animation,animation faciale par ordinateur
1792,computer simulation,simulation informatique
1793,computer system intrusion,intrusion informatique
1794,computer vision,vision artificielle
1795,computer vision model,modèle de vision par ordinateur
1796,computer-assisted translation,traduction assistée par ordinateur
1797,concatenation,concaténation
1798,concatenation operation,opération de concaténation
1799,concentration inequality,inégalité de concentration
1800,concentration parameter,paramètre de concentration
1801,concept,concept
1802,concept assertion,assertion de concept
1803,concept atom,atome de concept
1804,concept class,classe de concept
1805,concept drift,dérive conceptuelle
1806,concept inclusion,inclusion de concept
1807,concept learning,apprentissage de concepts
1808,concept name,nom de concept
1809,conceptual clustering,agrégation conceptuelle
1810,conceptual dependency theory,théorie des dépendances conceptuelles
1811,condition number,nombre de condition
1812,condition-action rule,règle condition-action
1813,conditional computation,calcul conditionnel
1814,conditional density,densité conditionnelle
1815,conditional distribution,distribution conditionnelle
1816,conditional effect,effet conditionnel
1817,conditional entropy,entropie conditionnelle
1818,conditional expectation,espérance mathématique conditionnelle
1819,conditional gradient,gradient conditionnel
1820,conditional independence,indépendance conditionnelle
1821,conditional independency,indépendance conditionnelle
1822,conditional likelihood,vraisemblance conditionnelle
1823,conditional log likelihood,log-vraisemblance conditionnelle
1824,conditional log probability,log-probabilité conditionnelle
1825,conditional maximum entropy,entropie maximale conditionnelle
1826,conditional model,modèle conditionnel
1827,conditional probability,probabilité conditionnelle
1828,conditional probability distribution,distribution de probabilité conditionnelle
1829,conditional random field,champ aléatoire conditionnel
1830,conditional sampling,échantillonnage conditionnel
1831,conditional text generation,génération de texte conditionnelle
1832,conditioning,conditionnement
1833,conditioning vector,vecteur de conditionnement
1834,confidence,confiance
1835,confidence band,bande de confiance
1836,confidence bound,borne de confiance
1837,confidence interval,intervalle de confiance
1838,confidence map,carte de confiance
1839,confidence score,score de confiance
1840,confidence threshold,seuil de confiance
1841,configuration,configuration
1842,confirmation bias,biais de confirmation
1843,confounding factor,facteur confusionnel
1844,confounding variable,variable confusionnelle
1845,confounding variables,variables confusionnelles
1846,confusion matrix,matrice de confusion
1847,confusion network,réseau de confusion
1848,conjectural reasoning,raisonnement conjectural
1849,conjugate gradient,gradient conjugué
1850,conjugate gradient descent,descente de gradient conjugué
1851,conjugate gradient method,méthode du gradient conjugué
1852,conjunct,conjonctif
1853,conjunctive normal form,forme normale conjonctive
1854,conjunctive query,requête conjonctive
1855,connected component,composante connexe
1856,connectionism,approche connexionniste
1857,connectionist approach,approche neuronale
1858,connectionist model,modèle connexionniste
1859,connectionist temporal classification,classification temporelle connexionniste
1860,connectivity matrix,matrice de connectivité
1861,consensus network decoding,décodage par réseau de consensus
1862,consequent,conséquent
1863,consistent estimator,estimateur cohérent
1864,consistent heuristic,fonction consistente
1865,constellation model,modèle de constellation
1866,constituency parser,analyseur de constituants
1867,constituency parsing,analyse de constituants
1868,constituency tree,arbre de constituance
1869,constituent parsing,analyse des constituants
1870,constituent structure,structure constituante
1871,constitutional AI,IA fondée sur une constitution
1872,constrained beam search,recherche par faisceau contraint
1873,constrained conditional model,modèle conditionnel contraint
1874,constrained decoding,décodage contraint
1875,constrained optimization,optimisation contrainte
1876,constrained optimization problem,problème d'optimisation contraint
1877,constraint,contrainte
1878,constraint generation,génération de contraintes
1879,constraint logic programming,programmation logique avec contraintes
1880,constraint programming,programmation par contraintes
1881,constraint propagation,propagation de contraintes
1882,constraint satisfaction,satisfaction de contraintes
1883,constraint satisfaction problem,problème de satisfaction de contraintes
1884,constraint satisfaction rule,règle de satisfaction de contraintes
1885,constraint set,ensemble de contraintes
1886,constraint solvers,solveurs de contraintes
1887,content model,modèle de contenu
1888,content selection,sélection de contenu
1889,content-based addressing,adressage basé sur le contenu
1890,content-based filtering,filtrage basé sur le contenu
1891,content-based image retrieval,recherche d'image par le contenu
1892,context,contexte
1893,context encoder,encodeur de contexte
1894,context free grammar,grammaire sans contexte
1895,context model,modèle de contexte
1896,context stack,pile de contextes
1897,context vector,vecteur de contexte
1898,context window,fenêtre contextuelle
1899,context-free grammar,grammaire acontextuelle
1900,context-free language,langage sans contexte
1901,context-sensitive grammar,grammaire contextuelle
1902,contexts,contextes
1903,contextual bandits,bandits contextuels
1904,contextual embedding,embeddings contextuels
1905,contextual feature,caractéristique contextuelle
1906,contextual information,information contextuelle
1907,contextual model,modèle contextuel
1908,contextual representation,représentation contextuelle
1909,contextual vector,vecteur contextuel
1910,contextual word embedding,plongement de mots contextualisé
1911,contextualized,contextualisé
1912,contextualized embedding,embedding contextualisé
1913,contextualized representation,représentation contextualisée
1914,contextualized word vector,vecteur de mot contextualisé
1915,contingency table,tableau de contingence
1916,continual learning,apprentissage continu
1917,continuous data,données continues
1918,continuous feature,caractéristique continue
1919,continuous normalizing flow,flux normalisant continu
1920,continuous probability distribution,distribution de probabilité continue
1921,continuous variable,variable continue
1922,continuously adaptive mean shift,camshift
1923,contract net protocol,protocole de réseau contractuel
1924,contractive autoencoder,auto-encodeur contractif
1925,contrastive approach,approche contrastive
1926,contrastive fine-tuning,ajustement contrastif
1927,contrastive language-image pretraining,CLIP
1929,contrastive loss,perte contrastive
1930,contrastive objective,objectif contrastif
1931,contrastive self-supervised learning,apprentissage autosupervisé contrastif
1932,control theory,théorie du contrôle
1933,control variate,variable de contrôle
1934,controllable text generation,génération de texte contrôlable
1935,conv layer,couche conv
1936,convergence,convergence
1937,convergence analysis,analyse de convergence
1938,convergence bound,borne de convergence
1939,convergence criterion,critère de convergence
1940,convergence rate,taux de convergence
1941,convergence time,temps de convergence
1942,conversation history,historique de conversation
1943,conversational,conversationnel
1944,conversational AI,IA conversationnelle
1945,conversational agent,agent animé
1946,conversational dialogue system,système de dialogue conversationnel
1947,conversational interface,interface conversationnelle
1948,conversational user interface,interface utilisateur conversationnelle
1949,convex,convexe
1950,convex combination,combinaison convexe
1951,convex conjugate,conjugué convexe
1952,convex constraint,contrainte convexe
1953,convex decomposition,décomposition convexe
1954,convex function,fonction convexe
1955,convex hull,enveloppe convexe
1956,convex loss,perte convexe
1957,convex objective,objectif convexe
1958,convex objective function,fonction objectif convexe
1959,convex optimization,optimisation convexe
1960,convex optimization problem,problème d'optimisation convexe
1961,convex problem,problème convexe
1962,convex program,programme convexe
1963,convex proxy,proxy convexe
1964,convex quadratic program,programme quadratique convexe
1965,convex relaxation,relaxation convexe
1966,convex risk minimization,minimisation du risque convexe
1967,convex set,ensemble convexe
1968,convex surrogate,surrogat convexe
1969,convex-concave,convexe-concave
1970,convexity,convexité
1971,convolution,convolution
1972,convolution kernel,noyau de convolution
1973,convolution layer,couche de convolution
1974,convolution neural network,réseau de neurones convolutionnels
1975,convolution operation,opération de convolution
1976,convolution operator,opérateur de convolution
1977,convolutional,convolutionnel
1978,convolutional architecture,architecture convolutionnelle
1979,convolutional block,bloc convolutionnel
1980,convolutional decoder,décodeur convolutionnel
1981,convolutional encoder,encodeur convolutionnel
1982,convolutional feature,caractéristique convolutionnelle
1983,convolutional filter,filtre convolutionnel
1984,convolutional kernel,noyau convolutionnel
1985,convolutional layer,couche convolutive
1986,convolutional network,réseau convolutionnel
1987,convolutional neural net,réseau de neurones convolutionnel
1988,convolutional neural network,réseau convolutif
1989,convolutional operation,opération convolutive
1990,convolutional representation,représentation convolutionnelle
1991,cooling schedule,programme de refroidissement
1992,coordinate ascent,Ascension par coordonnées
1993,coordinate descent,descente de coordonnées
1994,coordinate descent algorithm,algorithme de descente de coordonnées
1995,coordinate frame,système de coordonnées
1996,copy mechanism,mécanisme de copie
1997,core tensor,tenseur central
1998,coreference,coréférence
1999,coreference annotation,annotation de coréférence
2000,coreference chain,chaîne de co-référence
2001,coreference resolution model,modèle de résolution de coréférence
2002,coreference resolution system,système de résolution de coréférence
2003,coreferent,co-référent
242,corpus,Corpus
2007,correlated equilibria,équilibres corrélés
2008,correlated equilibrium,équilibre corrélé
2009,correlation coefficient,coefficient de corrélation
2010,correlation ratio,rapport de corrélation
2011,correlation table,tableau de corrélation
2012,correlations,corrélation
2013,correspondence matrix,matrice de correspondance
2014,corresponding,correspondant
2015,cosine,cosinus
2016,cosine decay,décroissance cosinus
2017,cosine decay schedule,calendrier de décroissance cosinus
2018,cosine learning rate schedule,calendrier de taux d'apprentissage cosinusoïdal
2019,cosine measure,mesure cosinus
2020,cosine schedule,programme cosinusoïdal
2021,cosine similarity,mesure du cosinus
