,English,Japanese
1405,context model,コンテキストモデル
1406,context vector,コンテキストベクトル
1407,context window,コンテキストウィンドウ
1408,context-free language,文脈自由言語
1409,contexts,文脈
1410,contextual embedding,文脈埋め込み
1411,contextual feature,文脈特徴
1412,contextual information,文脈情報
1413,contextual model,文脈モデル
1414,contextual representation,コンテキスト表現
1415,contextual vector,コンテキストベクトル
1416,contextual word embedding,コンテクスト依存の単語埋め込み
1417,contextualized,文脈で理解できる
1418,contextualized embedding,文脈化された埋め込み
1419,contextualized representation,コンテキスト化された表現
1420,contextualized word vector,コンテキスト化された単語ベクトル
1421,contingency table,クロス集計表
1422,continual learning,継続的学習
1423,continuous normalizing flow,連続正規化フロー
1424,contrastive approach,対照的アプローチ
1425,contrastive fine-tuning,対照的ファインチューニング
1426,contrastive loss,コントラスト損失
1427,contrastive objective,対照的目的関数
1428,control variate,コントロールバリアテ
1429,controllable text generation,制御可能なテキスト生成
1430,conv layer,畳み込み層
1431,convergence,収束
1432,convergence analysis,収束解析
1433,convergence bound,収束境界
1434,convergence criterion,収束基準
1435,convergence rate,収束速度
1436,convergence time,収束時間
1437,conversation history,会話履歴
1438,conversational,会話的
1439,conversational agent,会話型エージェント
1440,conversational dialogue system,会話型対話システム
1441,convex,凸
1442,convex combination,凸結合
1443,convex conjugate,凸共役
1444,convex constraint,凸制約
1445,convex decomposition,凸分解
1446,convex function,凸関数
1447,convex hull,凸包
1448,convex loss,凸損失
1449,convex objective,凸目的関数
1450,convex objective function,凸目的関数
1451,convex optimization,凸最適化
1452,convex optimization problem,凸最適化問題
1453,convex problem,凸問題
1454,convex program,凸最適化問題
1455,convex proxy,凸代理
1456,convex quadratic program,凸二次計画
1457,convex relaxation,凸緩和
1458,convex risk minimization,凸リスク最小化
1459,convex set,凸集合
1460,convex surrogate,凸代理関数
1461,convex-concave,凸凹
1462,convexity,凸性
178,convolution,畳み込み
1463,convolution kernel,畳み込みカーネル
1464,convolution layer,畳み込み層
1465,convolution neural network,畳み込みニューラルネットワーク
1466,convolution operation,畳み込み演算
1467,convolution operator,畳み込み演算子
1468,convolutional,畳み込みの
1469,convolutional architecture,畳み込みアーキテクチャ
1470,convolutional block,畳み込みブロック
1471,convolutional decoder,畳み込みデコーダ
1472,convolutional encoder,畳み込みエンコーダ
1473,convolutional feature,畳み込み特徴
1474,convolutional filter,畳み込みフィルタ
1475,convolutional kernel,畳み込みカーネル
1476,convolutional layer,畳み込み層
1477,convolutional network,畳み込みネットワーク
1478,convolutional neural net,畳み込みニューラルネット
1479,convolutional neural network,畳み込みニューラルネットワーク
1480,convolutional representation,畳み込み表現
1481,cooling schedule,冷却スケジュール
1482,coordinate ascent,座標上昇法
1483,coordinate descent,座標降下法
1484,coordinate descent algorithm,座標降下アルゴリズム
1485,coordinate frame,座標フレーム
1486,copy mechanism,コピー機構
1487,core tensor,コアテンソル
1488,coreference,同一指示
1489,coreference annotation,共参照アノテーション
1490,coreference chain,共参照連鎖
1491,coreference resolution model,共参照解決モデル
1492,coreference resolution system,共参照解決システム
1493,coreferent,共参照対象
183,corpus,コーパス
1497,correlated equilibria,相関平衡
1498,correlated equilibrium,相関均衡
1499,correlation coefficient,相関係数
1500,correlations,相関
1501,correspondence matrix,対応行列
1502,corresponding,対応する
1503,cosine,コサイン
1504,cosine decay,コサイン減衰
1505,cosine decay schedule,コサイン減衰スケジュール
1506,cosine learning rate schedule,コサイン学習率スケジュール
1507,cosine measure,余弦測度
1508,cosine schedule,コサインスケジュール
184,cosine similarity,コサイン類似度
1509,cosine similarity measure,コサイン類似度測定
1510,cost function,コスト関数
1511,cost vector,コストベクトル
1512,cost volume,コストボリューム
1513,cost-sensitive learning,コスト感度学習
1514,counterexample,反例
1515,counterfactual,非現実節
1516,counterfactual datum,反実仮想データ
1517,counterfactual example,反実仮想例
1518,counterfactual fairness,反事実的公平性
1519,counterfactual reasoning,反事実的推論
187,covariance,共分散
1520,covariance function,共分散関数
1521,covariance kernel,共分散カーネル
1522,covariance matrix,共分散行列
1523,covariance model,共分散モデル
1524,covariance operator,共分散演算子
1525,covariance parameter,共分散パラメータ
1526,covariance structure,共分散構造
1527,covariant derivative,共変微分
1528,covariate,共変量
1529,covariate shift,共変量シフト
1530,credit assignment,クレジット割り当て
1531,credit assignment problem,クレジット割り当て問題
1532,criterion,基準
1533,critic,クリティック
1534,critic loss,クリティック損失
1535,critic network,クリティックネットワーク
1536,cross attention,クロスアテンション
1537,cross entropy,クロスエントロピー
1538,cross entropy error,クロスエントロピー誤差
1539,cross validation,交差検証
1540,cross-attention layer,クロスアテンション層
1541,cross-attention module,クロスアテンションモジュール
1542,cross-correlation,相互相関
1543,cross-entropy loss function,クロスエントロピー損失関数
1544,cross-entropy objective,クロスエントロピー目的
1545,cross-lingual benchmark,クロスリンガルベンチマーク
1546,cross-lingual embedding,クロスリンガル埋め込み
1547,cross-lingual feature,クロスリンガル特徴
1548,cross-lingual knowledge transfer,クロスリンガル知識転送
1549,cross-lingual model,クロスリンガルモデル
1550,cross-lingual representation,クロスリンガル表現
1551,cross-lingual transfer,クロスリンガルトランスファー
1552,cross-modal,クロスモーダル
1553,cross-validating,クロスバリデーション
1554,cumulant generating function,累積生成関数
1555,cumulative density function,累積密度関数
1556,cumulative distribution function,累積分布関数
1557,cumulative regret,累積後悔
1558,cumulative reward,累積報酬
1559,curriculum learning,カリキュラム学習
1560,curse of dimensionality,次元の呪い
1561,cutting plane,カッティングプレーン
1562,cutting plane algorithm,カッティングプレーンアルゴリズム
1563,cutting plane method,カッティングプレーン法
1564,cycle consistency,サイクル一貫性
1565,cycle consistency loss,サイクル一貫性損失
1566,cycle inequality,サイクル不等式
1567,d-separation,d-分離
1568,d_model,d_model
1569,data,データ
189,data augmentation,データ拡張
1570,data distribution,データ分布
1571,data imbalance,データの不均衡
1572,data manifold,データ多様体
1573,data mining,データマイニング
1574,data point,データポイント
1575,data processing inequality,データ処理不等式
1576,data sparseness,データの希薄性
1577,data sparsity,データの疎性
1578,data structure,データ構造
1579,data vector,データベクトル
1580,data-to-text generation,データからテキスト生成
1583,dataset augmentation,データセット拡張
1584,dataset bias,データセットバイアス
1585,dataset size,データセットサイズ
1586,datasets,データセット
1587,datasheet,データシート
1588,datum bias,データバイアス
1589,datum clustering,データクラスタリング
1590,datum contamination,データ汚染
1591,datum dependency,データ依存性
1592,datum fidelity,データ忠実度
1593,datum filtering,データフィルタリング
1594,datum generative process,データ生成プロセス
1595,datum matrix,データ行列
1596,datum mining algorithm,データマイニングアルゴリズム
1597,datum parallelism,データ並列性
1598,datum perturbation,データ摂動
1599,davinci,ダヴィンチ
1600,decay parameter,減衰パラメータ
1601,decentralized algorithm,分散型アルゴリズム
1602,decision boundary,決定境界
1603,decision function,決定関数
1604,decision node,決定ノード
1605,decision policy,意思決定ポリシー
1606,decision problem,決定問題
1607,decision rule,決定ルール
1608,decision space,決定空間
1609,decision stumps,決定スタンプ
1610,decision theory,意思決定理論
1611,decision tree,決定木
1612,decision variable,決定変数
196,decoder,デコーダー
1614,decoder hidden state,デコーダ隠れ状態
1615,decoder layer,デコーダ層
1616,decoder network,デコーダネットワーク
1617,decoder output,デコーダ出力
1618,decoder state,デコーダ状態
1619,decoder-only transformer,デコーダ専用トランスフォーマー
1620,decoding,デコーディング
1621,decoding algorithm,デコーディングアルゴリズム
1622,decoding problem,デコーディング問題
1623,decoding step,デコーディングステップ
1624,decoding strategy,デコーディング戦略
1625,decomposition,分解
1626,decomposition method,分解法
1627,deconvolution,デコンボリューション
1628,deconvolution layer,デコンボリューション層
1629,deconvolutional layer,デコンボリューショナル層
1630,deep Q-learning,深層Q学習
1631,deep Q-network,ディープQネットワーク
1632,deep architecture,ディープアーキテクチャ
199,deep belief network,深層信念ネットワーク
1633,deep convolutional network,深層畳み込みネットワーク
1634,deep convolutional neural network,深層畳み込みニューラルネットワーク
1635,deep feature,深層特徴
1636,deep generative model,深層生成モデル
1637,deep layer,深層
200,deep learning,深層学習
1638,deep learning architecture,深層学習アーキテクチャ
1639,deep learning framework,深層学習フレームワーク
1640,deep learning model,深層学習モデル
1641,deep learning system,深層学習システム
1642,deep model,深層モデル
1643,deep net,ディープネット
1644,deep network,深層ネットワーク
1645,deep network architecture,深層ネットワークアーキテクチャ
1646,deep neural model,深層ニューラルモデル
1647,deep neural net,深層ニューラルネット
1648,deep neural network,深層ニューラルネットワーク
1649,deep reinforcement learning,深層強化学習
1650,deep supervision,ディープスーパービジョン
1651,deeply-supervised net,ディープスーパーバイズネット
1652,default logic,デフォルト論理
1653,deformable template,変形テンプレート
1654,deformation field,変形場
1655,degree distribution,次数分布
1656,delayed reward,遅延報酬
1657,delexicalization,デレクシカリゼーション
1658,delta kernel,デルタカーネル
1659,dendrogram,デンドログラム
1660,denoiser,デノイザー
202,denoising autoencoder,デノイジングオートエンコーダ
1661,denoising diffusion probabilistic model,デノイジング拡散確率モデル
1662,denoising network,デノイジングネットワーク
1663,denoising objective,デノイジング目的
1664,denoising process,デノイジングプロセス
1665,denoising score matching,デノイジングスコアマッチング
1666,denoising score matching loss,ノイズ除去スコアマッチング損失
1667,denotation,デノテーション
1668,dense,密な
1669,dense attention,密なアテンション
1670,dense depth map,密な深度マップ
1671,dense feature,密な特徴
1672,dense layer,密な層
1673,dense matrix,密行列
1674,dense network,密なネットワーク
1675,dense prediction,密な予測
1676,dense representation,密な表現
1677,dense vector,デンスベクトル
1678,density estimate,密度推定
1679,density estimation,密度推定
1680,density estimator,密度推定器
1681,density field,密度場
1682,density function,密度関数
1683,density gradient,密度勾配
1684,density ratio,密度比
1685,dependencies,依存性
1686,dependency,依存関係
1687,dependency arc,依存関係アーク
1688,dependency feature,依存関係特徴
1689,dependency graph,依存グラフ
1690,dependency label,依存ラベル
1691,dependency model,依存モデル
1692,dependency parse,依存構文解析
1693,dependency parse tree,依存構文解析木
1694,dependency parser,依存構文解析器
1695,dependency parsing model,依存構文解析モデル
1696,dependency path,依存経路
1697,dependency relation,依存関係
1698,dependency representation,依存表現
1699,dependency structure,依存構造
1700,dependency tree,依存木
1701,dependency treebank,依存関係ツリーバンク
1702,dependent variable,従属変数
1703,depth estimation,深度推定
1704,depth estimator,深度推定器
1705,depth image,深度画像
1706,depth map,深度マップ
1707,depth prediction,深度予測
1708,depth-first search,深さ優先探索
1709,description logic,記述論理
1710,descriptor,ディスクリプタ
1711,design matrix,デザイン行列
1712,design space,設計空間
1713,det,行列式
1714,detection,検出
1715,detection algorithm,検出アルゴリズム
1716,detection model,検出モデル
1717,detection score,検出スコア
1718,detection window,検出ウィンドウ
1719,detector,検出器
1720,deterministic algorithm,決定論的アルゴリズム
1721,deterministic annealing,決定論的アニーリング
1722,deterministic automaton,決定論的オートマトン
1723,deterministic baseline,決定論的ベースライン
1724,deterministic finite automaton,決定論的有限オートマトン
1725,deterministic policy,決定論的ポリシー
1726,deterministic rule,決定論的ルール
1727,dev set,開発セット
1728,development set,開発セット
1729,diagonal matrix,対角行列
1730,dialog system,ダイアログシステム
1731,dialogue act,対話行為
1732,dialogue context,対話コンテキスト
1733,dialogue generation,対話生成
1734,dialogue history,対話履歴
1735,dialogue management,対話管理
1736,dialogue state,対話状態
1737,dialogue state tracker,ダイアログ状態トラッカー
1738,dialogue system,対話システム
1739,dialogue turn,対話ターン
1740,dictionary learning,辞書学習
1741,dictionary matrix,辞書行列
1742,diffeomorphism,微分同相
1743,differentiable function,微分可能関数
1744,differentiable renderer,微分可能レンダラー
1745,differentiable rendering,微分可能レンダリング
1746,differentiable rendering function,微分可能レンダリング関数
1747,differential entropy,微分エントロピー
1748,differential privacy,差分プライバシー
1749,diffusion matrix,拡散行列
1750,diffusion model,拡散モデル
1751,diffusion tensor,拡散テンソル
1752,digamma function,ディガンマ関数
1753,digit classification,数字分類
1754,dilated convolution,拡張畳み込み
1755,dilation,膨張
1756,dim,次元
1757,dimension,次元
1758,dimension reduction,次元削減
1759,dimensional vector,次元ベクトル
1760,dimensionality,次元数
1761,dimensionality reduction,次元削減
1762,directed acyclic graph,有向非巡回グラフ
1763,directed edge,有向辺
1764,directed graph,有向グラフ
1765,directed graphical model,有向グラフィカルモデル
1766,directed tree,有向木
1767,disambiguation,曖昧性解消
1768,discount factor,割引率
1769,discount parameter,割引パラメータ
1770,discounted cumulative reward,割引累積報酬
1771,discounted return,割引リターン
1772,discounted reward,割引報酬
1773,discounted state distribution,割引状態分布
1774,discrete distribution,離散分布
1775,discrete graphical model,離散グラフィカルモデル
1776,discrete random variable,離散確率変数
217,discretization,離散化
1777,discriminant analysis,判別分析
1778,discriminant function,判別関数
1779,discriminative,判別的
1780,discriminative approach,判別的アプローチ
1781,discriminative feature,判別的特徴
1782,discriminative method,識別的手法
1783,discriminative model,識別モデル
1784,discriminative training,識別訓練
218,discriminator,判別器
1785,discriminator network,識別器ネットワーク
1786,disentangle,解きほぐす
1787,disentangled representation,"""もつれの解けた表現"" (untangled expression)"
1788,disparity estimation,視差推定
1789,disparity map,視差マップ
1790,distance function,距離関数
1791,distance matrix,距離行列
1792,distance measure,距離測定
1793,distance metric,距離尺度
1794,distance transform,距離変換
1795,distant supervision,遠隔監視
1796,distillation,蒸留
1797,distributed information retrieval,分散情報検索
1798,distributed learning,分散学習
1799,distributed learning system,分散学習システム
1800,distributed representation,分散表現
1801,distribution shift,分布シフト
1802,distribution vector,分布ベクトル
1803,distributional,分布的
1804,distributional feature,分布的特徴
1805,distributional hypothesis,分布仮説
1806,distributional model,分布モデル
1807,distributional representation,分布表現
1808,distributional semantic,分布意味論
1809,distributional semantic model,分布意味論モデル
1810,distributional similarity,分布類似性
1811,distributional word representation,分布的単語表現
1812,distributionally robust optimization,分布的にロバストな最適化
1813,distributions,分布
1814,divergence operator,ダイバージェンス演算子
1815,diversity score,多様性スコア
1816,do-calculus,do-カルキュラス
1817,document,文書
1818,document classification,文書分類
1819,document clustering,文書クラスタリング
1820,document corpus,文書コーパス
1821,document retrieval,文書検索
1822,document summarization,文書要約
1823,document vector,文書ベクトル
1824,document-level,文書レベル
1825,document-topic assignment,文書-トピック割り当て
1826,documents,文章
1827,domain,ドメイン
220,domain adaptation,ドメイン適応
1828,domain element,ドメイン要素
1829,domain gap,ドメインギャップ
1830,domain generalization,ドメイン一般化
1831,domain knowledge,ドメイン知識
1832,domain mismatch,ドメインミスマッチ
1833,domain ontology,ドメインオントロジー
1834,domain shift,ドメインシフト
1835,domain transfer,ドメイン転送
1836,domain-specific,ドメイン固有
1837,domains,ドメイン
1838,dot product,ドット積
1839,dot-product attention,内積アテンション
1840,down-sampling,ダウンサンプリング
1841,down-sampling layer,ダウンサンプリング層
1842,downsampling block,ダウンサンプリングブロック
1843,downsampling factor,ダウンサンプリング係数
1844,downsampling layer,ダウンサンプリング層
1845,downstream,下流
1846,downstream dataset,ダウンストリームデータセット
1847,downstream model,ダウンストリームモデル
1848,downstream performance,下流性能
1849,downstream task,ダウンストリームタスク
221,dropout,ドロップアウト
1850,dropout layer,ドロップアウト層
1851,dropout probability,ドロップアウト確率
1852,dropout rate,ドロップアウト率
1853,dropout ratio,ドロップアウト率
1854,dual decomposition,二重分解
1855,dual encoder model,二重エンコーダーモデル
1856,dual norm,双対ノルム
1857,dual objective,双対目的
1858,dual optimization problem,双対最適化問題
1859,dual parameter,双対パラメータ
1860,dual problem,双対問題
1861,dual program,双対プログラム
1862,dual solution,双対解
1863,dual variable,双対変数
1864,duality gap,双対ギャップ
1865,dynamic Bayesian network,動的ベイジアンネットワーク
1866,dynamic model,動的モデル
223,dynamic programming,動的計画法
1867,dynamic programming algorithm,動的プログラミングアルゴリズム
1868,dynamic time warping,動的時間ワーピング
1869,dynamical model,動的モデル
1870,dynamical system,動的システム
1871,early fusion,早期融合
1872,early stopping,早期停止
1873,earth-mover distance,アースムーバー距離
1874,edge detection,エッジ検出
1875,edge feature,エッジ特徴
1876,edge label,エッジラベル
1877,edge prediction,エッジ予測
1878,edge set,エッジ集合
1879,edge weight,エッジ重み
1880,edit,編集
1881,edit distance,編集距離
1882,effective receptive field,有効受容野
1883,ego-motion,自己運動
1884,eigen-decomposition,固有分解
1885,eigenbasis,固有基底
1886,eigendecay,固有減衰
1887,eigenfunction,固有関数
1888,eigenspace,固有空間
1889,eigenspectrum,固有スペクトル
1890,eigenvalue,固有値
1891,eigenvalue decomposition,固有値分解
1892,eigenvector,固有ベクトル
1893,elastic net regularization,エラスティックネット正則化
1894,element-wise,要素ごと
1895,element-wise multiplication,要素ごとの乗算
1896,element-wise product,要素ごとの積
1897,elementary tree,基本木
1898,eligibility trace,適格性トレース
1899,embedded deformation graph,埋め込み変形グラフ
1900,embedding,埋込み
1901,embedding dimension,埋め込み次元
1902,embedding dimensionality,埋め込み次元数
1903,embedding feature,埋め込み特徴
1904,embedding layer,埋め込み層
1905,embedding matrix,埋め込み行列
1906,embedding model,埋め込みモデル
1907,embedding parameter,埋め込みパラメータ
1908,embedding size,埋め込みサイズ
1909,embedding space,埋め込み空間
1910,embedding vector,埋め込みベクトル
1911,embedding-based metric,埋め込みベースのメトリック
1912,embeddings,埋込み
1913,embodied agent,具現化されたエージェント
1914,emission probability,放出確率
1915,emotion classification,感情分類
1916,empirical Bayes,経験的ベイズ
1917,empirical distribution,経験的分布
1918,empirical estimate,経験的推定
1919,empirical estimator,経験的推定量
1920,empirical frequency,経験的頻度
1921,empirical loss,経験的損失
1922,empirical mean,経験的平均
1923,empirical measure,経験的測度
1924,empirical minimizer,経験的最小化器
1925,empirical process theory,経験的プロセス理論
1926,empirical risk,経験的リスク
1927,empirical risk minimization,経験的リスク最小化
1928,empirical risk minimizer,経験的リスク最小化器
1929,empirical variance,経験的分散
1930,emulator,エミュレーター
1931,encode,エンコード
227,encoder,エンコーダ
1933,encoder layer,エンコーダ層
1934,encoder model,エンコーダモデル
1935,encoder network,エンコーダネットワーク
1936,encoder states,エンコーダ状態
228,encoder-decoder,エンコーダ・デコーダ
1937,encoder-decoder architecture,エンコーダ・デコーダアーキテクチャ
1938,encoder-decoder framework,エンコーダ・デコーダフレームワーク
1939,encoder-decoder model,エンコーダ・デコーダモデル
1940,encoders,エンコーダ
1941,encoding,エンコーディング
1942,end-of-sequence token,シーケンス終了トークン
1943,end-to-end learning,エンドツーエンド学習
1944,end-to-end model,エンドツーエンドモデル
1945,end-to-end neural model,エンドツーエンドニューラルモデル
1946,end-to-end pipeline,エンドツーエンドパイプライン
1947,end-to-end system,エンドツーエンドシステム
1948,end-to-end training,エンドツーエンドトレーニング
1949,energy function,エネルギー関数
1950,energy minimization,エネルギー最小化
1951,energy minimization framework,エネルギー最小化フレームワーク
1952,energy minimization problem,エネルギー最小化問題
1953,ensemble classification,アンサンブル分類
1954,ensemble classifier,アンサンブル分類器
1955,ensemble learning,アンサンブル学習
1956,ensemble method,アンサンブル法
1957,ensemble model,アンサンブルモデル
1958,ensemble of classifier,分類器のアンサンブル
1959,ensemble size,アンサンブルサイズ
1960,entail,含意する
1961,entailment,含意
1962,entailment detection,含意検出
1963,entities,エンティティ
1964,entity,エンティティ
1965,entity coreference,エンティティ共参照
1966,entity description,エンティティ記述
1967,entity detection,エンティティ検出
1968,entity embedding,エンティティ埋め込み
1969,entity extraction,エンティティ抽出
1970,entity linker,エンティティリンカー
1971,entity mention,エンティティメンション
1972,entity recognition,エンティティ認識
1973,entity representation,エンティティ表現
1974,entity resolution,エンティティ解決
1975,entity set,エンティティセット
1976,entity type,エンティティタイプ
231,entropy,エントロピー
1977,entropy estimation,エントロピー推定
1978,entropy function,エントロピー関数
1979,entropy loss,エントロピー損失
1980,entropy regularization,エントロピー正則化
1981,enumeration algorithm,列挙アルゴリズム
1982,envy-freeness,嫉妬フリー性
1983,eos,エンド・オブ・シーケンス
1984,epipolar constraint,エピポーラ制約
1985,epipolar geometry,エピポーラ幾何学
1986,epipolar line,エピポーラ線
1987,epipole,エピポール
1988,episodic return,エピソディックリターン
1989,epistemic uncertainty,認識論的不確実性
1990,epoch,エポック
1991,equalized odd,等化されたオッズ
1992,equivalence class,同値類
1993,equivalence query,同値クエリ
1994,equivariance,同変性
1995,equivariant,等変
1996,error,誤差
1997,error analysis,誤差分析
1998,error bound,エラーバウンド
1999,error function,誤差関数
2000,error probability,誤差確率
2001,error rate,誤差率
2002,error tolerance,誤差許容
2003,estimation error,推定誤差
2004,estimator,推定量
2005,evaluation,評価
2006,evaluation function,評価関数
2007,evaluation metric,評価指標
2008,evaluation set,評価セット
2009,event,イベント
2010,event calculus,イベント計算
2011,event coreference,イベント共参照
2012,event detection,イベント検出
2013,event extraction,イベント抽出
2014,evidence lower bound,エビデンス下限
2015,evidence maximization,証拠最大化
2016,exact inference,厳密推論
2017,excess loss,超過損失
2018,exchangeability,交換可能性
2019,existential quantifier,存在量化子
2020,existing,既存の
245,expectation maximization,期待値最大化
246,expectation maximization algorithm,期待値最大化アルゴリズム
2021,expected loss,期待損失
2022,expected reward,期待報酬
2023,expected utility,期待効用
2024,experience replay,経験再生
2025,expert demonstration,エキスパートデモンストレーション
2026,explicit-state search,明示的状態探索
2027,exploding gradient,勾配爆発
2028,exploitability,利用可能性
2029,exploration rate,探索率
2030,exploratory data analysis,探索的データ分析
2031,exponential complexity,指数的複雑性
2032,exponential decay,指数関数的減衰
247,exponential distribution,指数分布
2033,exponential family,指数族
2034,exponential loss,指数損失
2035,exponential map,指数写像
2036,exponential moving average,指数移動平均
2037,exposure bias,エクスポージャーバイアス
2038,extensive-form game,拡張形ゲーム
2039,extracted,抽出された
2040,extracting,抽出
2041,extraction,抽出
2042,extractive,抽出
2043,extractive question answering,抽出型質問応答
2044,extractive summarization,抽出型要約
2045,extractor,抽出器
2046,f-divergence,f-ダイバージェンス
2047,face detection,顔検出
2048,face detector,顔検出器
2049,face recognition,顔認識
2050,facial landmark,顔のランドマーク
2051,facial recognition,顔認識
2052,fact verification,事実確認
2053,factor analysis,因子分析
2054,factor graph,ファクターグラフ
2055,factor matrix,因子行列
2056,factor of variation,変動因子
2057,factorization,因子分解
2058,factorization algorithm,因子分解アルゴリズム
2059,factorization method,因子分解法
2060,failure probability,失敗確率
2061,fairness criterion,公平性基準
2062,fairness loss,公平性損失
2063,fairness notion,公平性の概念
2064,faithfulness score,忠実度スコア
2065,false negative,偽陰性
2066,false negative rate,偽陰性率
2067,false positive rate,偽陽性率
2068,fanout,ファンアウト
2069,fc layer,全結合層
2070,feasible set,実現可能集合
2071,feature,特徴
2072,feature channel,特徴チャネル
2073,feature correspondence,特徴対応
2074,feature count,特徴量カウント
2075,feature descriptor,特徴記述子
2076,feature detection,特徴検出
2077,feature detector,特徴検出器
2078,feature dimension,特徴次元
2079,feature dimensionality,特徴次元数
2080,feature embedding,特徴埋め込み
2081,feature encoder,特徴エンコーダ
2082,feature engineering,特徴エンジニアリング
2083,feature extraction,特徴抽出
2084,feature extractor,特徴抽出器
2085,feature function,特徴関数
2086,feature hashing,特徴ハッシング
2087,feature hierarchy,特徴階層
2088,feature map,特徴マップ
2089,feature mapping function,特徴マッピング関数
2090,feature matching,特徴マッチング
2091,feature matrix,特徴行列
2092,feature model,特徴モデル
2093,feature normalization,特徴正規化
2094,feature point,特徴点
2095,feature pyramid,特徴ピラミッド
2096,feature representation,特徴表現
2097,feature representation learning,特徴表現学習
2098,feature selection,特徴選択
2099,feature selector,特徴選択器
2100,feature set,特徴セット
2101,feature space,特徴空間
2102,feature template,特徴テンプレート
2103,feature vector,特徴ベクトル
2104,feature weight,特徴重み
2105,features,機能
2106,featurization,特徴化
2107,featurized representation,特徴表現
2108,feed forward,フィードフォワード
2109,feed forward network,フィードフォワードネットワーク
2110,feed forward neural network,フィードフォワードニューラルネットワーク
2111,feed-forward layer,フィードフォワード層
2112,feedback loop,フィードバックループ
2113,few shot learning,少数ショット学習
2114,few-shot classification,フューショット分類
2115,few-shot example,フューショット例
2116,few-shot fine-tuning,少数ショットファインチューニング
2117,few-shot in-context learning,少数ショットインコンテキスト学習
2118,few-shot prompting,フューショットプロンプティング
2119,few-shot setting,少数ショット設定
2120,filter bank,フィルタバンク
2121,filter weight,フィルタ重み
2122,fine-grained sentiment classification,細粒度感情分類
2123,fine-tune,微調整
2124,fine-tuned model,微調整されたモデル
2125,finetuning,微調整
2126,finite horizon,有限ホライズン
2127,finite-state automata,有限状態オートマトン
2128,first order method,一次法
2129,first-order,一階
2130,first-order language,一階言語
2131,first-order logic,一階論理
2132,first-order model,一階モデル
2133,first-order parsing,一階構文解析
2134,fitness function,適応度関数
2135,five-fold cross-validation,5分割交差検証
2136,fixed point,固定点
2137,fixed-parameter tractable,固定パラメーターのトラクタブル
2138,fixed-point iteration,固定点反復
2139,fixpoint,不動点
2140,float16,フロート16
2141,float32,フロート32
2142,flow field,流れ場
2143,flow model,フローモデル
2144,forall,すべての
2145,forecasting,予測
2146,foreground segmentation,前景セグメンテーション
2147,forget gate,忘却ゲート
2148,forward algorithm,前向きアルゴリズム
2149,forward model,フォワードモデル
2150,forward pass,フォワードパス
2151,forward process,フォワードプロセス
2152,forward propagation,順伝播
2153,forward-backward algorithm,フォワード・バックワード・アルゴリズム
2154,foundation model,基盤モデル
2155,fp,フレーム毎秒
2156,fp16,fp16
2157,fp32,fp32
2158,fractional program,フラクショナルプログラム
2159,frame,フレーム
2160,free variable,自由変数
2161,frequency penalty,頻度ペナルティ
2162,frequency vector,頻度ベクトル
2163,frequent closed itemset,頻出閉アイテムセット
2164,frequent item set,頻出アイテム集合
2165,frequent pattern,頻出パターン
2166,frequent pattern mining,頻出パターンマイニング
2167,fully connected graph,完全連結グラフ
2168,fully connected layer,全結合層
2169,fully connected network,全結合ネットワーク
2170,fully connected neural network,全結合ニューラルネットワーク
2171,fully convolutional network,完全畳み込みネットワーク
2172,fully convolutional neural network,完全畳み込みニューラルネットワーク
2173,fully-supervised model,完全教師ありモデル
2174,function approximation,関数近似
2175,function approximator,関数近似器
2176,function class,関数クラス
2177,function space,関数空間
2178,functionality assertion,機能性アサーション
2179,fundamental matrix,基本行列
2180,fusion module,融合モジュール
2181,fuzzy matching,ファジーマッチング
2182,g-value,g値
2183,game tree,ゲームツリー
2184,game-theoretic analysis,ゲーム理論的分析
280,gamma distribution,ガンマ分布
2185,gate,ゲート
2186,gating function,ゲーティング関数
2187,generalisation,一般化
2188,generalization,一般化
2189,generalization ability,一般化能力
2190,generalization bound,一般化境界
2191,generalization error,一般化誤差
2192,generalization gap,一般化ギャップ
2193,generalization guarantee,一般化保証
2194,generalization performance,一般化性能
2195,generalize,一般化する
2196,generalized eigenvector,一般化固有ベクトル
2197,generalized linear mixed model,一般化線形混合モデル
2198,generalized linear model,一般化線形モデル
2199,generated,生成された
2200,generating,生成
2201,generation,生成
2202,generation model,生成モデル
2203,generative,生成的
2204,generative adversarial network,敵対的生成ネットワーク
310,generative adversarial networks,敵対的生成ネットワーク
2205,generative approach,生成的アプローチ
311,generative model,生成モデル
2206,generative network,生成ネットワーク
2207,generative parser,生成的パーサー
2208,generative pre-training,生成的事前学習
2209,generative probabilistic model,生成的確率モデル
2210,generative process,生成過程
312,generator,ジェネレーター
2211,generator architecture,ジェネレータ・アーキテクチャ
2212,generator network,生成器ネットワーク
313,genetic algorithm,遺伝的アルゴリズム
2213,geodesic,測地線
2214,geodesic distance,測地距離
2215,geometric consistency,幾何的一貫性
2216,geometric distribution,幾何分布
2217,geometric invariant,幾何学的不変量
2218,geometric transformation,幾何変換
2219,geometry processing,幾何処理
2220,gibb distribution,ギブス分布
2221,gist descriptor,ジスト記述子
2222,global average pooling,グローバル平均プーリング
2223,global average pooling layer,グローバル平均プーリング層
2224,global coordinate frame,グローバル座標系
2225,global illumination,グローバルイルミネーション
2226,global minima,グローバル最小値
2227,global minimum,グローバル最小値
2228,global model,グローバルモデル
