,word,validated_translation
918,complete-data,完全数据
919,complex cell,复杂细胞
920,complex data,复合数据
921,component learner,组件学习器
922,composition function,组合函数
923,compositional generalization,组合泛化
924,compositional semantic,组合语义
925,compositionality,组合性
927,comprehensibility,可解释性
929,compressive sensing,压缩感知
930,computation,计算
931,computation complexity,计算复杂度
932,computation cost,计算代价
933,computation graph,计算图
934,computational,计算的
935,computational argumentation,计算论证
936,computational budget,计算预算
937,computational complexity,计算复杂度
938,computational cost,计算成本
939,computational experiment,计算实验
940,computational graph,计算图
941,computational learning theory,计算学习理论
943,computational linguistics,计算语言学
944,computational model,计算模型
945,computational optimisation,计算优化
946,computational science,计算科学
947,computational toxicology,计算毒理学
948,compute budget,计算预算
949,computer science,计算机科学
950,computer simulations,计算机模拟
951,computer vision,计算机视觉
952,computer vision model,计算机视觉模型
953,computer-aided,计算机辅助
954,concatenate,连结
955,concatenation,连接
956,concatenation operation,连接操作
957,concentration inequality,集中不等式
958,concentration parameter,集中参数
959,concept,概念
960,concept assertion,概念断言
961,concept atom,概念原子
962,concept class,概念类
963,concept drift,概念漂移
964,concept inclusion,概念包含
965,concept learning system,概念学习系统
966,concept name,概念名称
967,concept shift,概念偏移
969,condition number,条件数
970,conditional computation,条件计算
971,conditional density,条件密度
972,conditional distribution,条件分布
973,conditional effect,条件效应
974,conditional entropy,条件熵
975,conditional expectation,条件期望
977,conditional gradient,条件梯度
978,conditional independence,条件独立
979,conditional independency,条件独立性
980,conditional language model,条件语言模型
981,conditional likelihood,条件似然
982,conditional log likelihood,条件对数似然
983,conditional log probability,条件对数概率
984,conditional maximum entropy,条件最大熵
985,conditional model,条件模型
986,conditional mutual information,条件互信息
987,conditional probability,条件概率
988,conditional probability density function,条件概率密度函数
989,conditional probability distribution,条件概率分布
990,conditional probability table,条件概率表
991,conditional random field,条件随机场
992,conditional risk,条件风险
993,conditional sampling,条件采样
994,conditional text generation,条件文本生成
995,conditionally independent,条件独立的
996,conditioning,条件化
997,conditioning vector,条件向量
999,conference on neural information processing systems,国际神经信息处理系统会议
1000,confidence,置信度
1001,confidence bound,置信界限
1002,confidence interval,置信区间
1003,confidence map,置信度图
1004,confidence score,置信度分数
1005,confidence threshold,置信度阈值
1006,configuration,配置
1007,conflict resolution,冲突消解
1008,confusion matrix,混淆矩阵
1009,confusion network,混淆网络
1010,conjugate,共轭
1011,conjugate directions,共轭方向
1012,conjugate distribution,共轭分布
1013,conjugate gradient,共轭梯度
1014,conjugate gradient descent,共轭梯度下降
1015,conjugate gradient method,共轭梯度法
1016,conjugate prior,共轭先验
1017,conjunct,连接词
1018,conjunctive normal form,合取范式
1019,conjunctive query,合取查询
1021,connected component,连通分量
1022,connection weight,连接权
1023,connectionism,连接主义
1024,connectionist model,连接主义模型
1025,connectivity matrix,连接矩阵
1026,consensus network decoding,共识网络解码
1027,consequent,结果
1028,consistency,一致性
1029,consistency convergence,一致性收敛
1030,consistent estimator,一致估计量
1031,constellation model,星座模型
1032,constituency parser,成分句法分析器
1033,constituency parsing,短语结构分析
1034,constituency tree,成分树
1035,constituent parsing,短语结构分析
1036,constituent structure,成分结构
1037,constrained beam search,约束束搜索
1038,constrained decoding,约束解码
1039,constrained optimization,约束优化
1040,constrained optimization problem,约束优化问题
1041,constraint,约束
1042,constraint generation,约束生成
1043,constraint programming,约束编程
1044,constraint propagation,约束传播
1045,constraint satisfaction,约束满足
1046,constraint satisfaction problem,约束满足问题
1047,constraint set,约束集合
1048,content model,内容模型
1049,content selection,内容选择
1050,content-addressable memory,基于内容寻址的存储
1051,context,上下文
1052,context encoder,上下文编码器
1053,context free grammar,上下文无关文法
1054,context model,上下文模型
1055,context variable,上下文变量
1056,context vector,上下文向量
1057,context window,上下文窗口
1058,context word,上下文词
1059,context-free language,上下文无关语言
1060,context-specific independences,特定上下文独立
1061,contexts,上下文
1062,contextual bandit,上下文赌博机
1063,contextual embedding,上下文嵌入
1064,contextual feature,上下文特征
1065,contextual information,上下文信息
1066,contextual model,上下文模型
1067,contextual representation,上下文表示
1068,contextual vector,上下文向量
1069,contextual word embedding,上下文词嵌入
1070,contextualized,上下文化的
1071,contextualized embedding,上下文化嵌入
1072,contextualized representation,基于上下文的表示
1073,contextualized word vector,上下文化词向量
1074,contingency table,列联表
1075,continual learning,持续学习
1076,continuation method,延拓法
1077,continuing task,持续式任务
1078,continuous attribute,连续属性
1079,continuous bag-of-words model,连续词袋模型
1080,continuous learning,持续学习
1081,continuous normalizing flow,连续归一化流
1082,continuous optimization,连续优化
1083,contractive,收缩
1084,contractive autoencoder,收缩自编码器
1085,contractive neural network,收缩神经网络
1086,contrastive approach,对比方法
1087,contrastive divergence,对比散度
1088,contrastive fine-tuning,对比微调
1090,contrastive loss,对比损失
1091,contrastive objective,对比目标
1092,control variate,控制变量
1093,controllable text generation,可控文本生成
1094,controller,控制器
1095,conv layer,卷积层
1096,convergence,收敛
1097,convergence analysis,收敛性分析
1098,convergence bound,收敛界
1099,convergence criterion,收敛准则
1100,convergence rate,收敛速率
1101,convergence time,收敛时间
1102,conversation history,对话历史
1103,conversational,对话式的
1104,conversational agent,会话智能体
1105,conversational dialogue system,对话系统
1106,convex,凸的
1107,convex combination,凸组合
1108,convex conjugate,凸共轭
1109,convex constraint,凸约束
1110,convex decomposition,凸分解
1111,convex function,凸函数
1112,convex hull,凸包
1113,convex loss,凸损失
1114,convex objective,凸目标
1115,convex objective function,凸目标函数
1116,convex optimization,凸优化
1117,convex optimization problem,凸优化问题
1118,convex problem,凸问题
1119,convex program,凸优化问题
1120,convex proxy,凸代理
1121,convex quadratic program,凸二次规划
1122,convex quadratic programming,凸二次规划
1123,convex relaxation,凸松弛
1124,convex risk minimization,凸风险最小化
1125,convex set,凸集
1126,convex surrogate,凸替代
1127,convex-concave,凸凹
1128,convexity,凸性
1129,convolution,卷积
1130,convolution kernel,卷积核
1131,convolution layer,卷积层
1132,convolution neural network,卷积神经网络
1133,convolution operation,卷积操作
1134,convolution operator,卷积算子
1135,convolutional,卷积的
1138,convolutional Boltzmann machine,卷积玻尔兹曼机
1136,convolutional architecture,卷积架构
1137,convolutional block,卷积块
1139,convolutional decoder,卷积解码器
1140,convolutional deep belief network,卷积深度信念网络
1141,convolutional encoder,卷积编码器
1142,convolutional feature,卷积特征
1143,convolutional filter,卷积滤波器
1144,convolutional kernel,卷积核
1145,convolutional layer,卷积层
1146,convolutional network,卷积网络
1147,convolutional neural net,卷积神经网络
1148,convolutional neural network,卷积神经网络
1149,convolutional representation,卷积表示
1150,cooling schedule,冷却计划
1151,coordinate,坐标
1152,coordinate ascent,坐标上升
1153,coordinate descent,坐标下降
1154,coordinate descent algorithm,坐标下降算法
1155,coordinate frame,坐标框架
1156,coparent,共父
1157,copy mechanism,复制机制
1158,core tensor,核张量
1159,core-loss spectrum,高能区域
1160,coreference,共指
1161,coreference annotation,共指标注
1162,coreference chain,共指链
1164,coreference resolution model,共指解析模型
1165,coreference resolution system,共指解析系统
1166,coreferent,共指实体
1168,corpora,语料库
1170,corpus,语料库
1172,correlated equilibria,相关均衡
1173,correlated equilibrium,相关均衡
1174,correlation,相关系数
1175,correlation coefficient,相关系数
1176,correlations,相关性
1177,correspondence matrix,对应矩阵
1178,corresponding,对应的
1179,cosine,余弦
1180,cosine decay,余弦衰减
1181,cosine decay schedule,余弦衰减计划
1183,cosine learning rate schedule,余弦学习率计划
1184,cosine measure,余弦度量
1185,cosine schedule,余弦调度
1186,cosine similarity,余弦相似度
1187,cosine similarity measure,余弦相似度度量
1188,cost,代价
1189,cost curve,代价曲线
1190,cost function,代价函数
1191,cost matrix,代价矩阵
1192,cost vector,代价向量
1193,cost volume,代价体积
1194,cost-sensitive,代价敏感
1195,cost-sensitive learning,成本敏感学习
1197,counterexample,反例
1198,counterfactual,反事实
1199,counterfactual datum,反事实数据
1200,counterfactual example,反事实示例
1201,counterfactual fairness,反事实公平性
1202,counterfactual reasoning,反事实推理
1205,covariance,协方差
1212,covariance RBM,协方差RBM
1206,covariance function,协方差函数
1207,covariance kernel,协方差核
1208,covariance matrix,协方差矩阵
1209,covariance model,协方差模型
1210,covariance operator,协方差算子
1211,covariance parameter,协方差参数
1213,covariance structure,协方差结构
1214,covariant derivative,协变导数
1215,covariate,协变量
1216,covariate shift,协变量偏移
1217,coverage,覆盖
1218,credit assignment,信用分配
1219,credit assignment problem,贡献度分配问题
1221,criterion,准则
1222,critic,评论员
1223,critic loss,评论家损失
1224,critic network,评价网络
1225,critical point,临界点
1226,critical temperatures,临界温度
1227,cross attention,交叉注意力
1228,cross correlation,互相关
1229,cross entropy,交叉熵
1230,cross entropy error,交叉熵误差
1232,cross validation,交叉验证
1233,cross-attention layer,交叉注意力层
1234,cross-attention module,交叉注意力模块
1235,cross-correlation,互相关
1236,cross-entropy loss function,交叉熵损失函数
1237,cross-entropy objective,交叉熵目标
1238,cross-lingual benchmark,跨语言基准
1239,cross-lingual embedding,跨语言嵌入
1240,cross-lingual feature,跨语言特征
1241,cross-lingual knowledge transfer,跨语言知识迁移
1242,cross-lingual model,跨语言模型
1243,cross-lingual representation,跨语言表示
1244,cross-lingual transfer,跨语言迁移
1245,cross-modal,跨模态
1246,cross-validated coefficient of determination,交叉验证的决定系数
1247,cross-validating,交叉验证
1248,cross-validation,交叉验证
1249,crowd-sourcing,众包
1250,crowdsourcing,众包
1251,cumulant generating function,累积量生成函数
1252,cumulative density function,累积分布函数
1253,cumulative distribution function,累积分布函数
1254,cumulative function,累积函数
1255,cumulative regret,累积遗憾
1256,cumulative reward,累积奖励
1257,curriculum learning,课程学习
1258,curse of dimensionality,维数灾难
1259,curvature,曲率
1260,curve-fitting,曲线拟合
1261,cut point,截断点
1262,cut-points,切点
1263,cutoff radial function,截断径向函数
1264,cutting plane,割平面
1265,cutting plane algorithm,割平面法
1266,cutting plane method,割平面法
1267,cybernetics,控制论
1268,cycle consistency,循环一致性
1269,cycle consistency loss,循环一致性损失
1270,cycle inequality,循环不等式
1271,cyclic learning rate,循环学习率
1272,d-separation,d-分离
1273,d_model,d_model
1274,damping,衰减
1275,damping factor,阻尼因子
1276,data,数据
1277,data augmentation,数据增强
1278,data availability,数据可用性
1279,data cleaning,数据清洗
1280,data collection,数据采集
1281,data considerations,数据注意事项
1282,data curation,数据监管
1283,data disparity,数据差异
1284,data distribution,数据分布
1285,data dredging,数据挖掘
1286,data generating distribution,数据生成分布
1287,data generating process,数据生成过程
1288,data imbalance,数据不平衡
1289,data imputation,数据填补
1290,data instance,数据样本
1291,data labels,数据标签
1292,data leakage,数据泄露
1293,data manifold,数据流形
1294,data mining,数据挖掘
1295,data parallelism,数据并行
1296,data point,数据点
1297,data pre-processing,数据预处理
1298,data preprocessing,数据预处理
1299,data processing,数据处理
1300,data processing inequality,数据处理不等式
1301,data quality,数据质量
1302,data reduction,数据缩减
1303,data representation,数据表示
1304,data selection,数据选择
1305,data set,数据集
1306,data sources,数据源
1307,data sparseness,数据稀疏性
1308,data sparsity,数据稀疏性
1309,data splitting,数据拆分
1310,data structure,数据结构
1311,data transformation,数据转换
1312,data vector,数据向量
1313,data wrangling,数据整理
1314,data-driven,数据驱动
1315,data-driven decision-making,数据驱动的决策
1316,data-driven methods,数据驱动的方法
1317,data-driven spectral analysis,数据驱动的光谱分析
1318,data-mining,数据挖掘
1319,data-to-text generation,数据到文本生成
1320,database,数据库
1323,dataset,数据集
1325,dataset augmentation,数据集增强
1326,dataset bias,数据集偏差
1327,dataset size,数据集大小
1328,datasets,数据集
1329,datasheet,数据表
1330,datum bias,数据偏差
1331,datum clustering,数据聚类
1332,datum contamination,数据污染
1333,datum dependency,数据依赖性
1334,datum fidelity,数据保真度
1335,datum filtering,数据过滤
1336,datum generative process,数据生成过程
1337,datum matrix,数据矩阵
1338,datum mining algorithm,数据挖掘算法
1339,datum parallelism,数据并行性
1340,datum perturbation,数据扰动
1342,davinci,达芬奇
1344,debugging strategy,调试策略
1345,decay parameter,衰减参数
1346,decentralized algorithm,去中心化算法
1348,decision boundary,决策边界
1349,decision function,决策函数
1350,decision node,决策节点
1351,decision policy,决策策略
1352,decision problem,决策问题
1353,decision rule,决策规则
1354,decision space,决策空间
1355,decision stump,决策树桩
1356,decision stumps,决策树桩
1357,decision surface,决策平面
1358,decision theory,决策理论
1360,decision tree,决策树
1361,decision variable,决策变量
1363,decoder,解码器
1364,decoder hidden state,解码器隐藏状态
1365,decoder layer,解码器层
1366,decoder network,解码器网络
1367,decoder output,解码器输出
1368,decoder state,解码器状态
1369,decoder-only transformer,仅解码器变换器
1370,decoding,解码
1371,decoding algorithm,解码算法
1372,decoding problem,解码问题
1373,decoding step,解码步骤
1374,decoding strategy,解码策略
1377,decompose,分解
1378,decomposition,分解
1379,decomposition method,分解方法
1380,deconvolution,反卷积
1381,deconvolution layer,反卷积层
1382,deconvolutional layer,反卷积层
1383,deconvolutional network,反卷积网络
1384,deduction,演绎
1387,deep Boltzmann machine,深度玻尔兹曼机
1408,deep Q-learning,深度 Q 学习
1409,deep Q-network,深度Q网络
1385,deep architecture,深度架构
1386,deep belief network,深度信念网络
1388,deep circuit,深度回路
1389,deep convolutional generative adversarial network,深度卷积生成对抗网络
1390,deep convolutional network,深度卷积网络
1391,deep convolutional neural network,深度卷积神经网络
1392,deep feature,深度特征
1393,deep feedforward network,深度前馈网络
1394,deep generative model,深度生成模型
1395,deep layer,深层
1396,deep learning,深度学习
1397,deep learning architecture,深度学习架构
1398,deep learning framework,深度学习框架
1399,deep learning model,深度学习模型
1400,deep learning system,深度学习系统
1401,deep model,深度模型
1402,deep net,深度网络
1403,deep network,深度网络
1404,deep network architecture,深度网络架构
1405,deep neural model,深度神经模型
1406,deep neural net,深度神经网络
1407,deep neural network,深度神经网络
1410,deep reinforcement learning,深度强化学习
1411,deep sequence model,深度序列模型
1412,deep supervision,深度监督
1413,deeplift,DeepLift模型
1414,deeply-supervised net,深度监督网络
1415,default logic,默认逻辑
1416,default rule,默认规则
1417,definite integral,定积分
1418,deformable template,可变形模板
1419,deformation field,变形场
1420,degree distribution,度分布
1421,degree of belief,信任度
1422,delayed reward,延迟奖励
1423,delexicalization,去词汇化
1424,delta kernel,δ核
1427,dendrogram,树状图
1428,denoiser,去噪器
1429,denoising,去噪
1430,denoising autoencoder,去噪自编码器
1431,denoising diffusion probabilistic model,去噪扩散概率模型
1432,denoising network,去噪网络
1433,denoising objective,去噪目标
1434,denoising process,去噪过程
1435,denoising score matching,去躁分数匹配
1436,denoising score matching loss,去噪分数匹配损失
1437,denominator layout,分母布局
1438,denotation,指称
1439,dense,稠密
1440,dense attention,密集注意力
1441,dense depth map,密集深度图
1442,dense feature,密集特征
1443,dense layer,全连接层
1444,dense matrix,密集矩阵
1445,dense network,密集网络
1446,dense prediction,密集预测
1447,dense representation,密集表示
1448,dense vector,密集向量
1449,density estimate,密度估计
1450,density estimation,密度估计
1451,density estimator,密度估计器
1452,density field,密度场
1453,density function,密度函数
1454,density functional theory,密度泛函理论
1455,density gradient,密度梯度
1456,density ratio,密度比
1457,density-based clustering,密度聚类
1458,density-based spatial clustering of applications with noise,DBSCAN密度聚类
1459,dependencies,依赖关系
1460,dependency,依赖
1461,dependency arc,依赖弧
1462,dependency feature,依赖特征
1463,dependency graph,依赖图
1464,dependency label,依赖标签
1465,dependency model,依赖模型
1466,dependency parse,依存分析
1467,dependency parse tree,依存分析树
1468,dependency parser,依存句法分析器
1469,dependency parsing model,依存句法分析模型
1470,dependency path,依存路径
1471,dependency relation,依存关系
1472,dependency representation,依存表示
1473,dependency structure,依赖结构
1474,dependency tree,依赖树
1475,dependency treebank,依赖树库
1476,dependent variable,因变量
1477,depth,深度
1478,depth estimation,深度估计
1479,depth estimator,深度估计器
1480,depth image,深度图像
1481,depth map,深度图
1482,depth prediction,深度预测
1483,depth-first search,深度优先搜索
1484,derivative,导数
1485,description,描述
1486,description logic,描述逻辑
1487,descriptor,描述符
1488,design matrix,设计矩阵
1489,design space,设计空间
1490,det,行列式
1491,detailed balance,细致平衡
1492,detailed balance equation,细致平衡方程
1494,detection,检测
1495,detection algorithm,检测算法
1496,detection model,检测模型
1497,detection score,检测得分
1498,detection window,检测窗口
1499,detector,检测器
1500,detector stage,探测级
1502,determinant,行列式
1504,deterministic,确定性
1505,deterministic algorithm,确定性算法
1506,deterministic annealing,确定性退火
1507,deterministic automaton,确定性自动机
1508,deterministic baseline,确定性基准
1509,deterministic finite automaton,确定性有限自动机
1510,deterministic model,确定性模型
1511,deterministic policy,确定性策略
1512,deterministic rule,确定性规则
1513,dev set,开发集
1514,development set,开发集
1516,diagonal matrix,对角矩阵
1517,dialog system,对话系统
1519,dialogue act,对话行为
1520,dialogue context,对话上下文
1521,dialogue generation,对话生成
1522,dialogue history,对话历史
1523,dialogue management,对话管理
1524,dialogue state,对话状态
1525,dialogue state tracker,对话状态跟踪器
1527,dialogue system,对话系统
1528,dialogue turn,对话轮次
1529,diameter,直径
1533,dictionary,字典
1534,dictionary learning,字典学习
1535,dictionary matrix,字典矩阵
1536,diffeomorphism,微分同胚
1537,differentiable function,可微函数
1538,differentiable neural computer,可微分神经计算机
1539,differentiable renderer,可微渲染器
1540,differentiable rendering,可微渲染
1541,differentiable rendering function,可微渲染函数
1542,differential entropy,微分熵
1543,differential equation,微分方程
1544,differential evolution,差分进化
1545,differential privacy,差分隐私
1546,differentiation,微分
1547,diffusion matrix,扩散矩阵
1548,diffusion model,扩散模型
1549,diffusion tensor,扩散张量
1550,digamma function,伽玛函数的对数导数
1551,digit classification,数字分类
1553,dilated convolution,膨胀卷积
1554,dilation,膨胀
1555,dim,维数
1556,dimension,维度
1557,dimension reduction,降维
1558,dimensional vector,维向量
1559,dimensionality,维度
1560,dimensionality reduction,降维
1561,dimensionality reduction algorithm,降维算法
1565,direct neural network modeling,正向神经网络建模
1566,directed,有向
1567,directed acyclic graph,有向非循环图
1568,directed edge,有向边
1569,directed graph,有向图
1570,directed graphical model,有向图模型
1571,directed model,有向模型
1572,directed separation,有向分离
1573,directed tree,有向树
1574,directional derivative,方向导数
1579,disagreement measure,不合度量
1580,disagreement-based methods,基于分歧的方法
1581,disambiguation,消歧义
1582,discount factor,衰减系数
1583,discount parameter,折扣参数
1584,discounted cumulative reward,折扣累积奖励
1585,discounted return,折扣回报
1586,discounted reward,折扣奖励
1587,discounted state distribution,折扣状态分布
1588,discrete distribution,离散分布
1589,discrete graphical model,离散图模型
1590,discrete manner,离散方式
1591,discrete optimization,离散优化
1592,discrete quanta,离散量子
1593,discrete random variable,离散随机变量
1594,discretization,离散化
1595,discriminant analysis,判别分析
1596,discriminant function,判别函数
1597,discriminative,判别性
1602,discriminative RBM,判别RBM
1598,discriminative approach,判别方法
1599,discriminative feature,判别特征
1600,discriminative method,判别方法
1601,discriminative model,判别式模型
1603,discriminative training,判别训练
1604,discriminator,判别器
1605,discriminator network,判别网络
1606,disentangle,解耦
1607,disentangled representation,解耦表示
1609,disparity estimation,差异估计
1610,disparity map,差异图
1611,distance,距离
1612,distance function,距离函数
1613,distance matrix,距离矩阵
1614,distance measure,距离度量
1615,distance metric,距离度量
1616,distance metric learning,距离度量学习
1617,distance transform,距离变换
1618,distant supervision,远程监督
1619,distillation,蒸馏
1620,distributed information retrieval,分布式信息检索
1621,distributed learning,分布式学习
1622,distributed learning system,分布式学习系统
1623,distributed representation,分布式表示
1624,distribution,分布
1625,distribution shift,分布偏移
1626,distribution vector,分布向量
1627,distributional,分布式的
1628,distributional feature,分布式特征
1629,distributional hypothesis,分布假设
1630,distributional model,分布式模型
1631,distributional representation,分布式表示
1632,distributional semantic,分布式语义
1633,distributional semantic model,分布式语义模型
1634,distributional similarity,分布相似性
1635,distributional word representation,分布式词表示
1636,distributionally robust optimization,分布鲁棒优化
1637,distributions,分布
1638,diverge,发散
1639,divergence,散度
1640,divergence operator,发散算子
1641,diversity,多样性
1642,diversity measure,多样性度量
1643,diversity score,多样性得分
1644,divide-and-conquer,分而治之
1645,divisive,分裂
1646,do-calculus,干预演算
1647,document,文档
1648,document classification,文档分类
1649,document clustering,文档聚类
1650,document corpus,文档语料库
1651,document retrieval,文档检索
1652,document summarization,文档摘要
1653,document vector,文档向量
1654,document-level,文档级
1655,document-topic assignment,文档主题分配
1656,documents,文档
1657,domain,领域
1658,domain adaptation,领域自适应
1659,domain element,域元素
1660,domain gap,领域差距
1661,domain generalization,领域泛化
1662,domain knowledge,领域知识
1663,domain mismatch,领域不匹配
1664,domain ontology,领域本体
1665,domain shift,领域偏移
1666,domain transfer,领域迁移
1667,domain-specific,领域特定的
1668,domains,领域
1669,dominant eigenvalue,主特征值
1670,dominant eigenvector,主特征向量
1671,dominant strategy,占优策略
1672,dot product,点积
1673,dot-product attention,点积注意力
1674,double backprop,双反向传播
1675,doubly block circulant matrix,双重分块循环矩阵
1676,down sampling,下采样
1677,down-sampling,下采样
1678,down-sampling layer,下采样层
1679,downsampling block,下采样块
1680,downsampling factor,下采样因子
1681,downsampling layer,下采样层
1682,downstream,下游
1683,downstream dataset,下游数据集
1684,downstream model,下游模型
1685,downstream performance,下游性能
1686,downstream task,下游任务
1687,dropout,暂退法
1688,dropout boosting,暂退Boosting
1690,dropout layer,Dropout层
1691,dropout mask,暂退掩码
1692,dropout method,暂退法
1693,dropout probability,丢弃概率
1694,dropout rate,丢弃率
1695,dropout ratio,丢弃比率
1696,dual algorithm,对偶算法
1697,dual decomposition,对偶分解
1698,dual encoder model,双编码器模型
1699,dual norm,对偶范数
1700,dual objective,对偶目标
1701,dual optimization problem,对偶优化问题
1702,dual parameter,对偶参数
1703,dual problem,对偶问题
1704,dual program,对偶程序
1705,dual solution,对偶解
1706,dual variable,对偶变量
1707,duality gap,对偶间隙
1708,dummy node,哑结点
1709,dying ReLU problem,死亡ReLU问题
1710,dynamic Bayesian network,动态贝叶斯网络
1711,dynamic computational graph,动态计算图
1712,dynamic datasets,动态数据集
1713,dynamic filter networks,动态过滤网络
1714,dynamic fusion,动态融合
1715,dynamic model,动态模型
1716,dynamic programming,动态规划
1717,dynamic programming algorithm,动态规划算法
1718,dynamic sampling,动态采样
1719,dynamic structure,动态结构
1720,dynamic time warping,动态时间规整
1721,dynamical model,动力学模型
1722,dynamical system,动力系统
1723,dynamics simulations,动力学模拟
1725,eager learning,急切学习
1726,early fusion,早期融合
1727,early stopping,早停
1728,earth-mover distance,地球搬运工距离
1730,echo state network,回声状态网络
1732,edge detection,边缘检测
1733,edge device,边缘设备
1734,edge feature,边缘特征
1735,edge label,边标签
1736,edge prediction,边预测
1737,edge set,边集
1738,edge weight,边权重
1739,edit,编辑
1740,edit distance,编辑距离
1741,effective capacity,有效容量
1742,effective receptive field,有效感受野
1743,ego-motion,自我运动
1744,eigen-decomposition,特征分解
1745,eigenbasis,特征基
1746,eigendecay,特征衰减
1747,eigendecomposition,特征分解
1748,eigenfunction,特征函数
1749,eigenspace,特征空间
1750,eigenspectrum,特征谱
1751,eigenvalue,特征值
1752,eigenvalue decomposition,特征值分解
1753,eigenvector,特征向量
1755,elastic net regularization,弹性网络正则化
1756,elastic weight consolidation,弹性权重巩固
1758,electronegativity,电负性
1759,element-wise,元素级
1760,element-wise multiplication,元素级乘法
1761,element-wise product,逐元素积
1762,elementary basis vectors,基本单位向量
1763,elementary tree,基本树
1764,eligibility trace,资格迹
1765,ellipsoid method,椭球法
1767,embedded deformation graph,嵌入式变形图
1768,embedding,嵌入
1769,embedding dimension,嵌入维度
1770,embedding dimensionality,嵌入维数
1771,embedding feature,嵌入特征
1772,embedding layer,嵌入层
1773,embedding lookup table,嵌入表
1774,embedding matrix,嵌入矩阵
1775,embedding model,嵌入模型
1776,embedding parameter,嵌入参数
1777,embedding size,嵌入维度
1778,embedding space,嵌入空间
1779,embedding vector,嵌入向量
1780,embedding-based metric,基于嵌入的度量
1781,embeddings,嵌入
1782,embodied agent,具身智能体
1783,emission probability,发射概率
1784,emotion classification,情感分类
1785,emotional analysis,情绪分析
1786,empirical Bayes,经验贝叶斯
1787,empirical conditional entropy,经验条件熵
1788,empirical distribution,经验分布
1789,empirical entropy,经验熵
1790,empirical error,经验误差
1791,empirical estimate,经验估计
1792,empirical estimator,经验估计量
1793,empirical frequency,经验频率
1794,empirical loss,经验损失
1795,empirical mean,经验均值
1796,empirical measure,经验测度
1797,empirical minimizer,经验最小化器
1798,empirical models,经验模型
1799,empirical process theory,经验过程理论
1800,empirical risk,经验风险
1801,empirical risk minimization,经验风险最小化
1802,empirical risk minimizer,经验风险最小化器
1803,empirical variance,经验方差
1804,emulator,模拟器
1805,encode,编码
1806,encoder,编码器
1808,encoder layer,编码器层
1809,encoder model,编码器模型
1810,encoder network,编码器网络
1811,encoder states,编码器状态
1812,encoder-decoder,编码器-解码器
1813,encoder-decoder architecture,编码器-解码器架构
1814,encoder-decoder framework,编码器-解码器框架
1815,encoder-decoder model,编码器-解码器模型
1816,encoders,编码器
1817,encoding,编码
1818,end-of-sequence token,序列结束标记
1819,end-to-end,端到端
1820,end-to-end learning,端到端学习
1821,end-to-end memory network,端到端记忆网络
1822,end-to-end model,端到端模型
1823,end-to-end neural model,端到端神经模型
1824,end-to-end pipeline,端到端流程
1825,end-to-end system,端到端系统
1826,end-to-end training,端到端训练
1827,energy derivatives,能源衍生品
1828,energy function,能量函数
1829,energy gap,能量差异
1830,energy minimization,能量最小化
1831,energy minimization framework,能量最小化框架
1832,energy minimization problem,能量最小化问题
1833,energy potentials,能量潜力
1834,energy-based model,基于能量的模型
1836,ensemble,集成
1837,ensemble classification,集成分类
1838,ensemble classifier,集成分类器
1839,ensemble learning,集成学习
1840,ensemble method,集成方法
1841,ensemble methods,集成方法
1842,ensemble model,集成模型
1843,ensemble of classifier,分类器集成
1844,ensemble pruning,集成修剪
1845,ensemble size,集成规模
1846,entail,蕴含
1847,entailment,蕴涵
1848,entailment detection,蕴涵检测
1849,entities,实体
1850,entity,实体
1851,entity coreference,实体共指
1852,entity description,实体描述
1853,entity detection,实体检测
1854,entity embedding,实体嵌入
1855,entity extraction,实体提取
1856,entity linker,实体链接器
1858,entity mention,实体提及
1859,entity normalisation,实体规范化
1860,entity recognition,实体识别
1861,entity representation,实体表示
1862,entity resolution,实体解析
1863,entity set,实体集
1864,entity type,实体类型
1865,entropy,熵
1866,entropy encoding,熵编码
1867,entropy estimation,熵估计
1868,entropy function,熵函数
1869,entropy loss,熵损失
1870,entropy regularization,熵正则化
1871,enumeration algorithm,枚举算法
1872,environment,环境
1873,envy-freeness,无嫉妒性
1874,eos,结束标记
1876,epipolar constraint,极线约束
1877,epipolar geometry,对极几何
1878,epipolar line,极线
1879,epipole,极点
1880,episode,回合
1881,episodic return,回合回报
1882,episodic task,回合式任务
1883,epistemic uncertainty,认知不确定性
1884,epoch,轮
1885,equal-width convolution,等宽卷积
1886,equality constraint,等式约束
1887,equalized odd,均衡赔率
1888,equilibrium distribution,均衡分布
1889,equivalence class,等价类
1890,equivalence query,等价查询
1891,equivariance,等变
1892,equivariant,等变的
1893,equivariant representations,等变表示
1894,error,误差
1895,error analysis,误差分析
1896,error backpropagation,误差反向传播
1897,error backpropagation algorithm,误差反向传播算法
1898,error bar,误差条
1899,error bound,误差界
1900,error correcting output codes,纠错输出编码
1901,error function,误差函数
1902,error metric,误差度量
1903,error probability,错误概率
1904,error rate,错误率
1905,error tolerance,错误容忍度
1906,error-ambiguity decomposition,误差－分歧分解
1907,estimation error,估计误差
1908,estimation of mathematical expectation,数学期望估计
1909,estimator,估计
1910,ethical considerations,道德考虑
1924,evaluation,评估
1925,evaluation criterion,评价准则
1926,evaluation function,评估函数
1927,evaluation metric,评估指标
1928,evaluation set,评估集
1929,event,事件
1930,event calculus,事件演算
1931,event coreference,事件共指
1932,event detection,事件检测
