,word,validated_translation
1024,baseline method,الطريقة الأساسية
1025,baseline model,النموذج الأساسي
1026,baseline parser,محلل الأساس
1027,baseline policy,سياسة الأساس
1028,baseline system,النظام الأساسي
1029,baselines,خطوط الأساس
1030,basis function,دالة الأساس
1031,basis vector,متجه الأساس
1032,batch algorithm,خوارزمية دفعة
1033,batch dimension,البعد الدفعي
1034,batch element,عنصر الدفعة
1035,batch learning,التعلم الدفعي
1036,batch mode,وضع الدفعات
1037,batch normalization,تسوية الحزمة
1038,batch optimization,تحسين الدفعات
1039,batch processing,معالجة الدفعات
1040,batch setting,إعداد الدفعات
1041,batch training,التدريب على دفعات كبيرة
103,beam search,بحث شعاع
1042,beam search algorithm,خوارزمية البحث الشعاعي
1043,beam search decoding,فك تشفير بحث الشعاع
1044,beam search decoding algorithm,خوارزمية فك تشفير بحث الشعاع
1045,beam size,حجم الشعاع
1046,beam width,عرض الشعاع
1047,behavior cloning,استنساخ السلوك
1048,behavior policy,سياسة السلوك
104,belief propagation,انتشار المعتقدات
1049,belief state,حالة الاعتقاد
1050,benchmark,معيار
1051,benchmark dataset,مجموعة بيانات مرجعية
1052,benchmark task,مهمة مرجعية
1053,best-first search,بحث الأفضل أولاً
1054,best-first search algorithm,خوارزمية البحث الأفضل أولاً
120,beta distribution,توزيع بيتا
1055,beta1,بيتا1
1056,between-class variance,التباين بين الفئات
1057,betweenness,البينية
1058,bi-gram,ثنائي-الجرام
1059,bi-level optimization,تحسين ثنائي المستوى
1060,bias,التحيز
1061,bias mitigation,تخفيف التحيز
1062,bias parameter,معامل التحيز
1063,bias term,مصطلح التحيز
1064,bias vector,متجه التحيز
1065,bias-variance tradeoff,موازنة التحُّيز-التباين
1066,biased estimator,مُقدِّر مُتحيِّز
1067,biases,التحيزات
1068,bibliographic coupling,الاقتران الببليوغرافي
1069,bicubic interpolation,الاستيفاء الثنائي التكعيبي
1070,bidirectional,ثنائي الاتجاه
1071,bidirectional Transformer,محول ثنائي الاتجاه
1072,bidirectional encoder,مشفر ثنائي الاتجاه
1073,bidirectional encoder representations from transformers,تمثيلات الترميز الثنائية الاتجاه من المحولات 
1074,bidirectional heuristic search,البحث الهيوريستيكي ثنائي الاتجاه
1075,bidirectional model,نموذج ثنائي الاتجاه
1076,bidirectional search,البحث الثنائي الاتجاه
1077,bidirectionality,ثنائية الاتجاه
1078,big data,بيانات ضخمة
1079,big data analytics,تحليلات البيانات الضخمة
1080,big-O notation,تدوين O الكبير
1081,bigram count,عدد الثنائيات
1082,bigram language model,نموذج لغة بيجرام
1083,bijective function,دالة تباينية
1084,bijective mapping,تعيين تقابلي
1085,bilateral filtering,الترشيح الثنائي
1086,bilinear,ثنائي الخطية
1087,bilinear form,شكل ثنائي الخطية
1088,bilinear interpolation,الاستيفاء الثنائي الخطي
1089,bilinear model,نموذج ثنائي الخط
1090,bilingual model,النموذج ثنائي اللغة
1091,binarization,تحويل إلى ثنائي
1092,binary,ثنائي
1093,binary atom,ذرة ثنائية
1094,binary classification,تصنيف ثنائي
1095,binary classification head,رأس التصنيف الثنائي
1096,binary classification problem,مشكلة التصنيف الثنائي
1097,binary classification task,مهمة التصنيف الثنائي
1098,binary classifier,مصنف ثنائي
1099,binary constraint,قيد ثنائي
1100,binary cross entropy,الإنتروبيا المتقاطعة الثنائية
1101,binary cross-entropy loss,خسارة الانتروبيا الثنائية المتصالبة
1102,binary decision tree,شجرة القرار الثنائية
1103,binary feature,السمة الثنائية
1104,binary label,تسمية ثنائية
1105,binary matrix,مصفوفة ثنائية
1106,binary predicate,المسند الثنائي
1107,binary relation,علاقة ثنائية
1108,binary search,البحث الثنائي
1109,binary segmentation,التقسيم الثنائي
1110,binary tree,شجرة ثنائية
1111,binary variable,متغير ثنائي
1112,binary vector,متجه ثنائي
123,binomial distribution,توزيع ثنائي الحدين
1113,bioinformatic,المعلوماتية الحيوية
1114,biological neural network,الشبكة العصبية البيولوجية
1115,bipartite,ثنائي الطرف
1116,bipartite graph,رسم بياني ثنائي التقسيم
1117,bipartite matching,المطابقة الثنائية
1118,bipartite structure,الهيكل الثنائي
1119,birth-death process,عملية الولادة-الموت
1120,bisection method,طريقة التقسيم
1121,bisimulation,المحاكاة الثنائية
1122,bitext,النص الثنائي اللغة
1123,bitvector,متجه البتات
1124,black-box,الصندوق الأسود
1125,black-box model,نموذج الصندوق الأسود
1126,block coordinate descent,نزول إحداثيات الكتلة
1127,block matrix,مصفوفة الكتل
1128,block-diagonal matrix,مصفوفة قطريّة كتلية
1129,blur kernel,نواة التمويه
1130,boosting,تعزيز
1131,boosting algorithm,خوارزمية التعزيز
1132,boosting approach,نهج التعزيز
1133,bootstrap aggregating,تجميع بوتستراب
1134,bootstrap learning,تعلم التمهيد
1135,bootstrap resampling,إعادة أخذ العينات باستخدام طريقة البوتستراب
1136,bootstrap sample,عينة بوتستراب
1137,bottleneck,عنق الزجاجة
1138,bottleneck layer,طبقة عنق الزجاجة
1139,bottom-up,من الأسفل إلى الأعلى
1140,bottom-up learning,التعلم من الأسفل إلى الأعلى
1141,bottom-up module,الوحدة التصاعدية
1142,bottom-up parsing,التحليل النحوي التصاعدي
1143,bound variable,المتغير المقيد
1144,bounded rationality,العقلانية المحدودة
1145,bounding box,مربع الإحاطة
1146,bounding box detection,اكتشاف مربع الإحاطة
1147,bounding box regression,انحدار صندوق الإحاطة
1148,bounding box regressor,مُقدِّر صندوق الإحاطة
1149,branch and bound algorithm,خوارزمية التفرع والتقييد
1150,branching factor,عامل التفرع
1151,breadth-first order,ترتيب البحث بالعرض
1152,breadth-first search,البحث أولاً بالعرض
1153,brute force search,البحث بالقوة الغاشمة
1154,burn-in,مرحلة الإحماء
1155,calculus of variation,حساب التغيرات
1156,calibration,معايرة
1157,calibration method,طريقة المعايرة
1158,camera calibration,معايرة الكاميرا
1159,camera intrinsic,الخصائص الداخلية للكاميرا
1160,camera matrix,مصفوفة الكاميرا
1161,camera parameter,معامل الكاميرا
1162,camera pose estimation,تقدير وضع الكاميرا
1163,candidate generation,توليد المرشحين
1164,candidate set,مجموعة المرشحين
1165,canonical basis,الأساس القياسي
1166,canonical correlation analysis,تحليل الارتباط الكنسي
1167,canonical form,الصيغة القياسية
1168,canonical frame,الإطار القياسي
1169,canonical space,الفضاء القياسي
1170,canonicalization,التوحيد القياسي
1171,capsule network,شبكة الكبسولة
1172,capsule neural network,شبكة عصبية كبسولية
1173,captions,التسميات التوضيحية
1174,cardinality,الكاردينالية
1175,cardinality constraint,قيد عدد العناصر
1176,cascade model,نموذج الكاسكيد
1177,catastrophic forgetting,النسيان الكارثي
1178,categorial grammar,قواعد اللغة الفئوية
1179,categorical cross-entropy,الانتروبيا المتقاطعة التصنيفية
149,categorical distribution,توزيع تصنيفي
1180,categorical feature,الميزة الفئوية
1181,causal effect,التأثير السببي
1182,causal effect estimation,تقدير التأثير السببي
1183,causal entropy,الإنتروبيا السببية
1184,causal graph,الرسم البياني السببي
1185,causal inference,الاستدلال السببي
1186,causal intervention,التدخل السببي
1187,causal language model,نموذج اللغة السببي
1188,causal model,النموذج السببي
1189,causal reasoning,الاستدلال السببي
1190,causal rule,القاعدة السببية
1191,causal theory,نظرية السببية
1192,cell state,حالة الخلية
1193,center crop,الاقتصاص المركزي
1194,center of projection,مركز الإسقاط
1195,centrality measure,مقياس المركزية
1196,centroid,النقطه الوسطى
1197,chain rule,قاعدة السلسلة
1198,change of basis,تغيير الأساس
1199,character embedding,تضمين الأحرف
1200,character n-gram,n-جرام الأحرف
1201,characteristic function,الدالة المميزة
1202,characteristic polynomial,كثيرة الحدود المميزة
1203,characteristic vector,المتجه المميز
1204,chart parser,محلل الرسم البياني
1205,chart parsing,تحليل الرسم البياني
1206,chatbot,بوت محادثة
1207,checkpoint,نقطة التحقق
1208,chemoinformatic,الكيمياء المعلوماتية
1209,chi-square distribution,توزيع كاي-تربيع
1210,chi-square test,اختبار كاي-تربيع
1211,child node,العقدة الفرعية
1212,chromosome,الكروموسوم
1213,chunk size,حجم الكتلة
1214,citation network,شبكة الاستشهادات
1215,class,فئة
1216,class balance,توازن الفئات
1217,class distribution,توزيع الفئات
1218,class imbalance,عدم توازن الفئات
1219,class label,تسمية الفئة
1220,class prior,الأولوية الفئوية
1221,classical planning,التخطيط الكلاسيكي
1222,classification,تصنيف
1223,classification accuracy,دقة التصنيف
1224,classification algorithm,خوارزمية التصنيف
1225,classification approach,نهج التصنيف
1226,classification error,خطأ التصنيف
1227,classification head,رأس التصنيف
1228,classification loss,خسارة التصنيف
1229,classification margin,هامش التصنيف
1230,classification method,طريقة التصنيف
1231,classification metric,مقياس التصنيف
1232,classification model,نموذج التصنيف
1233,classification network,شبكة التصنيف
1234,classification objective,هدف التصنيف
1235,classification problem,مشكلة التصنيف
1236,classification score,درجة التصنيف
1237,classification task,مهمة التصنيف
1238,classification token,رمز التصنيف
161,classifier,مصنف
1240,classifiers,المصنّفات
1241,classifying,تصنيف
1242,clause learning,تعلم الجمل
1243,click model,نموذج النقر
1244,clip range,نطاق القص
1245,clipping factor,عامل القص
1246,clipping threshold,عتبة القص
1247,clique potential,إمكانية الزمرة
1248,closed frequent itemset,مجموعة العناصر المتكررة المغلقة
1249,closed-book model,نموذج الكتاب المغلق
1250,closed-world,العالم المغلق
1251,cloze prompt,سؤال ملء الفراغ
1252,cloze task,مهمة ملء الفراغ
1253,cluster assignment,تعيين العنقود
1254,cluster center,مركز العنقود
1255,cluster centroid,مركز العنقود
1256,cluster feature,ميزة العنقود
1257,cluster label,تسمية الكتلة
1258,cluster size,حجم العنقود
1259,clustering,تجميع
1260,clustering algorithm,خوارزمية التجميع
1261,clustering criterion,معيار التجميع
1262,clustering method,طريقة التجميع
1263,clustering problem,مشكلة التجميع
1264,co-occurrence,حدوث مشترك
1265,co-occurrence matrix,مصفوفة التواجد المشترك
1266,co-occurrence statistic,إحصائية التزامن
1267,co-reference,الإحالة المشتركة
1268,co-training,التدريب المشترك
1269,coarse correlated equilibria,التوازنات المترابطة الخشنة
1270,coarse correlated equilibrium,التوازن المرتبط الخشن
1271,coarse layer,الطبقة الخشنة
1272,coarse-to-fine,من الخشن إلى الدقيق
1273,coarse-to-fine approach,نهج من الخشن إلى الدقيق
1274,coarse-to-fine cascade,تسلسل من الخشن إلى الدقيق
1275,coarse-to-fine strategy,استراتيجية من الخشن إلى الدقيق
1276,codebook,كتاب الرموز
1277,codomain,المجال المقابل
1278,coefficient matrix,مصفوفة المعاملات
1279,cognitive architecture,بنية إدراكية
1280,cognitive model,النموذج المعرفي
1281,cognitive science,علم الإدراك
1282,cold start,البدء البارد
1283,collaborative filtering,التصفية التعاونية
1284,collaborative learning,التعلم التعاوني
1285,collective inference,الاستدلال الجماعي
1286,color channel,قناة اللون
1287,color constancy,ثبات اللون
1288,colorization,تلوين
1289,column space,فضاء الأعمدة
1290,column vector,متجه العمود
1291,combinator,مُركِّب
1292,combinatorial explosion,الانفجار التوافقي
1293,combinatorial optimization,الأمثلية التوافقية
1294,combinatorial optimization problem,مشكلة التحسين التوافقي
1295,commonsense inference,استدلال الحس السليم
1296,commonsense knowledge,المعرفة بالحس العام
1297,commonsense knowledge graph,رسم بياني للمعرفة البديهية
1299,communication complexity,تعقيد الاتصال
1300,communication graph,رسم بياني للتواصل
1301,compared,مقارنة
1302,compatibility function,دالة التوافق
1303,compatibility graph,رسم بياني للتوافق
1304,competitive ratio,النسبة التنافسية
1305,composition function,دالة التركيب
1306,compositional generalization,التعميم التركيبي
1307,compositional semantic,الدلالة التركيبية
167,compositionality,التركيبية
1309,compressive sensing,الاستشعار الضاغط
1310,computation,الحساب
1311,computation complexity,تعقيد الحساب
1312,computation graph,رسم بياني للحساب
1313,computational,الحوسبة
1314,computational argumentation,الحجج الحاسوبية
1315,computational budget,الميزانية الحاسوبية
1316,computational complexity,التعقيد الحسابي
1317,computational experiment,هل قمت بإجراء تجارب حوسبية؟
1318,computational graph,الرسم البياني الحسابي
1319,computational intelligence,ذكاء حوسبي
1320,computational model,النموذج الحسابي
1321,compute budget,ميزانية الحوسبة
1322,computer vision,رؤية الحاسب
1323,computer vision model,نموذج الرؤية الحاسوبية
1324,concatenation,الدمج التسلسلي
1325,concatenation operation,عملية الدمج
1326,concentration inequality,عدم المساواة التركيزية
1327,concentration parameter,معامل التركيز
1328,concept,مفهوم
1329,concept assertion,تأكيد المفهوم
1330,concept atom,ذرة المفهوم
1331,concept class,فئة المفهوم
1332,concept drift,انجراف المفهوم
1333,concept inclusion,إدراج المفهوم
1334,concept name,اسم المفهوم
1335,condition number,عدد الشرط
1336,conditional computation,الحساب الشرطي
1337,conditional density,الكثافة الشرطية
1338,conditional distribution,التوزيع الشرطي
1339,conditional effect,التأثير الشرطي
1340,conditional entropy,الإنتروبيا الشرطية
1341,conditional expectation,التوقع الشرطي
1342,conditional gradient,التدرج الشرطي
1343,conditional independence,الاستقلال الشرطي
1344,conditional independency,الاستقلال الشرطي
1345,conditional likelihood,الاحتمالية الشرطية
1346,conditional log likelihood,الاحتمالية اللوغاريتمية الشرطية
1347,conditional log probability,الاحتمالية اللوغاريتمية الشرطية
1348,conditional maximum entropy,أقصى إنتروبيا شرطية
1349,conditional model,النموذج الشرطي
1350,conditional probability,الاحتمال الشرطي
1351,conditional probability distribution,توزيع الاحتمال الشرطي
172,conditional random field,الحقل العشوائي الشرطي
1352,conditional sampling,أخذ العينات المشروطة
1353,conditional text generation,توليد النص الشرطي
1354,conditioning,التكييف
1355,conditioning vector,متجه التكييف
1356,confidence,الثقة
1357,confidence bound,حد الثقة
1358,confidence interval,فترة الثقة
1359,confidence map,خريطة الثقة
1360,confidence score,درجة الثقة
1361,confidence threshold,عتبة الثقة
1362,configuration,تكوين
1363,confusion matrix,مصفوقة الدقة
1364,confusion network,شبكة الالتباس
1365,conjugate gradient,التدرج المترافق
1366,conjugate gradient descent,نزول التدرج المترافق
1367,conjugate gradient method,طريقة التدرج المترافق
1368,conjunct,المعطوف
1369,conjunctive normal form,الصيغة العادية الاقترانية
1370,conjunctive query,الاستعلام الاقتراني
1371,connected component,المكون المتصل
1372,connectionism,التشابكية
1373,connectionist model,النموذج الترابطي
1374,connectivity matrix,مصفوفة الاتصال
1375,consensus network decoding,فك تشفير الشبكة التوافقية
1376,consequent,النتيجة المترتبة
1377,consistent estimator,مقدّر متسق
1378,constellation model,نموذج الكوكبة
1379,constituency parser,محلل التراكيب
1380,constituency parsing,التحليل النحوي للمكونات
1381,constituency tree,شجرة التراكيب
1382,constituent parsing,تحليل المكونات
1383,constituent structure,بنية المكونات
1384,constrained beam search,بحث الشعاع المقيد
1385,constrained decoding,فك الترميز المقيد
1386,constrained optimization,التحسين المقيد
1387,constrained optimization problem,مشكلة التحسين المقيد
1388,constraint,قيد
1389,constraint generation,توليد القيود
1390,constraint programming,برمجة القيود
1391,constraint propagation,انتشار القيود
1392,constraint satisfaction,إرضاء القيود
1393,constraint satisfaction problem,مسألة إرضاء القيود
1394,constraint set,مجموعة القيود
1395,content model,نموذج المحتوى
1396,content selection,اختيار المحتوى
1397,context,السياق
1398,context encoder,مشفر السياق
1399,context free grammar,قواعد خالية من السياق
1400,context model,نموذج السياق
1401,context vector,متجه السياق
1402,context window,نافذة السياق
1403,context-free language,لغة خالية من السياق
1404,contexts,السياقات
1405,contextual embedding,التضمين السياقي
1406,contextual feature,ميزة سياقية
1407,contextual information,المعلومات السياقية
1408,contextual model,النموذج السياقي
1409,contextual representation,التمثيل السياقي
1410,contextual vector,المتجه السياقي
1411,contextual word embedding,تضمين الكلمات السياقي
1412,contextualized,السياقي
1413,contextualized embedding,التضمين السياقي
1414,contextualized representation,التمثيل السياقي
1415,contextualized word vector,ناقلات الكلمات السياقية
1416,contingency table,جدول الطوارئ
1417,continual learning,التعلم المستمر
1418,continuous normalizing flow,التدفق الطبيعي المستمر
1419,contrastive approach,النهج التبايني
1420,contrastive fine-tuning,التحسين التبايني
1421,contrastive loss,خسارة تباينية
1422,contrastive objective,الهدف التبايني
1423,control variate,المتغير الضابط
1424,controllable text generation,توليد النص القابل للتحكم
1425,conv layer,طبقة الالتفاف
1426,convergence,التقارب
1427,convergence analysis,تحليل التقارب
1428,convergence bound,حد التقارب
1429,convergence criterion,معيار التقارب
1430,convergence rate,معدل التقارب
1431,convergence time,زمن التقارب
1432,conversation history,سجل المحادثة
1433,conversational,محادثاتي
1434,conversational agent,وكيل محادثة
1435,conversational dialogue system,نظام حوار محادثة
1436,convex,محدب
1437,convex combination,مزيج محدب
1438,convex conjugate,المترافق المحدب
1439,convex constraint,قيد محدب
1440,convex decomposition,التحلل المحدب
1441,convex function,دالة محدبة
1442,convex hull,بدن محدب
1443,convex loss,الخسارة المحدبة
1444,convex objective,الهدف المحدب
1445,convex objective function,دالة الهدف المحدبة
1446,convex optimization,التحسين المحدب
1447,convex optimization problem,مشكلة تحسين محدبة
1448,convex problem,مشكلة محدبة
1449,convex program,برنامج محدب
1450,convex proxy,الوكيل المحدب
1451,convex quadratic program,برنامج تربيعي محدب
1452,convex relaxation,استرخاء محدب
1453,convex risk minimization,تقليل المخاطر المحدبة
1454,convex set,مجموعة محدبة
1455,convex surrogate,بديل محدب
1456,convex-concave,محدب-مقعر
1457,convexity,محدبية
175,convolution,الالتفاف
1458,convolution kernel,نواة الالتفاف
1459,convolution layer,طبقة الالتفاف
1460,convolution neural network,شبكة الالتفاف العصبية
1461,convolution operation,عملية الالتفاف
1462,convolution operator,مُشغّل الالتفاف
1463,convolutional,تلافيفي
1464,convolutional architecture,البنية التلافيفية
1465,convolutional block,الكتلة التلافيفية
1466,convolutional decoder,وحدة فك التشفير التلافيفية
1467,convolutional encoder,المشفّر التلافيفي
1468,convolutional feature,الخاصية التلافيفية
1469,convolutional filter,مرشح تلافيفي
1470,convolutional kernel,نواة التلافيف
1471,convolutional layer,طبقة التلافيف
1472,convolutional network,شبكة التلافيف
1473,convolutional neural net,شبكة عصبية تلافيفية
1474,convolutional neural network,شبكة عصبية ترشيحية
1475,convolutional representation,تمثيل تلافيفي
1476,cooling schedule,جدول التبريد
1477,coordinate ascent,الصعود الإحداثي
1478,coordinate descent,الانحدار الإحداثي
1479,coordinate descent algorithm,خوارزمية النزول التنسيقي
1480,coordinate frame,إطار الإحداثيات
1481,copy mechanism,آلية النسخ
1482,core tensor,الموتر الأساسي
1483,coreference,الإحالة المرجعية
1484,coreference annotation,توسيم الترابط
1485,coreference chain,سلسلة الإحالة
1486,coreference resolution model,نموذج حل الإحالة المشتركة
1487,coreference resolution system,نظام حل المراجع المشتركة
1488,coreferent,مرجع مشترك
180,corpus,مجموعة لغوية
1492,correlated equilibria,التوازنات المترابطة
1493,correlated equilibrium,التوازن المرتبط
1494,correlation coefficient,معامل الارتباط
1495,correlations,الارتباطات
1496,correspondence matrix,مصفوفة المطابقة
1497,corresponding,المطابق
1498,cosine,جيب التمام
1499,cosine decay,تناقص جيب التمام
1500,cosine decay schedule,جدول تسوس جيب التمام
1501,cosine learning rate schedule,جدول معدل التعلم بتناقص جيب التمام
1502,cosine measure,مقياس جيب التمام
1503,cosine schedule,جدول جيب التمام
181,cosine similarity,تشابه جيب التمام
1504,cosine similarity measure,مقياس تشابه جيب التمام
1505,cost function,دالة التكلفة
1506,cost vector,متجه التكلفة
1507,cost volume,حجم التكلفة
1508,cost-sensitive learning,التعلم الحساس للتكلفة
1509,counterexample,مثال مضاد
1510,counterfactual,افتراض مغاير للواقع
1511,counterfactual datum,بيانات مغايرة للواقع
1512,counterfactual example,مثال مضاد للواقع
1513,counterfactual fairness,الإنصاف المضاد للواقع
1514,counterfactual reasoning,التفكير المضاد للواقع
184,covariance,التغاير
1515,covariance function,دالة التغاير
1516,covariance kernel,نواة التغاير
1517,covariance matrix,مصفوفة التغاير
1518,covariance model,نموذج التغاير
1519,covariance operator,مؤثر التغاير
1520,covariance parameter,معامل التباين
1521,covariance structure,هيكل التباين
1522,covariant derivative,المشتقة المتغايرة
1523,covariate,المتغير المصاحب
1524,covariate shift,انزياح المتغيرات
1525,credit assignment,إسناد الفضل
1526,credit assignment problem,مشكلة إسناد الفضل
1527,criterion,معيار
1528,critic,الناقد
1529,critic loss,خسارة الناقد
1530,critic network,شبكة الناقد
1531,cross attention,الانتباه المتقاطع
1532,cross entropy,الإنتروبيا المتقاطعة
1533,cross entropy error,خطأ الانتروبيا المتقاطعة
1534,cross validation,التحقق المتقاطع
1535,cross-attention layer,طبقة الانتباه المتقاطع
1536,cross-attention module,وحدة الانتباه المتقاطع
1537,cross-correlation,الارتباط المتقاطع
1538,cross-entropy,الأنتروبيا التقاطعية
1539,cross-entropy loss function,دالة خسارة الانتروبيا المتقاطعة
1540,cross-entropy objective,هدف الانتروبيا المتقاطعة
1541,cross-lingual benchmark,المعيار المرجعي عبر اللغات
1542,cross-lingual embedding,التضمين عبر اللغات
1543,cross-lingual feature,ميزة عبر اللغات
1544,cross-lingual knowledge transfer,نقل المعرفة عبر اللغات
1545,cross-lingual model,نموذج عبر اللغات
1546,cross-lingual representation,تمثيل عبر اللغات
1547,cross-lingual transfer,نقل عبر اللغات
1548,cross-modal,عبر الوسائط
1549,cross-validating,التحقق المتقاطع
1550,cross-validation,التحقق المتقاطع
1551,cumulant generating function,دالة توليد الكومولانت
1552,cumulative density function,دالة الكثافة التراكمية
1553,cumulative distribution function,دالة التوزيع التراكمي
1554,cumulative regret,الندم التراكمي
1555,cumulative reward,المكافأة التراكمية
1556,curriculum learning,التعلم التدريجي
1557,curse of dimensionality,لعنة الأبعاد
1558,cutting plane,طائرة القطع
1559,cutting plane algorithm,خوارزمية المستوى القاطع
1560,cutting plane method,طريقة المستوى القاطع
1561,cycle consistency,اتساق الدورة
1562,cycle consistency loss,خسارة اتساق الدورة
1563,cycle inequality,متباينة الدورة
1564,d-separation,د- الانفصال
1565,d_model,د_النموذج
1566,dark data,البيانات المظلمة
1567,data,البيانات
1568,data augmentation,زيادة البيانات
1569,data distribution,توزيع البيانات
1570,data imbalance,اختلال البيانات
1571,data integration,تكامل البيانات
1572,data manifold,مشعب البيانات
1573,data mining,تنقيب البيانات
1574,data modelling,نمذجة البيانات
1575,data point,نقطة بيانات
1576,data processing inequality,عدم المساواة في معالجة البيانات
1577,data sparseness,ندرة البيانات
1578,data sparsity,ندرة البيانات
1579,data structure,بنية البيانات
1580,data vector,متجه البيانات
1581,data-to-text generation,توليد النص من البيانات
1584,dataset augmentation,زيادة مجموعة البيانات
1585,dataset bias,تحيز مجموعة البيانات
1586,dataset size,حجم مجموعة البيانات
1587,datasets,مجموعات البيانات
1588,datasheet,ورقة بيانات
1589,datum bias,تحيز البيانات
1590,datum clustering,تجميع البيانات
1591,datum contamination,تلوث البيانات
1592,datum dependency,اعتماد البيانات
1593,datum fidelity,دقة البيانات
1594,datum filtering,تصفية البيانات
1595,datum generative process,عملية توليد البيانات
1596,datum matrix,مصفوفة البيانات
1597,datum mining algorithm,خوارزمية استخراج البيانات
1598,datum parallelism,توازي البيانات
1599,datum perturbation,اضطراب البيانات
1600,davinci,دافنشي
1601,decay parameter,معامل الاضمحلال
1602,decentralized algorithm,الخوارزمية اللامركزية
1603,decision boundary,حد القرار
1604,decision function,دالة القرار
1605,decision node,عقدة القرار
1606,decision policy,سياسة القرار
1607,decision problem,مشكلة القرار
1608,decision rule,قاعدة القرار
1609,decision space,فضاء القرار
1610,decision stumps,جذوع القرار
1611,decision theory,نظرية القرار
1612,decision tree,شجرة القرار
1613,decision variable,متغير القرار
192,decoder,المفكك
1615,decoder hidden state,الحالة المخفية لفك التشفير
1616,decoder layer,طبقة فك الترميز
1617,decoder network,شبكة فك الترميز
1618,decoder output,خرج فك التشفير
1619,decoder state,حالة فك الترميز
1620,decoder-only transformer,محول يعتمد على فك الترميز فقط
1621,decoding,فك التشفير
1622,decoding algorithm,خوارزمية فك التشفير
1623,decoding problem,مشكلة فك التشفير
1624,decoding step,خطوة فك التشفير
1625,decoding strategy,استراتيجية فك التشفير
1626,decomposition,تحليل
1627,decomposition method,طريقة التحليل
1628,deconvolution,إلغاء الالتفاف
1629,deconvolution layer,طبقة إلغاء الالتفاف
1630,deconvolutional layer,طبقة إزالة الالتفاف
1631,deep Q-learning,تعلم Q العميق
1632,deep Q-network,شبكة Q العميقة
1633,deep architecture,العمارة العميقة
195,deep belief network,شبكة الاعتقاد العميقة
1634,deep convolutional network,الشبكة العصبية التلافيفية العميقة
1635,deep convolutional neural network,شبكة عصبية تلافيفية عميقة
1636,deep feature,الميزات العميقة
1637,deep generative model,نموذج توليدي عميق
1638,deep layer,الطبقة العميقة
1639,deep learning,تعُّلم عميق
1640,deep learning architecture,بنية التعلم العميق
1641,deep learning framework,إطار عمل التعلم العميق
1642,deep learning model,نموذج التعلم العميق
1643,deep learning system,نظام التعلم العميق
1644,deep model,نموذج عميق
1645,deep net,شبكة عميقة
1646,deep network,شبكة عميقة
1647,deep network architecture,بنية الشبكة العميقة
1648,deep neural model,نموذج الشبكة العصبية العميقة
1649,deep neural net,شبكة عصبية عميقة
1650,deep neural network,شبكة عصبية عميقة
1651,deep reinforcement learning,التعلم المعزز العميق
1652,deep supervision,الإشراف العميق
1653,deepfake,تزييف عميق
1654,deeply-supervised net,شبكة ذات إشراف عميق
1655,default logic,المنطق الافتراضي
1656,deformable template,قالب قابل للتشوه
1657,deformation field,مجال التشوه
1658,degree distribution,توزيع الدرجة
1659,delayed reward,المكافأة المؤجلة
1660,delexicalization,إزالة الخصائص اللغوية
1661,delta kernel,نواة دلتا
1662,dendrogram,شجرة التفرع
1663,denoiser,مزيل الضوضاء
197,denoising autoencoder,المُشفّر التلقائي لإزالة الضوضاء
1664,denoising diffusion probabilistic model,نموذج الانتشار الاحتمالي لإزالة الضوضاء
1665,denoising network,شبكة إزالة الضوضاء
1666,denoising objective,هدف إزالة الضوضاء
1667,denoising process,عملية إزالة الضوضاء
1668,denoising score matching,مطابقة الدرجات لإزالة الضوضاء
1669,denoising score matching loss,خسارة مطابقة الدرجات لإزالة الضوضاء
1670,denotation,دلالة
1671,dense,كثيف
1672,dense attention,انتباه كثيف
1673,dense depth map,خريطة العمق الكثيفة
1674,dense feature,خاصية كثيفة
1675,dense layer,طبقة كثيفة
1676,dense matrix,مصفوفة كثيفة
1677,dense network,شبكة كثيفة
1678,dense prediction,التنبؤ الكثيف
1679,dense representation,التمثيل الكثيف
1680,dense vector,المتجه الكثيف
1681,density estimate,تقدير الكثافة
1682,density estimation,تقدير الكثافة
1683,density estimator,مقدِّر الكثافة
1684,density field,مجال الكثافة
1685,density function,دالة الكثافة
1686,density gradient,تدرج الكثافة
1687,density ratio,نسبة الكثافة
1688,dependencies,التبعيات
1689,dependency,التبعية
1690,dependency arc,قوس التبعية
1691,dependency feature,ميزة التبعية
1692,dependency graph,رسم بياني للتبعية
1693,dependency label,علامة التبعية
1694,dependency model,نموذج التبعية
1695,dependency parse,تحليل التبعية
1696,dependency parse tree,شجرة تحليل التبعية
1697,dependency parser,محلل التبعية
1698,dependency parsing model,نموذج تحليل التبعية
1699,dependency path,مسار التبعية
1700,dependency relation,علاقة التبعية
1701,dependency representation,تمثيل التبعية
1702,dependency structure,هيكل الاعتماد
1703,dependency tree,شجرة الاعتماد
1704,dependency treebank,بنك شجرة التبعية
1705,dependent variable,المتغير التابع
1706,depth estimation,تقدير العمق
1707,depth estimator,مقدر العمق
1708,depth image,صورة العمق
1709,depth map,خريطة العمق
1710,depth prediction,تنبؤ العمق
1711,depth-first search,البحث أولاً في العمق
1712,depthwise separable convolutional neural network,شبكة عصبية ترشيحية قابلة للفصل عمًقا
1713,description logic,منطق الوصف
1714,descriptor,موصّف
1715,design matrix,مصفوفة التصميم
1716,design space,فضاء التصميم
1717,det,المحدد
1718,detection,الكشف
