Index,English,French
1491,canonical correlation analysis,analyse de corrélation canonique
1492,canonical form,forme canonique
1493,canonical frame,cadre canonique
1494,canonical space,espace canonique
1495,canonical-correlation analysis,analyse canonique des corrélations
1496,canonicalization,canonisation
1497,capacity planning,gestion de la capacité
1498,capsule network,CapsNet
1499,caption generation,génération de légendes
1500,capture-recapture sampling,échantillonnage avec capture et libération
1501,cardinality,cardinalité
1502,cardinality constraint,contrainte de cardinalité
1503,cartesian product,ensemble produit
1504,cascade model,modèle en cascade
1505,case-based reasoning,raisonnement par cas
1506,case-based reasoning algorithm,algorithme de raisonnement par cas
1507,case-based reasoning systems,systèmes de raisonnement basés sur des cas
1508,catastrophic forgetting,oubli catastrophique
1509,categorial grammar,grammaire catégorielle
1510,categorical cross-entropy,entropie croisée catégorique
1511,categorical cross-entropy loss,erreur entropie croisée catégorielle
1512,categorical data,données catégorielles
1513,categorical distribution,loi multinoulli
1514,categorical feature,caractéristique catégorique
1515,categorical variable,variables nominales
1516,causal deep learning,apprentissage profond causal
1517,causal effect,effet causal
1518,causal effect estimation,estimation de l'effet causal
1519,causal entropy,entropie causale
1520,causal graph,graphe causal
1521,causal inference,inférence causale
1522,causal intervention,intervention causale
1523,causal language model,modèle de langage causal
1524,causal model,modèle causal
1525,causal reasoning,raisonnement causal
1526,causal rule,règle causale
1527,causal theory,théorie causale
1528,cell state,état de cellule
1529,center crop,recadrage central
1530,center of projection,centre de projection
1531,centered deep Boltzmann machine,machine de Boltzmann profonde centrée
1532,centering trick,astuce de centrage
1533,central confidence interval,intervalle de confiance centré
1534,central limit theorem,théorème central limite
1535,central tendency,valeur typique
1536,centrality measure,mesure de centralité
1537,centroid,centroïde
1538,centroid linkage clustering,regroupement par lien centroïdal
1539,centroid method,méthode du centroïde
1540,centroid-based clustering,regroupement basé sur les centroïdes
1541,certainty factor,facteur de certitude
1542,chain rule,règle de chaînage
1543,chain-of-thought prompting,requête de résolution par étapes
1544,change of basis,changement de base
1545,change point detection,détection de ruptures
1546,channel,canal
1547,character embedding,embedding de caractères
1548,character n-gram,n-gramme de caractères
1549,characteristic function,fonction caractéristique
1550,characteristic polynomial,polynôme caractéristique
1551,characteristic vector,vecteur caractéristique
1552,chart parser,analyseur par tableau
1553,chart parsing,analyse par tableau
1554,chat interface,interface de clavardage
1555,chatbot,robot conversationnel
1556,checkpoint,point de contrôle
1557,chemoinformatic,chimioinformatique
1558,chi-square distribution,distribution du chi carré
1559,chi-square test,chi carré
1560,chi-squared test of independance,test χ²
1561,child node,nœud enfant
1562,chromosome,chromosome
1563,chunk size,taille de bloc
1564,churn,attrition
1565,circuit recognition engine,moteur de reconnaissance de circuits
1566,citation network,réseau de citations
1567,citizen data scientist,citoyen scientifique des données
1568,class,classe
1569,class balance,équilibre des classes
1570,class distribution,distribution des classes
1571,class imbalance,déséquilibre des classes
1572,class imbalance plot,diagramme de déséquilibre des classes
1573,class label,étiquette de classe
1574,class prior,a priori de classe
1575,class-imbalanced data set,ensemble de données avec déséquilibre des classes
1576,classical planning,planification classique
1577,classification,classification
1578,classification accuracy,précision de classification
1579,classification algorithm,algorithme de classification
1580,classification and regression trees,algorithme CART
1581,classification approach,approche de classification
1582,classification error,erreur de classification
1583,classification head,tête de classification
1584,classification loss,perte de classification
1585,classification margin,marge de classification
1586,classification method,méthode de classification
1587,classification metric,métrique de classification
1588,classification model,modèle de classification
1589,classification network,réseau de classification
1590,classification objective,objectif de classification
1591,classification problem,problème de classification
1592,classification score,score de classification
1593,classification task,tâche de classification
1594,classification threshold,seuil de classification
1595,classification token,jeton de classification
1596,classification tree,arbre de classification
1597,clause learning,apprentissage de clauses
1598,click model,modèle de clic
1599,clickstream,flux de clics
1600,clickstream analytics,analyse des flux de clics
1601,clip range,plage de clipping
1602,clipping factor,facteur de clipping
1603,clipping threshold,seuil de clipping
1604,clique potential,potentiel de clique
1605,closed frequent itemset,ensemble d'items fréquents fermés
1606,closed-book model,modèle fermé
1607,closed-world,monde fermé
1608,closed-world assumption,hypothèse du monde clos
1609,cloud AI services,services d'IA en nuage
1610,cloud computing,infonuage
1611,cloud robotics,robotique en nuage
1612,cloud storage,stockage infonuagique
1613,cloze prompt,invite cloze
1614,cloze task,tâche cloze
1615,cluster analysis,analyse des conglomérats
1616,cluster assignment,attribution de cluster
1617,cluster center,centre de cluster
1618,cluster centroid,centroïde de cluster
1619,cluster feature,caractéristique de cluster
1620,cluster label,étiquette de cluster
1621,cluster sampling,échantillonnage par conglomérats
1622,cluster size,taille de cluster
1623,clustering,analyse typologique
1624,clustering algorithm,algorithme de clustering
1625,clustering criterion,critère de regroupement
1626,clustering method,méthode de regroupement
1627,clustering problem,problème de regroupement
1628,co-occurrence,co-occurrence
1629,co-occurrence matrix,matrice de co-occurrence
1630,co-occurrence statistic,statistique de co-occurrence
1631,co-reference,co-référence
1632,co-training,co-apprentissage
1633,coarse correlated equilibria,équilibres corrélés grossiers
1634,coarse correlated equilibrium,équilibre corrélé grossier
1635,coarse layer,couche grossière
1636,coarse-to-fine,approche grossière à fine
1637,coarse-to-fine approach,approche grossière à fine
1638,coarse-to-fine cascade,cascade grossier-à-précis
1639,coarse-to-fine strategy,stratégie de grossier à fin
1640,codebook,livre de codes
1641,codomain,codomaine
1642,coefficient,coefficient
1643,coefficient matrix,matrice des coefficients
1644,coefficient of determination,coefficient de détermination
1645,cognitive agent,agent cognitif
1646,cognitive architecture,architecture cognitive
1647,cognitive computer,ordinateur cognitif
1648,cognitive computing,informatique cognitive
1649,cognitive model,modèle cognitif
1650,cognitive modeling,modélisation cognitive
1651,cognitive probabilistic model,modèle cognitif probabiliste
1652,cognitive science,sciences cognitives
1653,cognitive task,tâche cognitive
1654,cognitive technology,technologies cognitives
1655,cognitivism,cognitivisme
1656,cold start,démarrage à froid
1657,collaborative filtering,filtrage collaboratif
1658,collaborative learning,apprentissage collaboratif
1659,collaborative system,système collaboratif
1660,collective inference,inférence collective
1661,color channel,canal de couleur
1662,color constancy,constance des couleurs
1663,colorization,colorisation
1664,column generation,génération de colonnes
1665,column space,espace des colonnes
1666,column vector,vecteur colonne
1667,column-oriented database,base de données orientée colonnes
1668,columnar database,base de données en colonnes
1669,combinator,combinatoire
1670,combinatorial explosion,explosion combinatoire
1671,combinatorial optimization,optimisation combinatoire
1672,combinatorial optimization problem,problème d'optimisation combinatoire
1673,committee machine,machine de comité
1674,common objects in context,COCO
1675,commonsense inference,inférence de bon sens
1676,commonsense knowledge,connaissance de bon sens
1677,commonsense knowledge graph,graphe de connaissances de sens commun
1678,communication complexity,complexité de communication
1679,communication graph,graphe de communication
1680,communications security,sécurité des communications
1681,compartmental model,modèle compartimental
1682,compatibility function,fonction de compatibilité
1683,compatibility graph,graphe de compatibilité
1684,competitive ratio,ratio compétitif
1685,complete linkage clustering,liaison complète de grappe
1686,complete-linkage clustering,regroupement hiérarchique par lien complet
1687,composite AI,composite IA
1688,composite hypothesis,hypothèse composite
1689,composite index,indice composite
1690,composition function,fonction de composition
1691,compositional generalization,généralisation compositionnelle
1692,compositional semantic,sémantique compositionnelle
1693,compositional semantics,sémantique compositionnelle
1694,compositionality,compositionnalité
1695,comprehension,compréhension
1696,compressive sensing,sensing compressif
1697,computation,calcul
1698,computation complexity,complexité de calcul
1699,computation graph,graphe de calcul
1700,computational argumentation,argumentation computationnelle
1701,computational biology,informatique biologique
1702,computational budget,budget computationnel
1703,computational complexity,complexité computationnelle
1704,computational complexity theory,théorie de la complexité
1705,computational creativity,créativité artificielle
1706,computational cybernetics,cybernétique informatique
1707,computational experiment,expérience computationnelle
1708,computational graph,graphe computationnel
1709,computational humour,humour informatique
1710,computational intelligence,computational intelligence
1711,computational learning theory,théorie de l'apprentissage informatique
1712,computational linguistics,informatique linguistique
1713,computational mathematics,mathématiques computationnelles
1714,computational model,modèle computationnel
1715,computational neuroscience,neuroscience informatique
1716,computational number theory,théorie algorithmique des nombres
1717,computational problem,problème algorithmique
1718,computational statistics,informatique statistique
1719,computationalism,computationnalisme
1720,compute budget,budget de calcul
1721,computer cluster,cluster de serveurs
1722,computer facial animation,animation faciale par ordinateur
1723,computer simulation,simulation informatique
1724,computer system intrusion,intrusion informatique
1725,computer vision,vision artificielle
1726,computer vision model,modèle de vision par ordinateur
1727,computer-assisted translation,traduction assistée par ordinateur
1728,concatenation operation,opération de concaténation
1729,concentration inequality,inégalité de concentration
1730,concentration parameter,paramètre de concentration
1731,concept,concept
1732,concept assertion,assertion de concept
1733,concept atom,atome de concept
1734,concept class,classe de concept
1735,concept drift,dérive conceptuelle
1736,concept inclusion,inclusion de concept
1737,concept learning,apprentissage de concepts
1738,concept name,nom de concept
1739,conceptual clustering,agrégation conceptuelle
1740,conceptual dependency theory,théorie des dépendances conceptuelles
1741,condition number,nombre de condition
1742,condition-action rule,règle condition-action
1743,conditional computation,calcul conditionnel
1744,conditional density,densité conditionnelle
1745,conditional distribution,distribution conditionnelle
1746,conditional effect,effet conditionnel
1747,conditional entropy,entropie conditionnelle
1748,conditional expectation,espérance mathématique conditionnelle
1749,conditional gradient,gradient conditionnel
1750,conditional independence,indépendance conditionnelle
1751,conditional independency,indépendance conditionnelle
1752,conditional likelihood,vraisemblance conditionnelle
1753,conditional log likelihood,log-vraisemblance conditionnelle
1754,conditional log probability,log-probabilité conditionnelle
1755,conditional maximum entropy,entropie maximale conditionnelle
1756,conditional model,modèle conditionnel
1757,conditional probability,probabilité conditionnelle
1758,conditional probability distribution,distribution de probabilité conditionnelle
1759,conditional random field,champ aléatoire conditionnel
1760,conditional sampling,échantillonnage conditionnel
1761,conditional text generation,génération de texte conditionnelle
1762,conditioning,conditionnement
1763,conditioning vector,vecteur de conditionnement
1764,confidence,confiance
1765,confidence band,bande de confiance
1766,confidence bound,borne de confiance
1767,confidence interval,intervalle de confiance
1768,confidence map,carte de confiance
1769,confidence score,score de confiance
1770,confidence threshold,seuil de confiance
1771,configuration,configuration
1772,confirmation bias,biais de confirmation
1773,confounding factor,facteur confusionnel
1774,confounding variable,variable confusionnelle
1775,confounding variables,variables confusionnelles
1776,confusion matrix,matrice de confusion
1777,confusion network,réseau de confusion
1778,conjectural reasoning,raisonnement conjectural
1779,conjugate gradient,gradient conjugué
1780,conjugate gradient descent,descente de gradient conjugué
1781,conjugate gradient method,méthode du gradient conjugué
1782,conjunct,conjonctif
1783,conjunctive normal form,forme normale conjonctive
1784,conjunctive query,requête conjonctive
1785,connected component,composante connexe
1786,connectionism,approche connexionniste
1787,connectionist approach,approche neuronale
1788,connectionist model,modèle connexionniste
1789,connectionist temporal classification,classification temporelle connexionniste
1790,connectivity matrix,matrice de connectivité
1791,consensus network decoding,décodage par réseau de consensus
1792,consequent,conséquent
1793,consistent estimator,estimateur cohérent
1794,consistent heuristic,fonction consistente
1795,constellation model,modèle de constellation
1796,constituency parser,analyseur de constituants
1797,constituency parsing,analyse de constituants
1798,constituency tree,arbre de constituance
1799,constituent parsing,analyse des constituants
1800,constituent structure,structure constituante
1801,constitutional AI,IA fondée sur une constitution
1802,constrained beam search,recherche par faisceau contraint
1803,constrained conditional model,modèle conditionnel contraint
1804,constrained decoding,décodage contraint
1805,constrained optimization,optimisation contrainte
1806,constrained optimization problem,problème d'optimisation contraint
1807,constraint,contrainte
1808,constraint generation,génération de contraintes
1809,constraint logic programming,programmation logique avec contraintes
1810,constraint programming,programmation par contraintes
1811,constraint propagation,propagation de contraintes
1812,constraint satisfaction,satisfaction de contraintes
1813,constraint satisfaction problem,problème de satisfaction de contraintes
1814,constraint satisfaction rule,règle de satisfaction de contraintes
1815,constraint set,ensemble de contraintes
1816,constraint solvers,solveurs de contraintes
1817,content model,modèle de contenu
1818,content selection,sélection de contenu
1819,content-based addressing,adressage basé sur le contenu
1820,content-based filtering,filtrage basé sur le contenu
1821,content-based image retrieval,recherche d'image par le contenu
1822,context encoder,encodeur de contexte
1823,context free grammar,grammaire sans contexte
1824,context model,modèle de contexte
1825,context stack,pile de contextes
1826,context vector,vecteur de contexte
1827,context window,fenêtre contextuelle
1828,context-free grammar,grammaire acontextuelle
1829,context-free language,langage sans contexte
1830,context-sensitive grammar,grammaire contextuelle
1831,contextual bandits,bandits contextuels
1832,contextual embedding,embeddings contextuels
1833,contextual feature,caractéristique contextuelle
1834,contextual information,information contextuelle
1835,contextual model,modèle contextuel
1836,contextual representation,représentation contextuelle
1837,contextual vector,vecteur contextuel
1838,contextual word embedding,plongement de mots contextualisé
1839,contextualized embedding,embedding contextualisé
1840,contextualized representation,représentation contextualisée
1841,contextualized word vector,vecteur de mot contextualisé
1842,contingency table,tableau de contingence
1843,continual learning,apprentissage continu
1844,continuous data,données continues
1845,continuous feature,caractéristique continue
1846,continuous normalizing flow,flux normalisant continu
1847,continuous probability distribution,distribution de probabilité continue
1848,continuous variable,variable continue
1849,continuously adaptive mean shift,camshift
1850,contract net protocol,protocole de réseau contractuel
1851,contractive autoencoder,auto-encodeur contractif
1852,contrastive approach,approche contrastive
1853,contrastive fine-tuning,ajustement contrastif
1854,contrastive language-image pretraining,CLIP
1855,contrastive loss,perte contrastive
1856,contrastive objective,objectif contrastif
1857,contrastive self-supervised learning,apprentissage autosupervisé contrastif
1858,control theory,théorie du contrôle
1859,control variate,variable de contrôle
1860,controllable text generation,génération de texte contrôlable
1861,conv layer,couche conv
1862,convergence,convergence
1863,convergence analysis,analyse de convergence
1864,convergence bound,borne de convergence
1865,convergence criterion,critère de convergence
1866,convergence rate,taux de convergence
1867,convergence time,temps de convergence
1868,conversation history,historique de conversation
1869,conversational AI,IA conversationnelle
1870,conversational agent,agent animé
1871,conversational dialogue system,système de dialogue conversationnel
1872,conversational interface,interface conversationnelle
1873,conversational user interface,interface utilisateur conversationnelle
1874,convex,convexe
1875,convex combination,combinaison convexe
1876,convex conjugate,conjugué convexe
1877,convex constraint,contrainte convexe
1878,convex decomposition,décomposition convexe
1879,convex function,fonction convexe
1880,convex hull,enveloppe convexe
1881,convex loss,perte convexe
1882,convex objective,objectif convexe
1883,convex objective function,fonction objectif convexe
1884,convex optimization,optimisation convexe
1885,convex optimization problem,problème d'optimisation convexe
1886,convex problem,problème convexe
1887,convex program,programme convexe
1888,convex proxy,proxy convexe
1889,convex quadratic program,programme quadratique convexe
1890,convex relaxation,relaxation convexe
1891,convex risk minimization,minimisation du risque convexe
1892,convex set,ensemble convexe
1893,convex surrogate,surrogat convexe
1894,convex-concave,convexe-concave
1895,convexity,convexité
1896,convolution,convolution
1897,convolution kernel,noyau de convolution
1898,convolution layer,couche de convolution
1899,convolution neural network,réseau de neurones convolutionnels
1900,convolution operation,opération de convolution
1901,convolution operator,opérateur de convolution
1902,convolutional,convolutionnel
1903,convolutional architecture,architecture convolutionnelle
1904,convolutional block,bloc convolutionnel
1905,convolutional decoder,décodeur convolutionnel
1906,convolutional encoder,encodeur convolutionnel
1907,convolutional feature,caractéristique convolutionnelle
1908,convolutional filter,filtre convolutionnel
1909,convolutional kernel,noyau convolutionnel
1910,convolutional layer,couche convolutive
1911,convolutional network,réseau convolutionnel
1912,convolutional neural net,réseau de neurones convolutionnel
1913,convolutional neural network,réseau convolutif
1914,convolutional operation,opération convolutive
1915,convolutional representation,représentation convolutionnelle
1916,cooling schedule,programme de refroidissement
1917,coordinate ascent,Ascension par coordonnées
1918,coordinate descent,descente de coordonnées
1919,coordinate descent algorithm,algorithme de descente de coordonnées
1920,coordinate frame,système de coordonnées
1921,copy mechanism,mécanisme de copie
1922,core tensor,tenseur central
1923,coreference,coréférence
1924,coreference annotation,annotation de coréférence
1925,coreference chain,chaîne de co-référence
1926,coreference resolution model,modèle de résolution de coréférence
1927,coreference resolution system,système de résolution de coréférence
1928,coreferent,co-référent
1929,corpus,Corpus
1930,correlated equilibria,équilibres corrélés
1931,correlated equilibrium,équilibre corrélé
1932,correlation coefficient,coefficient de corrélation
1933,correlation ratio,rapport de corrélation
1934,correlation table,tableau de corrélation
1935,correspondence matrix,matrice de correspondance
1936,cosine,cosinus
1937,cosine decay,décroissance cosinus
1938,cosine decay schedule,calendrier de décroissance cosinus
1939,cosine learning rate schedule,calendrier de taux d'apprentissage cosinusoïdal
1940,cosine measure,mesure cosinus
1941,cosine schedule,programme cosinusoïdal
1942,cosine similarity,mesure du cosinus
1943,cosine similarity measure,mesure de similarité cosinus
1944,cost function,fonction de coût
1945,cost vector,vecteur de coût
1946,cost volume,volume de coût
1947,cost-sensitive learning,apprentissage sensible au coût
1948,counterexample,contre-exemple
1949,counterfactual datum,donnée contrefactuelle
1950,counterfactual example,exemple contrefactuel
1951,counterfactual fairness,équité contrefactuelle
1952,counterfactual reasoning,raisonnement contrefactuel
1953,countermeasure,contre-mesure
1954,covariance,Covariance
1955,covariance function,fonction de covariance
1956,covariance kernel,noyau de covariance
1957,covariance matrix,matrice des covariances
1958,covariance model,modèle de covariance
1959,covariance operator,opérateur de covariance
1960,covariance parameter,paramètre de covariance
1961,covariance structure,structure de covariance
1962,covariant derivative,dérivée covariante
1963,covariate,covariable
1964,covariate shift,décalage de covariables
1965,covering algorithm,algorithme de couverture
1966,creative adversarial network,réseau antagoniste créatif
1967,credibility limits,limites de crédibilité
1968,credible interval,intervalle de crédibilité
1969,credit assignment,attribution de crédit
1970,credit assignment problem,problème d'attribution du mérite
1971,criterion,critère
1972,critic,critique
1973,critic loss,perte du critique
1974,critic network,réseau critique
1975,cross attention,attention croisée
1976,cross entropy,entropie croisée
1977,cross entropy error,erreur d'entropie croisée
1978,cross validation,validation croisée
1979,cross-attention layer,couche d'attention croisée
1980,cross-attention module,module d'attention croisée
1981,cross-correlation,corrélation avec décalage entre deux séries
1982,cross-entropy loss function,fonction de perte d'entropie croisée
1983,cross-entropy method,méthode de l'entropie croisée
1984,cross-entropy objective,objectif d'entropie croisée
1985,cross-lingual benchmark,référence cross-linguistique
1986,cross-lingual embedding,embeddings cross-linguales
1987,cross-lingual feature,caractéristique cross-lingue
1988,cross-lingual knowledge transfer,transfert de connaissances cross-linguales
1989,cross-lingual model,modèle multilingue
1990,cross-lingual representation,représentation multilingue
1991,cross-lingual transfer,transfert multilingue
1992,cross-modal,multimodal
1993,cross-silo federated learning,apprentissage fédéré interdépartemental
1994,cross-validating,validation croisée
1995,cross-validation,validation croisée
1996,crossover,croisement
1997,crowdsourcing,externalisation ouverte
1998,cumulant,cumulant
1999,cumulant generating function,fonction génératrice de cumulants
2000,cumulative density function,fonction de densité cumulative
2001,cumulative distribution function,fonction de distribution cumulative
2002,cumulative error,erreur cumulative
2003,cumulative regret,regret cumulatif
2004,cumulative reward,récompense cumulative
2005,curriculum learning,apprentissage par curriculum
2006,curse of dimensionality,fléau de la dimension
2007,curvilinear regression,régression curviligne
2008,cutting plane,plan de coupe
2009,cutting plane algorithm,algorithme de plan de coupe
2010,cutting plane method,méthode du plan de coupe
2011,cybernetics,cybernétique
2012,cycle consistency,cohérence de cycle
2013,cycle consistency loss,perte de cohérence de cycle
2014,cycle inequality,inégalité de cycle
2015,cyclic graph,graphe cyclique
2016,d-separation,d-séparation
2017,d_model,d_model
2018,daemon,démon
2019,dark data,données sombres
2020,dashboard,tableau de bord
2021,data accuracy,exactitude des données
2022,data analysis,analyse de données
2023,data analyst,analyste de données
2024,data analytics,analytique des données
2025,data annotation,annotation
2026,data architect,architecte de données
2027,data as a service,données-service
2028,data augmentation,amplification des données
2029,data block,bloc de données
2030,data capture,capture de données
2031,data center,centre de données
2032,data centric AI,IA centrée sur les données
2033,data cleaning,nettoyage de données
2034,data clustering,regroupement de données
2035,data completeness,complétude des données
2036,data compliance,conformité des données
2037,data control language,langage de contrôle de données
2038,data cube,cube
2039,data curator,curateur de données
2040,data de-anonymization,désanonymisation des données
2041,data discretization,discrétisation de données
2042,data distribution,distribution des données
2043,data dredging,dragage de données
2044,data drift,dérive dans les données
2045,data efficient learning,apprentissage efficace des données
2046,data encryption standard,algorithme DES
2047,data engineer,ingénieur de données
2048,data engineering,ingénierie des données
2049,data exfiltration,exfiltration de données informatiques
2050,data fusion,fusion de données
2051,data governance,gouvernance des données
2052,data imbalance,déséquilibre des données
2053,data imputation,imputation
2054,data ingestion,ingestion de données
2055,data integration,intégration des données
2056,data integrity,intégrité des données
2057,data labeling,balisage
2058,data lake,lac de données
2059,data management,gestion de données
2060,data management platform,plateforme de gestion des données
2061,data manifold,variété de données
2062,data mart,magasin de données
2063,data mining,forage de données
2064,data model,modèle de données
2065,data modeling,modélisation des données
2066,data pipeline,chaîne de traitement
2067,data point,point de données
2068,data poisoning,empoisonnement de données
2069,data pre-processing,prétraitement des données
2070,data preprocessing,préparation des données
2071,data processing,traitement de données
2072,data processing center,centre de traitement de données
2073,data processing inequality,inégalité de traitement des données
2074,data profiling,profilage des données
2075,data purging,purge des données
2076,data re-identification,réidentification des données
2077,data resilience,résilience des données
2078,data sampling,échantillonnage des données
2079,data sandbox,bac à sable de données
2080,data science,science des données
2081,data scientist,analyste des données
2082,data scraping,moissonnage de données
2083,data security,sécurité des données
2084,data segmentation,segmentation des données
2085,data set,jeu de données
2086,data snooping,pêche aux données
2087,data sovereignty,souveraineté des données
2088,data sparseness,rareté des données
2089,data sparsity,dispersion des données
2090,data steward,intendant d'actif informationnel
2091,data storytelling,mise en récit de données
2092,data stream mining,exploration de flux de données
2093,data structure,structure des données
2094,data valorization,valorisation de données
2095,data vector,vecteur de données
2096,data visualization,visualisation des données
2097,data warehouse,base de données décisionnelle
2098,data-to-text generation,génération de données en texte
2099,database,base de données
2100,database as a service,base de données-service
2101,datafication,datatification
2102,dataframe,dataframe
2103,dataset augmentation,augmentation de jeu de données
2104,dataset bias,biais de l'ensemble de données
2105,dataset size,taille du jeu de données
2106,datasheet,fiche de données
2107,datum bias,biais des données
2108,datum clustering,regroupement de données
2109,datum contamination,contamination des données
2110,datum dependency,dépendance des données
2111,datum fidelity,fidélité des données
2112,datum filtering,filtrage des données
2113,datum generative process,processus génératif de données
2114,datum matrix,matrice de données
2115,datum mining algorithm,algorithme d'exploration de données
2116,datum parallelism,parallélisme de données
2117,datum perturbation,perturbation des données
2118,davinci,davinci
2119,decay parameter,paramètre de décroissance
2120,decentralized algorithm,algorithme décentralisé
2121,decentralized artificial intelligence,intelligence artificielle décentralisée
2122,decentralized case-based reasoning,raisonnement par cas décentralisé
2123,decision boundary,frontière de décision
2124,decision function,fonction de décision
2125,decision logic,logique de la décision
2126,decision making,prise de décision
2127,decision node,nœud de décision
2128,decision policy,politique de décision
2129,decision problem,problème de décision
2130,decision rule,règle de décision
2131,decision space,espace de décision
2132,decision stump,souche de décision
2133,decision stumps,arbres de décision
2134,decision support system,système d'aide à la décision
2135,decision theory,théorie des décisions
2136,decision tree,arbre de décision
2137,decision tree learning,apprentissage par arbre de décision
2138,decision variable,variable de décision
2139,decision-maker,décideur
2140,declarative programming,programmation déclarative
2141,declarative representation,représentation déclarative
2142,decoder,décodeur
2143,decoder hidden state,état caché du décodeur
2144,decoder layer,couche de décodeur
2145,decoder network,réseau de décodeur
2146,decoder output,sortie du décodeur
2147,decoder state,état du décodeur
2148,decoder-only transformer,transformateur uniquement décodeur
2149,decoding,décodage
2150,decoding algorithm,algorithme de décodage
2151,decoding problem,problème de décodage
2152,decoding step,étape de décodage
2153,decoding strategy,stratégie de décodage
2154,decomposable models,modèle décomposable
2155,decomposition,décomposition
2156,decomposition method,méthode de décomposition
2157,deconvolution,déconvolution
2158,deconvolution layer,couche de déconvolution
2159,deconvolutional layer,couche déconvolutionnelle
2160,deductive classifier,classificateur déductif
2161,deductive database,base de données déductive
2162,deductive inference,inférence déductive
2163,deductive reasoning,déduction
2164,deep Boltzmann machine,machine boltzmannienne profonde
2165,deep Q-learning,Q-learning profond
2166,deep Q-network,réseau Q profond
2167,deep architecture,architecture profonde
2168,deep belief network,réseau de croyances profond
2169,deep convolutional GAN,RAG convolutif profond
2170,deep convolutional generative adversarial network,réseau antagoniste convolutif profond
2171,deep convolutional network,réseau de neurones convolutionnels profonds
2172,deep convolutional neural network,réseau de neurones convolutionnels profonds
2173,deep dream,deep dream
2174,deep feature,caractéristique profonde
2175,deep generative model,modèle génératif profond
2176,deep layer,couche profonde
2177,deep learning,apprentissage en profondeur
2178,deep learning architecture,architecture d'apprentissage profond
2179,deep learning framework,cadre d'apprentissage profond
2180,deep learning model,modèle d'apprentissage profond
2181,deep learning system,système d'apprentissage profond
2182,deep model,modèle profond
2183,deep net,réseau profond
2184,deep network,réseau de neurones profond
2185,deep network architecture,architecture de réseau profond
2186,deep neural model,modèle neuronal profond
2187,deep neural net,réseau neuronal profond
2188,deep neural network,réseau de neurones profond
2189,deep reinforcement learning,apprentissage par renforcement profond
2190,deep residual network,réseau résiduel profond
2191,deep supervision,supervision profonde
2192,deepfake,hypertrucage
2193,deeply-supervised net,réseau profondément supervisé
2194,default logic,logique par défaut
2195,default value,valeur implicite
2196,defensive distillation,distillation défensive
2197,deformable template,modèle déformable
2198,deformation field,champ de déformation
2199,degree distribution,distribution des degrés
2200,degree of freedom,degré de liberté
2201,delayed reward,récompense différée
2202,delexicalization,délexicalisation
2203,deliberative agent,agent délibératif
2204,delta kernel,noyau delta
2205,dendrogram,dendrogramme
2206,denoiser,débruiteur
2207,denoising autoencoder,autoencodeur débruiteur
2208,denoising diffusion probabilistic model,modèle probabiliste de débruitage par diffusion
2209,denoising network,réseau de débruitage
2210,denoising objective,objectif de débruitage
2211,denoising process,processus de débruitage
2212,denoising score matching,appariement de score de débruitage
2213,denoising score matching loss,perte d'appariement de score de débruitage
2214,denormalization,dénormalisation
2215,denotation,dénotation
2216,dense,dense
2217,dense attention,attention dense
2218,dense depth map,carte de profondeur dense
2219,dense feature,caractéristique dense
2220,dense layer,couche affine
2221,dense matrix,matrice dense
2222,dense network,réseau dense
2223,dense prediction,prédiction dense
2224,dense representation,représentation dense
2225,dense vector,vecteur dense
2226,density estimate,estimation de densité
2227,density estimation,estimation de densité
2228,density estimator,estimateur de densité
2229,density field,champ de densité
2230,density function,fonction de densité
2231,density gradient,gradient de densité
2232,density ratio,rapport de densité
2233,density-based clustering,regroupement basé sur la densité
2234,dependency arc,arc de dépendance
2235,dependency feature,caractéristique de dépendance
2236,dependency graph,graphe de dépendance
2237,dependency label,étiquette de dépendance
2238,dependency model,modèle de dépendance
2239,dependency parse,analyse de dépendance
2240,dependency parse tree,arbre d'analyse de dépendance
2241,dependency parser,analyseur de dépendances
2242,dependency parsing model,modèle d'analyse de dépendances
2243,dependency path,chemin de dépendance
2244,dependency relation,relation de dépendance
2245,dependency representation,représentation de dépendance
2246,dependency structure,structure de dépendance
2247,dependency tree,arbre de dépendance
2248,dependency treebank,banque d'arbres de dépendance
2249,dependency-directed backtracking,retour arrière dirigé par des dépendances
2250,dependent variable,variable dépendante
2251,depth estimation,estimation de profondeur
2252,depth estimator,estimateur de profondeur
2253,depth image,image de profondeur
2254,depth map,carte de profondeur
2255,depth prediction,prédiction de profondeur
2256,depth-first search,algorithme de parcours en profondeur
2257,descent direction algorithm,algorithme à directions de descente
2258,description logic,logique descriptive
2259,descriptive analytics,analyse descriptive
2260,descriptive statistics,statistiques descriptives
2261,descriptor,descripteur
2262,design matrix,matrice de conception
2263,design space,espace de conception
2264,det,det
2265,detection algorithm,algorithme de détection
2266,detection model,modèle de détection
2267,detection score,score de détection
2268,detection window,fenêtre de détection
2269,detector,détecteur
2270,deterministic algorithm,algorithme déterministe
2271,deterministic annealing,recuit déterministe
2272,deterministic automaton,automate déterministe
2273,deterministic baseline,référence déterministe
2274,deterministic finite automaton,automate fini déterministe
2275,deterministic policy,politique déterministe
2276,deterministic rule,règle déterministe
2277,dev set,ensemble de validation
2278,development set,ensemble de développement
2279,developmental robotics,robotique développementale
2280,deviation,déviation
2281,diagonal matrix,matrice diagonale
