english,chinese,turkish,arabic,persian,dutch,german,portuguese,french,russian,japanese
BSARD,BSARD,BSARD,BSARD,BSARD,BSARD,BSARD,BSARD,BSARD,BSARD,BSARD
social,社会类,sosyal,اجتماعي,اجتماعی,sociaal:::sociale,sozial,social,sociaux,общественный,社会的
extracted,提取的,ayıklanan,مستخرج,استخراج‌شده,geëxtraheerd:::geëxtraheerde,extrahiert,extraído,extrait,извлекаемый,抽出された
IDF,IDF,IDF,IDF,IDF,IDF,IDF,IDF,IDF,IDF,IDF
neural,神经,Nöral,عصبي,عصبی,neuraal:::neurale,neuronal,Neural,neuronal,Невральный,ニューラル
encoders,编码器,kodlayıcılar,مشفرو,کدگذارها,encoders,Kodierer:::Encoder,codificadores,encodeurs,Кодеры,エンコーダ
namely,即,yani,وهي,به‌عبارتی,namelijk,wie,ou seja,à savoir,именно,すなわち
word2vec,word2vec,word2vec,word2vec,word2vec,word2vec,word2vec,word2vec,word2vec,word2vec,単語2vec
CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT,CamemBERT
Additionally,此外,Ek olarak,وبالإضافة إلى ذلك,افزون بر این,bovendien,Darüber hinaus,Além disso,de plus,Дополнительно,さらに
shared,共享,Paylaşılan,مشترك,اشتراک‌گذاشته‌شده,gedeeld:::gedeelde,Shared,Compartilhado,partagé,Совместный,共有
CLS,CLS,CLS,CLS,CLS,CLS,CLS,CLS,CLS,CLS,CLS
cosine,余弦,kosinüs,جيب,cosine,cosinus,Kosinus,cosseno,cosinus,косинус,コサイン
Hence,因此,Bu nedenle,ومن ثم,از این رو,Vandaar:::daarom:::derhalve,Daher,Consequentemente,donc,Следовательно,よって
VALSE,VALSE,VALSE,VALSE,VALSE,VALSE,VALSE,VALSE,VALSE,VALSE,VALSE
image,图片,görüntü,صورة,عکس,afbeelding,Bild,imagem,image,изображениe,イメージ
visual,视觉类,görsel,مرئي,بصری,visueel:::visuele,visuell,visual,visuelle,визуальный ,視覚的
sense,感觉,algı; duyu,حسي,حس,betekenis,Sinn,sentido,sens,смысл,感覚
phrase,短语,sözcük öbeği,عبارة,عبارت,zinsdeel,Phrase,frase,phrases,фраза,フレーズ
grounding,领域,odaklama,تأسيس,زمینه‌ساز,verankering,Erdung,embasamento,bases,обоснование,教育付け
modalities,形态,modaliteler,طرائق,وجهیت,modaliteiten,Modalitäten,modalidades,modalités,Условия,モダリティ
spatial,空间的,uzamsal,مكاني,فضایی,ruimtelijk:::ruimtelijke,räumlich,espacial,spatial,пространственный,空間的な
entity,实体,varlık,كيان,نهاد,entiteit,Entity,entidade,entité,сущность,エンティティ
coreference,共指,eş gönderge,مراجع مشترك,هم‌مرجع,coreferentie,Koreferenz,correferência,coréférence,корреляция,同一指示
verb,动词,fiil,فعل,فعل,werkwoord,Verb,verbo,verbe,глагол,動詞
grammatical,语法类,dil bilgisel; dil bilgisiyle ilgili,نحوي,دستوری,grammaticaal:::grammaticale,grammatisch,gramatical,grammatical,грамматический,文法的
sentences,句子,cümleler,جمل,جملات,zinnen,Sätze,sentenças,phrases,Предложения,文章
NLI,NLI,Doğal Dil Çıkarımı (NLI),NLI,NLI,NLI,NLI,NLI,NLI,NLI,NLI
annotators,注释者,ek açıklama ekleyiciler,المعلقين,شرح‌نویس,annotatoren,Annotatoren,anotadores,annotateurs,аннотаторы,注釈者
existing,现存,Mevcut,الحالي,موجود,bestaand:::bestaande,bestehend,Existente,existant,Существующий,既存の
statistical,统计类,İstatistiksel,إحصائي,آماری,statistisch:::statistische,statisitsch,Estatística,statistique,Статистический,統計的
CLIP,CLIP,CLIP,CLIP,CLIP,CLIP,CLIP,CLIP,CLIP,CLIP,CLIP
LXMert,LXMert,LXMert,LXMert,LXMert,LXMert,LXMert,LXMert,LXMert,LXMert,LXMert
ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT,ViLBERT
VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT,VisualBERT
classifying,分类,sınıflandırma,تصنيف,دسته‌بندی,classificeren,Klassifizierung,classificar,classification,Классификации,分類し
captions,字幕,açıklamalar,التعليقات,شرح‌ها,bijschriften,Unterschriften,legendas,captures,Подписи,キャプション
pairwise,成对的,ikili,الاقتران,دوبه‌دو,paarsgewijs:::paarsgewijze,paarweise,par a par,par paire,попарно,ペアの
identifying,识别,Tanımlama; Belirleme,تحديد,شناسایی,Identificeren,identifizieren,Identificando,identification,Определение,識別
named,命名为,adlandırılmış,مسماة,نام‌دار,benoemd:::benoemde,benannt,nomeado,nommé,названный,挙げられた
adversarial,对抗性,kötü amaçlı,عدائي,تخاصمی,adversarial,gegnerisch,adversária,antagoniste,Состязательной,敵対的
GPT,GPT,GPT,GPT,GPT,GPT,GPT,GPT,GPT,GPT,GPT
perplexity,混乱,karışıklık,حيرة,پیچیدگی,perplexiteit,Perplexität,perplexidade,perplexité,растерянность,困惑
RNSum,RNSum,RNSum,RNSum,RNSum,RNSum,RNSum,RNSum,RNSum,RNSum,RNSum
ARENA,ARENA,ARENA,ARENA,ARENA,ARENA,ARENA,ARENA,ARENA,ARENA,ARENA
extractor,提取器,ayıklayıcı,مستخرج,استخراج‌کننده,extractor,Extraktor,extrator,extracteur,экстрактор,抽出機
internet,互联网,internet,الإنترنت,اینترنت,internet,Internet,internet,internet,интернет,インターネット
outputs,输出,çıktılar,مخرجات,خروجی‌ها,outputs,Outputs:::Ausgaben,saídas,sorties,Выходы,出力
API,API,API,API,API,API,API,API,API,API,API
extractive,可提取,ayıklayıcı,استخراجي,استخراجی,extractief,extraktiv,extrativo,extraction,экстрактивное,抽出
classifier,分类器,sınıflandırıcı,مصنف,دسته‌بندی‌کننده,classifier,Klassifikator,classificador,classificateur,классификатор,類別詞
CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT,CodeBERT
CEAS,CEAS,CEAS,CEAS,CEAS,CEAS,CEAS,CEAS,CEAS,CEAS,CEAS
CAS,CAS,CAS,CAS,CAS,CAS,CAS,CAS,CAS,CAS,CAS
seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq,seq2seq
Clustering,聚类,kümeleme,تجميع,خوشه‌بندی,clustering,Clustering,agrupamento,regroupement,кластеризация,クラスタリング
ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE,ROUGE
pseudo,伪,sahte; sözde,زائف,شبه,pseudo-,Pseudo,pseudo,pseudo,псевдо,擬似
summarizing,总结,özetleme,تلخيص,خلاصه‌سازی,samenvatten,Zusammenfassung,resumindo,résumé,суммирующая,要約
written,书面,yazılı,مكتوب,کتبی,geschreven,geschrieben,escrita,écrits,письменный,書かれた
Architectures,架构,mimariler,هياكل,معماری,architectuur:::opbouw:::structuur,Architekturen,arquiteturas,architectures,Архитектуры,アーキテクチャ
FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE,FeSTE
linked,链接,Bağlı,مرتبط,لینک‌شده,Linked,Linked,Vinculado,liées,Связан,リンクされた
extraction,提取,ayıklama,استخراج,استخراج,extractie,Extraktion,extração,extraction,Извлечение,抽出
XLNet,XLNet,XLNet,XLNet,XLNet,XLNet,XLNet,XLNet,XLNet,XLNet,XLNet
multitask,多任务,çok görevli,متعددة المهام,چندوظیفه,multitasken,Multitask,multitarefa,multi-tâches,Многозадачность,マルチタスク
MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN,MTDNN
classifiers,分类器,sınıflandırıcılar,مصنفات,دسته‌بندی‌کننده‌ها,classifiers,Klassifikatoren,classificadores,classificateurs,Классификаторы,類別詞
